,month_year,total_cpu_time_seconds,num_jobs,tool_name_version
0,2021-08,73525160,5143,bowtie2/2.4.2+galaxy0
1,2021-08,36194022,4858,hisat2/2.1.0+galaxy7
2,2021-08,23836112,487,unicycler/0.4.8.0
3,2021-08,21411404,758,freebayes/1.3.1
4,2021-08,20877128,766,tophat2/2.1.1
5,2021-08,16967634,1034,rna_star/2.7.8a
6,2021-08,16526970,2455,bwa_mem/0.7.17.2
7,2021-08,12598962,1672,hisat2/2.2.1+galaxy0
8,2021-08,11144909,2479,htseq_count/0.9.1
9,2021-08,10975088,917,bwa/0.7.17.4
10,2021-08,9281518,1788,fasterq_dump/2.11.0+galaxy0
11,2021-08,9063692,817,cufflinks/2.2.1.3
12,2021-08,8981036,1486,rbc_mafft/7.221.3
13,2021-08,8308632,5996,trimmomatic/0.38.0
14,2021-08,6933038,3767,fastq_dump/2.11.0+galaxy0
15,2021-08,6745910,183,megahit/1.1.3.5
16,2021-08,5649404,2387,trim_galore/0.6.3
17,2021-08,5258149,74,vsearch_search/1.9.7.0
18,2021-08,5123890,2076,deeptools_bam_coverage/3.3.2.0.0
19,2021-08,5048942,119,roary/3.13.0+galaxy1
20,2021-08,4778445,22,trinity/2.9.1+galaxy1
21,2021-08,4724262,33,ncbi_blastx_wrapper/2.10.1+galaxy0
22,2021-08,4428099,24891,fastqc/0.72+galaxy1
23,2021-08,4264989,168,cuffdiff/2.2.1.6
24,2021-08,4263091,2576,prokka/1.14.5+galaxy0
25,2021-08,3562228,1943,fastq_groomer/1.1.5
26,2021-08,3546686,307,bowtie2/2.3.4.3+galaxy0
27,2021-08,3101390,2067,deeptools_compute_matrix/3.3.2.0.0
28,2021-08,3052588,1152,bwa_mem/0.7.17.1
29,2021-08,3018468,218,deeptools_bigwig_compare/3.3.2.0.0
30,2021-08,2946980,2035,deseq2/2.11.40.6+galaxy1
31,2021-08,2720071,131,tophat2/0.9
32,2021-08,2710448,297,rna_star/2.7.8a+galaxy0
33,2021-08,2540774,402,fastq_paired_end_deinterlacer/1.1.5
34,2021-08,2162991,342,ncbi_blastp_wrapper/2.10.1+galaxy0
35,2021-08,2040556,103357,upload1/upload1
36,2021-08,1961389,342,spades/3.12.0+galaxy1
37,2021-08,1901569,1890,macs2_callpeak/2.1.1.20160309.6
38,2021-08,1865434,725,lofreq_call/2.1.5+galaxy0
39,2021-08,1821048,127,rseqc_geneBody_coverage/2.6.4.3
40,2021-08,1790587,308,minimap2/2.20+galaxy1
41,2021-08,1784402,41,rnaspades/3.9.0.2
42,2021-08,1766789,44,gmx_sim/2020.2+galaxy0
43,2021-08,1473972,4321,stringtie/2.1.1
44,2021-08,1445335,4368,cutadapt/3.4+galaxy0
45,2021-08,1404410,46,flye/2.6
46,2021-08,1390797,269,busco/5.0.0+galaxy0
47,2021-08,1357738,155,velvetoptimiser/2.2.6
48,2021-08,1304249,14,hyphy_absrel/2.5.31+galaxy1
49,2021-08,1290453,591,salmon/1.5.1+galaxy0
50,2021-08,1268014,108,bwameth/0.2.2
51,2021-08,1209271,4033,fastp/0.19.5+galaxy1
52,2021-08,1067084,26,maxquant/1.6.10.43+galaxy3
53,2021-08,1031684,10,hyphy_meme/2.5.31+galaxy2
54,2021-08,947048,41,bowtie2/2.3.4.2
55,2021-08,890101,296,sam_dump/2.11.0+galaxy0
56,2021-08,887583,1423,picard_MarkDuplicates/2.18.2.2
57,2021-08,765087,5064,featurecounts/2.0.1
58,2021-08,742731,97,egsea/1.10.0
59,2021-08,692868,42,mimodd_varcall/0.1.9
60,2021-08,690132,33,trinity_align_and_estimate_abundance/2.9.1+galaxy1
61,2021-08,689788,548,samtools_rmdup/2.0.1
62,2021-08,675946,1,slamdunk/0.4.1+galaxy2
63,2021-08,658431,2818,ncbi_blastn_wrapper/2.10.1+galaxy0
64,2021-08,630714,548,shovill/1.1.0+galaxy0
65,2021-08,618301,123,dexseq_count/1.28.1.0
66,2021-08,595337,28,iqtree/2.1.2+galaxy1
67,2021-08,542229,275,fastq_trimmer/1.1.5
68,2021-08,528201,62233,seqtk_subseq/1.3.1
69,2021-08,507523,161,deeptools_bam_compare/3.3.2.0.0
70,2021-08,504620,574,snippy/4.5.0
71,2021-08,501571,107,iqtree/1.5.5.3
72,2021-08,499537,87,deeptools_multi_bam_summary/3.3.2.0.0
73,2021-08,493354,196,augustus/3.4.0+galaxy0
74,2021-08,481020,115,bg_diamond/2.0.8.0
75,2021-08,455529,377,kallisto_quant/0.46.0.4
76,2021-08,446731,151,samtools_mpileup/2.1.4
77,2021-08,437392,76,bwameth/0.2.2+galaxy1
78,2021-08,426049,407,bcftools_mpileup/1.10
79,2021-08,424911,9,plant_tribes_gene_family_classifier/1.0.3.0
80,2021-08,416538,187,fastq_paired_end_joiner/2.0.1.1+galaxy0
81,2021-08,414345,114,samtools_bedcov/2.0.2
82,2021-08,389903,1309,fastq_quality_trimmer/1.1.5
83,2021-08,387230,20,deeptools_plot_fingerprint/2.5.0.0
84,2021-08,375089,458,CONVERTER_bam_to_coodinate_sorted_bam/CONVERTER_bam_to_coodinate_sorted_bam
85,2021-08,371232,170,maker/2.31.11
86,2021-08,370134,21,metaspades/3.9.0
87,2021-08,369901,97,deeptools_multi_bigwig_summary/3.3.2.0.0
88,2021-08,361692,253,kallisto_quant/0.46.2+galaxy0
89,2021-08,360136,288,naive_variant_caller/0.0.4
90,2021-08,356543,77,meme_chip/4.11.2+galaxy1
91,2021-08,352560,49,deeptools_plot_fingerprint/3.3.2.0.0
92,2021-08,347060,668,bamFilter/2.4.1
93,2021-08,342964,1530,fastp/0.20.1+galaxy0
94,2021-08,333493,294,lofreq_call/2.1.5+galaxy1
95,2021-08,319804,304,picard_MergeSamFiles/2.18.2.1
96,2021-08,308471,279,clustalw/2.1
97,2021-08,308000,96,minimap2/2.20+galaxy2
98,2021-08,298195,57,mothur_classify_seqs/1.39.5.0
99,2021-08,286602,3790,__DATA_FETCH__/__DATA_FETCH__
100,2021-08,279754,28,hisat2/2.1.0+galaxy5
101,2021-08,278954,405,fastq_stats/1.1.5
102,2021-08,275646,69,fastqe/0.2.6+galaxy1
103,2021-08,272697,417,fastq_filter/1.1.5
104,2021-08,264810,116,__EXPORT_HISTORY__/__EXPORT_HISTORY__
105,2021-08,263654,8,freebayes/1.1.0.46-0
106,2021-08,252173,1735,join1/join1
107,2021-08,251910,40,rna_starsolo/2.7.8a
108,2021-08,241831,195,dada2_dada/1.18+galaxy0
109,2021-08,237338,267,samtools_fastx/1.9+galaxy1
110,2021-08,233282,101,mothur_pre_cluster/1.39.5.0
111,2021-08,221965,9659,CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed
112,2021-08,218417,381,fastq_paired_end_interlacer/1.2.0.1+galaxy0
113,2021-08,204856,267,cuffmerge/0.0.5
114,2021-08,203972,21,deeptools_bam_coverage/3.1.2.0.0
115,2021-08,203747,72,cutadapt/1.16.6
116,2021-08,193529,254,snippy/4.6.0+galaxy0
117,2021-08,187883,10882,ucsc_table_direct1/ucsc_table_direct1
118,2021-08,187752,37,MAF_To_Fasta1/MAF_To_Fasta1
119,2021-08,186372,75,CONVERTER_bam_to_qname_sorted_bam/CONVERTER_bam_to_qname_sorted_bam
120,2021-08,177352,610,cshl_fastq_quality_filter/1.0.2+galaxy0
121,2021-08,177184,321,samtools_sort/2.0.3
122,2021-08,173184,820,lofreq_viterbi/2.1.5+galaxy0
123,2021-08,168936,759,porechop/0.2.4
124,2021-08,166733,56,mothur_cluster_split/1.39.5.0
125,2021-08,163367,45,microsatellite/1.0.0
126,2021-08,161519,515,snpEff/4.3+T.galaxy1
127,2021-08,155779,1063,featurecounts/2.0.1+galaxy1
128,2021-08,154315,11,dexseq/1.28.1+galaxy1
129,2021-08,154282,193,bamleftalign/1.3.1
130,2021-08,151707,442,mothur_make_contigs/1.39.5.1
131,2021-08,150675,3463,__SET_METADATA__/__SET_METADATA__
132,2021-08,148005,757,samtool_filter2/1.8+galaxy1
133,2021-08,147365,90,dada2_learnErrors/1.18+galaxy0
134,2021-08,146734,535,chipseeker/1.18.0+galaxy1
135,2021-08,144460,98,mothur_align_seqs/1.39.5.0
136,2021-08,142399,35,mothur_pcr_seqs/1.39.5.0
137,2021-08,142106,39,fastq_groomer/1.1.1
138,2021-08,140401,312,CONVERTER_bam_to_bigwig_0/CONVERTER_bam_to_bigwig_0
139,2021-08,137728,3,fasterq_dump/2.10.9+galaxy0
140,2021-08,133426,251,circos/0.69.8+galaxy7
141,2021-08,132020,37,deeptools_bam_coverage/3.3.0.0.0
142,2021-08,131088,152,rseqc_read_distribution/2.6.4.1
143,2021-08,127929,148,ngsutils_bam_filter/0.5.9
144,2021-08,126958,353,qualimap_bamqc/2.2.2c
145,2021-08,124548,15,egsea/1.20.0
146,2021-08,124364,253,diffbind/2.10.0
147,2021-08,123020,271,samtools_view/1.9+galaxy3
148,2021-08,117209,39,edger/3.24.1+galaxy1
149,2021-08,111769,157,fasttree/2.1.10+galaxy1
150,2021-08,110562,266,ivar_removereads/1.3.1+galaxy0
151,2021-08,109057,766,gops_join_1/1.0.0
152,2021-08,108648,1,hyphy_fel/2.5.31+galaxy1
153,2021-08,107093,4,hyphy_bgm/2.5.31+galaxy2
154,2021-08,105570,9,bowtie2/2.3.4.3
155,2021-08,105111,23,varscan_somatic/2.4.3.6
156,2021-08,104852,15,repeatmasker_wrapper/4.0.9
157,2021-08,98780,60,vsearch_chimera_detection/1.9.7.0
158,2021-08,97534,36,fastq_manipulation/1.1.5
159,2021-08,92285,44,fastq_paired_end_splitter/1.1.5
160,2021-08,91189,250,CONVERTER_bed_gff_or_vcf_to_bigwig_0/CONVERTER_bed_gff_or_vcf_to_bigwig_0
161,2021-08,89822,580,deg_annotate/1.1.0
162,2021-08,87993,488,deseq2/2.11.40.6+galaxy2
163,2021-08,87238,288,cshl_fastx_trimmer/1.0.2+galaxy0
164,2021-08,85870,153,samtools_merge/1.9
165,2021-08,85008,6,disco/1.2.0
166,2021-08,84806,301,picard_SortSam/2.18.2.1
167,2021-08,82482,155,bwa/0.7.12.1
168,2021-08,81177,5,hisat2/2.1.0+galaxy3
169,2021-08,80712,2241,deeptools_plot_heatmap/3.3.2.0.1
170,2021-08,80089,14,gd_raxml/1.0.0
