,month_year,num_jobs,tool_name_version
0,2021-08,111031,upload1/upload1
1,2021-08,62237,seqtk_subseq/1.3.1
2,2021-08,26569,fastqc/0.72+galaxy1
3,2021-08,11404,ucsc_table_direct1/ucsc_table_direct1
4,2021-08,11106,CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed
5,2021-08,8980,trimmomatic/0.38.0
6,2021-08,7791,hisat2/2.1.0+galaxy7
7,2021-08,7362,bowtie2/2.4.2+galaxy0
8,2021-08,7042,featurecounts/2.0.1
9,2021-08,5217,cutadapt/3.4+galaxy0
10,2021-08,5039,fasta_filter_by_length/1.2
11,2021-08,5002,cshl_fastx_collapser/1.0.1
12,2021-08,4814,fastp/0.19.5+galaxy1
13,2021-08,4798,stringtie/2.1.1
14,2021-08,4267,fastq_join/1.1.2-806.1
15,2021-08,4211,fastq_dump/2.11.0+galaxy0
16,2021-08,4178,rna_star/2.7.8a
17,2021-08,4094,__DATA_FETCH__/__DATA_FETCH__
18,2021-08,4049,Grep1/Grep1
19,2021-08,3961,prokka/1.14.5+galaxy0
20,2021-08,3824,__SET_METADATA__/__SET_METADATA__
21,2021-08,3748,ncbi_blastn_wrapper/2.10.1+galaxy0
22,2021-08,3718,bwa_mem/0.7.17.2
23,2021-08,3401,fasterq_dump/2.11.0+galaxy0
24,2021-08,3193,deeptools_bam_coverage/3.3.2.0.0
25,2021-08,3158,lofreq_call/2.1.5+galaxy0
26,2021-08,3124,vcfvcfintersect/1.0.0_rc3+galaxy0
27,2021-08,2892,deeptools_compute_matrix/3.3.2.0.0
28,2021-08,2849,htseq_count/0.9.1
29,2021-08,2787,Filter1/Filter1
30,2021-08,2701,trim_galore/0.6.3
31,2021-08,2629,lofreq_filter/2.1.5+galaxy0
32,2021-08,2610,tp_replace_in_line/1.1.2
33,2021-08,2609,fastq_to_fasta_python/1.1.5
34,2021-08,2524,fasta2tab/1.1.1
35,2021-08,2509,tp_cut_tool/1.1.0
36,2021-08,2494,deeptools_plot_heatmap/3.3.2.0.1
37,2021-08,2398,tab2fasta/1.1.1
38,2021-08,2347,fastp/0.20.1+galaxy0
39,2021-08,2299,cshl_fastq_to_fasta/1.0.0
40,2021-08,2259,rbc_mafft/7.221.3
41,2021-08,2241,deseq2/2.11.40.6+galaxy1
42,2021-08,2213,macs2_callpeak/2.1.1.20160309.6
43,2021-08,2147,samtools_stats/2.0.2+galaxy2
44,2021-08,2096,fastq_groomer/1.1.5
45,2021-08,2070,hisat2/2.2.1+galaxy0
46,2021-08,1998,bwa_mem/0.7.17.1
47,2021-08,1957,vcffilter2/1.0.0_rc3+galaxy3
48,2021-08,1938,EMBOSS: extractseq35/5.0.0
49,2021-08,1925,join1/join1
50,2021-08,1862,sra_source/sra_source
51,2021-08,1799,lofreq_indelqual/2.1.5+galaxy0
52,2021-08,1798,lofreq_viterbi/2.1.5+galaxy0
53,2021-08,1777,multiqc/1.9+galaxy1
54,2021-08,1626,clustalw/2.1
55,2021-08,1564,ebi_sra_main/ebi_sra_main
56,2021-08,1563,picard_MarkDuplicates/2.18.2.2
57,2021-08,1551,Cut1/Cut1
58,2021-08,1519,bedtools_intersectbed/2.30.0
59,2021-08,1441,ivar_trim/1.3.1+galaxy0
60,2021-08,1422,cufflinks/2.2.1.3
61,2021-08,1403,ivar_removereads/1.3.1+galaxy0
62,2021-08,1402,__UNZIP_COLLECTION__/__UNZIP_COLLECTION__
63,2021-08,1360,bwa/0.7.17.4
64,2021-08,1348,fastq_quality_trimmer/1.1.5
65,2021-08,1294,vegan_rarefaction/2.4-3
66,2021-08,1284,tophat2/2.1.1
67,2021-08,1235,fasta_merge_files_and_filter_unique_sequences/1.2.0
68,2021-08,1219,freebayes/1.3.1
69,2021-08,1215,dada2_filterAndTrim/1.18+galaxy0
70,2021-08,1182,spades/3.12.0+galaxy1
71,2021-08,1175,featurecounts/2.0.1+galaxy1
72,2021-08,1170,snpeff_sars_cov_2/4.5covid19
73,2021-08,1164,snpEff/4.3+T.galaxy1
74,2021-08,1156,Grouping1/Grouping1
75,2021-08,1155,snpSift_extractFields/4.3+t.galaxy0
76,2021-08,1142,deeptools_plot_profile/3.3.2.0.0
77,2021-08,1116,samtools_view/1.9+galaxy2
78,2021-08,1114,snpSift_filter/4.3+t.galaxy1
79,2021-08,1107,qualimap_bamqc/2.2.2d+galaxy3
80,2021-08,1072,tp_find_and_replace/1.1.3
81,2021-08,1052,csv_to_tabular/csv_to_tabular
82,2021-08,1029,dada2_mergePairs/1.18+galaxy0
83,2021-08,1005,cshl_fastq_quality_boxplot/1.0.1
84,2021-08,1004,cshl_fastx_barcode_splitter/1.0.1
85,2021-08,979,ggplot2_heatmap2/3.0.1
86,2021-08,957,porechop/0.2.4
87,2021-08,921,cat1/cat1
88,2021-08,910,volcanoplot/0.0.5
89,2021-08,892,cshl_fastq_to_fasta/1.0.2
90,2021-08,887,kraken2/2.1.1+galaxy1
91,2021-08,879,snippy/4.5.0
92,2021-08,863,ivar_consensus/1.3.1+galaxy0
93,2021-08,853,addName/0.2.0
94,2021-08,831,samtool_filter2/1.8+galaxy1
95,2021-08,815,bamFilter/2.4.1
96,2021-08,809,gops_join_1/1.0.0
97,2021-08,799,CONVERTER_interval_to_bed_0/CONVERTER_interval_to_bed_0
98,2021-08,779,cshl_fastq_quality_filter/1.0.2+galaxy0
99,2021-08,771,salmon/1.5.1+galaxy0
100,2021-08,769,fasta-stats/1.0.1
101,2021-08,766,cat_multiple/0.2
102,2021-08,753,shovill/1.1.0+galaxy0
103,2021-08,704,unicycler/0.4.8.0
104,2021-08,700,seq_filter_by_id/0.2.7
105,2021-08,692,Add_a_column1/1.6
106,2021-08,677,tp_grep_tool/1.1.1
107,2021-08,676,CONVERTER_fasta_to_tabular/CONVERTER_fasta_to_tabular
108,2021-08,672,edger/3.34.0
109,2021-08,660,wig_to_bigWig/wig_to_bigWig
110,2021-08,654,hhsearch/3.2.0+galaxy0
111,2021-08,640,samtools_rmdup/2.0.1
112,2021-08,638,sort1/sort1
113,2021-08,632,deg_annotate/1.1.0
114,2021-08,594,bcftools_consensus/1.10
115,2021-08,589,cshl_fastx_collapser/1.0.0
116,2021-08,587,gops_intersect_1/1.0.0
117,2021-08,586,samtools_view/1.9+galaxy1
118,2021-08,585,chipseeker/1.18.0+galaxy1
119,2021-08,578,trinity/2.9.1+galaxy1
120,2021-08,577,qualimap_bamqc/2.2.2c
121,2021-08,573,picard_AddOrReplaceReadGroups/2.18.2.1
122,2021-08,546,bp_genbank2gff3/1.1
123,2021-08,532,fastqc/0.72
124,2021-08,532,bedtools_genomecoveragebed/2.29.0
125,2021-08,526,rseqc_infer_experiment/2.6.4.1
126,2021-08,525,tp_awk_tool/1.1.1
127,2021-08,524,qualimap_bamqc/2.2.2d+galaxy1
128,2021-08,520,deseq2/2.11.40.6+galaxy2
129,2021-08,519,bedtools_maskfastabed/2.29.2
130,2021-08,519,lofreq_filter/2.1.4+galaxy1
131,2021-08,510,fastq_paired_end_deinterlacer/1.1.5
132,2021-08,510,tp_easyjoin_tool/1.1.2
133,2021-08,510,annotatemyids/3.12.0
134,2021-08,509,tabular_to_csv/tabular_to_csv
135,2021-08,508,samtools_flagstat/2.0.3
136,2021-08,505,fastq_to_fasta_python/1.1.1
137,2021-08,493,bowtie2/2.3.4.3+galaxy0
138,2021-08,492,CONVERTER_fastq_to_fqtoc0/CONVERTER_fastq_to_fqtoc0
139,2021-08,486,kallisto_quant/0.46.0.4
140,2021-08,480,tp_cat/0.1.0
141,2021-08,471,CONVERTER_bam_to_coodinate_sorted_bam/CONVERTER_bam_to_coodinate_sorted_bam
142,2021-08,470,Count1/Count1
143,2021-08,464,mothur_make_contigs/1.39.5.1
144,2021-08,464,limma_voom/3.48.0
145,2021-08,462,minimap2/2.20+galaxy1
