,num_jobs,consumed_mem_gb,allocated_mem_gb,pct_mem_consumed,tool_name_version
0,42084,1320676,1916269,68.9,rna_star/2.7.8a+galaxy0
1,112677,1291616,3417243,37.8,hisat2/2.2.1+galaxy0
2,94882,868539,2877595,30.2,bowtie2/2.4.2+galaxy0
3,1146666,762182,8769971,8.7,__DATA_FETCH__/__DATA_FETCH__
4,120045,711584,3641476,19.5,trimmomatic/0.38.0
5,48468,413865,1470261,28.1,bwa_mem/0.7.17.2
6,174478,366317,2654324,13.8,fastqc/0.73+galaxy0
7,38982,344667,598764,57.6,htseq_count/0.9.1
8,251683,321681,2014123,16.0,fastqc/0.72+galaxy1
9,690113,317873,5191249,6.1,upload1/upload1
10,74673,299401,2447636,12.2,ncbi_blastn_wrapper/2.10.1+galaxy0
11,22132,264861,671670,39.4,fasterq_dump/2.11.0+galaxy1
12,17101,238082,641398,37.1,kraken2/2.1.1+galaxy1
13,70542,201589,2138833,9.4,featurecounts/2.0.1+galaxy2
14,1324,193191,310369,62.2,trinity/2.9.1+galaxy2
15,147388,173508,1125318,15.4,CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed
16,10153,161193,307673,52.4,tophat2/2.1.1
17,10578,148804,320813,46.4,fasterq_dump/2.11.0+galaxy0
18,43297,143870,331256,43.4,fastq_dump/2.11.0+galaxy0
19,29503,142522,225440,63.2,picard_MarkDuplicates/2.18.2.2
20,552360,136735,4229863,3.2,ucsc_table_direct1/ucsc_table_direct1
21,16246,133785,492456,27.2,bwa/0.7.17.4
22,939,128844,243591,52.9,trinity/2.9.1+galaxy1
23,1883,122180,172598,70.8,kraken/1.3.1
24,1404,116420,127238,91.5,spades/3.15.3+galaxy2
25,5044,113066,216725,52.2,ncbi_blastp_wrapper/2.10.1+galaxy0
26,38034,109481,1153935,9.5,stringtie/2.1.7+galaxy1
27,9209,106774,278949,38.3,samtools_sort/2.0.3
28,33538,104426,1016124,10.3,featurecounts/2.0.1+galaxy1
29,26200,99874,200487,49.8,macs2_callpeak/2.1.1.20160309.6
30,14168,99236,430366,23.1,salmon/1.5.1+galaxy0
31,44118,95878,1352410,7.1,fastp/0.20.1+galaxy0
32,6036,95223,300401,31.7,spades/3.12.0+galaxy1
33,22182,94283,331166,28.5,trim_galore/0.6.7+galaxy0
34,10304,83107,312303,26.6,kallisto_quant/0.46.2+galaxy0
35,24868,77766,751695,10.3,cutadapt/3.4+galaxy0
36,5617,76002,171056,44.4,hisat2/2.1.0+galaxy7
37,24562,75720,745254,10.2,deseq2/2.11.40.7+galaxy1
38,10296,67690,312725,21.6,minimap2/2.24+galaxy0
39,6335,65465,389146,16.8,wig_to_bigWig/wig_to_bigWig
40,21863,64913,173233,37.5,trim_galore/0.6.3
41,6022,64706,207821,31.1,unicycler/0.4.8.0
42,14322,64149,434765,14.8,snippy/4.6.0+galaxy0
43,22076,63200,671032,9.4,stringtie/2.1.1
44,20245,62601,613779,10.2,cutadapt/3.7+galaxy0
45,7897,60461,239432,25.3,qualimap_bamqc/2.2.2c
46,12843,57106,389546,14.7,fastp/0.23.2+galaxy0
47,27746,56327,841537,6.7,deeptools_bam_coverage/3.3.2.0.0
48,31361,56236,239417,23.5,fastq_groomer/1.1.5
49,1642,53512,68883,77.7,rna_star/2.7.8a
50,18009,49532,558391,8.9,qualimap_bamqc/2.2.2d+galaxy3
51,16347,49355,509210,9.7,bwa_mem/0.7.17.1
52,5826,43374,176353,24.6,bowtie2/2.3.4.3+galaxy0
53,9928,42404,299820,14.1,cutadapt/3.5+galaxy1
54,11479,40822,348387,11.7,cufflinks/2.2.1.3
55,156759,40272,1193087,3.4,abricate/1.0.1
56,32855,40060,996844,4.0,prokka/1.14.6+galaxy1
57,14112,39023,427911,9.1,freebayes/1.3.1
58,202,35158,38887,90.4,kraken/1.2.4
59,10862,34271,328749,10.4,fastp/0.19.5+galaxy1
60,29971,33546,909831,3.7,deeptools_compute_matrix/3.3.2.0.0
61,7110,30497,217098,14.0,cutadapt/4.0+galaxy0
62,2034,29902,61698,48.5,trinity_align_and_estimate_abundance/2.9.1+galaxy1
63,13076,29232,100045,29.2,samtool_filter2/1.8+galaxy1
64,15668,28726,119938,24.0,ebi_sra_main/ebi_sra_main
65,17585,28292,134521,21.0,bamFilter/2.4.1
66,11191,28191,340035,8.3,deseq2/2.11.40.6+galaxy2
67,709,28078,36894,76.1,rna_star/2.6.0b-1
68,3507,27668,106323,26.0,cuffdiff/2.2.1.6
69,766,27522,41444,66.4,rna_starsolo/2.7.8a
70,11008,27276,84225,32.4,snpEff/4.3+T.galaxy1
71,4710,26253,35976,73.0,rbc_mirdeep2_mapper/2.0.0.8.1
72,880,25604,44613,57.4,ncbi_blastx_wrapper/2.10.1+galaxy0
73,9422,25136,72107,34.9,samtools_rmdup/2.0.1
74,100359,24577,766555,3.2,Add_a_column1/1.6
75,10324,24230,78955,30.7,CONVERTER_fastq_to_fqtoc0/CONVERTER_fastq_to_fqtoc0
76,7259,22707,55548,40.9,chipseeker/1.18.0+galaxy1
77,6901,22488,210174,10.7,featurecounts/2.0.1
78,30200,22292,231308,9.6,deeptools_plot_heatmap/3.3.2.0.1
79,83746,22179,639849,3.5,Cut1/Cut1
80,18087,21860,561957,3.9,lofreq_viterbi/2.1.5+galaxy0
81,39715,21256,302941,7.0,samtools_stats/2.0.2+galaxy2
82,34832,20289,266162,7.6,fastq_to_fasta_python/1.1.5
83,10351,20144,79188,25.4,CONVERTER_bam_to_coodinate_sorted_bam/CONVERTER_bam_to_coodinate_sorted_bam
84,74829,19994,571796,3.5,snpSift_filter/4.3+t.galaxy1
85,3862,19758,116834,16.9,mothur_align_seqs/1.39.5.0
86,64651,19725,494396,4.0,Filter1/Filter1
87,2963,18602,89931,20.7,shovill/1.1.0+galaxy1
88,2480,18599,74836,24.9,minimap2/2.20+galaxy2
89,209,18523,19689,94.1,ncbi_blastp_wrapper/2.10.1+galaxy2
90,15570,17968,119010,15.1,cat1/cat1
91,8221,17705,62921,28.1,cat_multiple/0.2
92,7974,17012,241582,7.0,deeptools_bam_coverage/3.5.1.0.0
93,48467,16468,370926,4.4,__SET_METADATA__/__SET_METADATA__
94,6916,16324,209670,7.8,mothur_screen_seqs/1.39.5.1
95,1171,16304,40163,40.6,flye/2.9+galaxy0
96,6342,16145,48520,33.3,CONVERTER_bam_to_bigwig_0/CONVERTER_bam_to_bigwig_0
97,392,16131,22004,73.3,rna_star/2.7.5b
98,5729,15862,43787,36.2,tp_cat/0.1.0
99,1169,15661,35126,44.6,hisat2/2.1.0+galaxy5
100,4993,14936,38194,39.1,picard_SortSam/2.18.2.1
101,63791,14832,487704,3.0,tp_find_and_replace/1.1.3
102,63490,14768,486953,3.0,seqtk_subseq/1.3.1
103,1342,14631,40857,35.8,velvetoptimiser/2.2.6
104,8030,14214,74970,19.0,ncbi_tblastn_wrapper/2.10.1+galaxy0
105,1925,14017,58054,24.1,sailfish/0.10.1.1
106,2449,13563,18719,72.5,diffbind/2.10.0
107,467,13544,14118,95.9,repeatmasker_wrapper/4.1.2-p1+galaxy1
108,6289,13502,191161,7.1,mothur_make_contigs/1.39.5.1
109,6271,13407,191079,7.0,rbc_mafft/7.221.3
110,55110,13388,420769,3.2,snpSift_extractFields/4.3+t.galaxy0
111,3701,13281,28313,46.9,sam_dump/2.11.0+galaxy0
112,6678,13225,51034,25.9,bam_to_sam/2.0.1
113,5096,13136,86895,15.1,bwa_mem2/2.2.1+galaxy0
114,3806,13119,115333,11.4,deeptools_bam_compare/3.3.2.0.0
115,12669,12927,96863,13.3,dada2_filterAndTrim/1.20+galaxy0
116,26164,12473,200201,6.2,cshl_fastx_trimmer/1.0.2+galaxy0
117,37331,12426,285239,4.4,bedtools_intersectbed/2.30.0
118,11064,12180,335575,3.6,mothur_summary_seqs/1.39.5.0
119,2212,11779,135848,8.7,CONVERTER_bedgraph_to_bigwig/CONVERTER_bedgraph_to_bigwig
120,2808,11735,85201,13.8,shovill/1.1.0+galaxy0
121,4194,11393,60542,18.8,bedtools_bamtobed/2.30.0+galaxy2
122,35385,11350,270700,4.2,Grep1/Grep1
123,18828,11306,143576,7.9,medaka_variant/1.3.2+galaxy1
124,1647,11190,49823,22.5,deeptools_multi_bam_summary/3.3.2.0.0
125,24972,11160,190093,5.9,samtools_view/1.9+galaxy2
126,25098,10606,385233,2.8,join1/join1
127,10561,10482,80814,13.0,samtools_flagstat/2.0.3
128,4212,10402,32190,32.3,samtools_mpileup/2.1.4
129,1783,10378,13666,75.9,picard_MarkDuplicates/2.18.2.3
130,12596,10372,382716,2.7,prokka/1.14.5+galaxy0
131,25244,10304,769427,1.3,rbc_mafft/7.489+galaxy0
132,3042,10279,23287,44.1,picard_MergeSamFiles/2.18.2.1
133,3315,10012,25325,39.5,jbrowse/1.16.11+galaxy1
134,17126,9925,130796,7.6,lofreq_indelqual/2.1.5+galaxy0
135,2658,9680,20299,47.7,fastq_paired_end_deinterlacer/1.1.5
136,9499,9590,288568,3.3,lofreq_call/2.1.5+galaxy1
137,2349,9574,17971,53.3,samtools_merge/1.13
138,3966,9534,120606,7.9,minimap2/2.23+galaxy0
139,10890,9522,83274,11.4,cshl_fastq_quality_filter/1.0.2+galaxy0
140,38721,9495,295986,3.2,fastq_combiner/1.1.5
141,4149,9399,31788,29.6,picard_CollectInsertSizeMetrics/2.18.2.1
142,1422,9312,42845,21.7,flye/2.6
143,3205,9156,97605,9.4,deseq2/2.11.40.6+galaxy1
144,3581,9080,27391,33.1,bedtools_genomecoveragebed/2.30.0
145,1125,8993,34454,26.1,bg_diamond/2.0.15+galaxy0
146,4606,8828,35173,25.1,fastq_trimmer/1.1.5
147,1769,8753,13492,64.9,CONVERTER_bam_to_qname_sorted_bam/CONVERTER_bam_to_qname_sorted_bam
148,562,8750,18775,46.6,metaspades/3.15.3+galaxy2
149,2792,8527,42828,19.9,seqtk_sample/1.3.2
150,11392,8334,347580,2.4,medaka_consensus/1.0.3+galaxy2
151,8692,8261,66495,12.4,dada2_mergePairs/1.20+galaxy0
152,27705,8192,211925,3.9,tp_cut_tool/1.1.0
153,4351,8169,33291,24.5,samtools_view/1.13+galaxy1
154,6593,8122,199946,4.1,deeptools_compute_matrix/3.5.1.0.0
155,23663,8047,181173,4.4,Grouping1/Grouping1
156,1514,7951,11551,68.8,qualimap_rnaseq/2.2.2d+galaxy1
157,455,7826,13755,56.9,rnaspades/3.9.0.2
158,861,7762,26105,29.7,metaspades/3.9.0
159,12579,7748,193213,4.0,ggplot2_heatmap2/3.0.1
160,6079,7732,184521,4.2,ivar_trim/1.2.2+galaxy1
161,11716,7617,89699,8.5,deeptools_plot_profile/3.3.2.0.0
162,1836,7464,56281,13.3,megahit/1.2.9+galaxy0
163,1950,7430,59320,12.5,megahit/1.1.3.5
164,13578,7340,430935,1.7,lofreq_call/2.1.5+galaxy0
165,2801,7207,21408,33.7,samtools_fastx/1.13
166,1698,7150,12957,55.2,bcftools_norm/1.10
167,831,7125,24907,28.6,varscan_somatic/2.4.3.6
168,4913,7123,37592,18.9,bcftools_mpileup/1.10
169,578,7044,17078,41.2,hisat2/2.1.0+galaxy4
170,3560,7007,119495,5.9,ivar_trim/1.3.1+galaxy0
171,6901,6982,52835,13.2,limma_voom/3.48.0+galaxy2
172,25731,6963,196494,3.5,fasta_merge_files_and_filter_unique_sequences/1.2.0
173,14063,6940,107129,6.5,bamleftalign/1.3.1
174,25373,6922,194002,3.6,snpeff_sars_cov_2/4.5covid19
175,21443,6902,164176,4.2,multiqc/1.11+galaxy0
176,2817,6884,21546,32.0,dexseq_count/1.28.1.0
177,1242,6862,37734,18.2,pilon/1.20.1
178,336,6808,10723,63.5,rnaspades/3.15.3+galaxy2
179,10317,6705,78948,8.5,ivar_consensus/1.3.1+galaxy0
180,4948,6659,37849,17.6,goseq/1.44.0+galaxy0
181,22390,6364,171044,3.7,fasta_filter_by_length/1.2
182,70,6329,6595,96.0,ncbi_blastn_wrapper/2.10.1+galaxy2
183,1268,6242,38345,16.3,sam_to_bam/2.1.1
184,1008,6221,30473,20.4,egsea/1.20.0
185,19990,6089,152524,4.0,cshl_fastx_collapser/1.0.1
186,1308,5984,9977,60.0,samtools_merge/1.9
187,264,5942,7969,74.6,bwameth/0.2.2
188,14565,5927,111266,5.3,fastq_join/1.1.2-806.1
189,21583,5922,164702,3.6,bcftools_consensus/1.10+galaxy1
190,2695,5915,81569,7.3,samtools_slice_bam/2.0.1
191,2139,5866,16837,34.8,bedtools_bamtobed/2.30.0+galaxy1
192,3194,5805,96858,6.0,deeptools_bigwig_compare/3.3.2.0.0
193,25053,5769,191507,3.0,lofreq_filter/2.1.5+galaxy0
194,23277,5663,178129,3.2,sra_source/sra_source
195,12570,5655,96059,5.9,sort1/sort1
196,3375,5609,51840,10.8,varscan/2.4.2
197,2739,5594,20953,26.7,rseqc_read_distribution/2.6.4.1
198,5448,5592,41532,13.5,scanpy_plot/1.7.1+galaxy1
199,12460,5588,380792,1.5,ivar_trim/1.3.1+galaxy2
200,1179,5578,35730,15.6,gatk4_mutect2/4.1.7.0+galaxy1
201,4232,5573,101784,5.5,trim_galore/0.4.3.1
202,14252,5488,109097,5.0,fasta2tab/1.1.1
203,7662,5466,58624,9.3,deg_annotate/1.1.0
204,11336,5462,165202,3.3,porechop/0.2.4
205,2115,5462,16177,33.8,ngsutils_bam_filter/0.5.9
206,1364,5442,10439,52.1,__EXPORT_HISTORY__/__EXPORT_HISTORY__
207,493,5400,14908,36.2,bwameth/0.2.2+galaxy1
208,7686,5384,58780,9.2,bedtools_getfastabed/2.30.0
209,755,5345,10352,51.6,genrich/0.5+galaxy2
210,5012,5312,38129,13.9,samtools_view/1.9+galaxy3
211,2000,5308,60014,8.8,cutadapt/1.16.6
212,6808,5268,195456,2.7,nanoplot/1.28.2+galaxy1
213,11142,5222,85248,6.1,CONVERTER_interval_to_bed_0/CONVERTER_interval_to_bed_0
214,1841,5141,55927,9.2,mothur_filter_seqs/1.39.5.0
215,231,5134,7003,73.3,rnaspades/3.15.4+galaxy0
216,3525,5075,33548,15.1,bamtools/2.4.0.0
217,4540,5069,34738,14.6,ivar_variants/1.3.1+galaxy2
218,1651,5009,50391,9.9,mothur_cluster_split/1.39.5.0
219,511,5005,15481,32.3,rnaspades/3.9.0.3
220,3718,4929,28474,17.3,picard_AddOrReplaceReadGroups/2.18.2.1
221,2060,4865,15758,30.9,tp_cat/0.1.1
222,2477,4854,18979,25.6,picard_SamToFastq/2.18.2.2
223,2208,4803,67041,7.2,mothur_classify_seqs/1.39.5.0
224,5865,4796,44910,10.7,deeptools_plot_heatmap/3.5.1.0.1
225,1216,4792,36887,13.0,deeptools_bam_compare/3.5.1.0.0
226,4001,4785,30540,15.7,fastq_quality_trimmer/1.1.5
227,18366,4768,140254,3.4,bedtools_genomecoveragebed/2.29.2
228,993,4757,29999,15.9,repeatmasker_wrapper/4.0.9
229,7010,4752,53660,8.9,tp_grep_tool/1.1.1
230,7266,4716,55509,8.5,cshl_fastx_barcode_splitter/1.0.1
231,3102,4686,23740,19.7,varscan_mpileup/2.4.3.1
232,18612,4662,141974,3.3,gops_subtract_1/1.0.0
233,4917,4611,37547,12.3,fastq_filter/1.1.5
234,3668,4601,28066,16.4,CONVERTER_bed_gff_or_vcf_to_bigwig_0/CONVERTER_bed_gff_or_vcf_to_bigwig_0
235,480,4536,14485,31.3,tophat2/0.9
236,481,4395,14468,30.4,maxquant/1.6.10.43+galaxy3
237,14462,4366,438985,1.0,lastz_wrapper_2/1.3.3
238,3014,4365,23051,18.9,collapse_dataset/5.1.0
239,17740,4352,135330,3.2,gops_concat_1/1.0.1
240,881,4334,6744,64.3,diffbind/2.10.0+galaxy0
241,5005,4332,57220,7.6,fastqc/0.72
242,8194,4331,62634,6.9,tp_sed_tool/1.1.1
243,2664,4310,80524,5.4,dada2_dada/1.20+galaxy0
244,3882,4294,59558,7.2,fastq_paired_end_joiner/2.0.1.1+galaxy0
245,17640,4264,134912,3.2,samtools_idxstats/2.0.3
246,7632,4246,58449,7.3,mothur_unique_seqs/1.39.5.0
247,962,4239,29133,14.6,deeptools_plot_fingerprint/3.3.2.0.0
248,17842,4219,136185,3.1,datamash_ops/1.1.0
249,1066,4193,8141,51.5,snpSift_annotate/4.3+t.galaxy1
250,9564,4144,73212,5.7,vcffilter2/1.0.0_rc3+galaxy3
251,12043,4135,91875,4.5,tp_replace_in_column/1.1.3
252,10363,4109,159084,2.6,annotatemyids/3.12.0+galaxy1
253,17590,4065,134182,3.0,gops_merge_1/1.0.0
254,10866,3963,83110,4.8,gops_intersect_1/1.0.0
255,2582,3858,19734,19.6,rseqc_geneBody_coverage/2.6.4.3
256,8474,3844,64805,5.9,rseqc_infer_experiment/2.6.4.1
257,2795,3841,84969,4.5,cuffmerge/0.0.5
258,5313,3827,40693,9.4,seq_filter_by_id/0.2.7
