,num_jobs,num_users,tool_name_version
0,1069815,25815,__DATA_FETCH__/__DATA_FETCH__
1,719363,19024,upload1/upload1
2,421459,2515,ucsc_table_direct1/ucsc_table_direct1
3,269251,13459,fastqc/0.72+galaxy1
4,170326,388,abricate/1.0.1
5,166293,8275,fastqc/0.73+galaxy0
6,152327,7134,CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed
7,143046,2322,Cut1/Cut1
8,137274,8836,trimmomatic/0.38.0
9,124229,5618,hisat2/2.2.1+galaxy0
10,116243,7469,bowtie2/2.4.2+galaxy0
11,93909,1190,Add_a_column1/1.6
12,90850,1087,ncbi_blastn_wrapper/2.10.1+galaxy0
13,75129,419,snpSift_filter/4.3+t.galaxy1
14,71875,309,tp_find_and_replace/1.1.3
15,70318,3094,featurecounts/2.0.1+galaxy2
16,64248,3847,Filter1/Filter1
17,63620,99,seqtk_subseq/1.3.1
18,56627,4973,bwa_mem/0.7.17.2
19,55694,3213,rna_star/2.7.8a+galaxy0
20,53556,719,snpSift_extractFields/4.3+t.galaxy0
21,50784,1566,fastp/0.20.1+galaxy0
22,49393,7547,__SET_METADATA__/__SET_METADATA__
23,45886,4634,fastq_dump/2.11.0+galaxy0
24,45249,2197,samtools_stats/2.0.2+galaxy2
25,41451,2289,htseq_count/0.9.1
26,40896,1129,Grep1/Grep1
27,39507,1034,stringtie/2.1.7+galaxy1
28,39113,1967,prokka/1.14.6+galaxy1
29,38758,159,fastq_combiner/1.1.5
30,37312,2264,featurecounts/2.0.1+galaxy1
31,35940,1232,fastq_to_fasta_python/1.1.5
32,35612,2036,bedtools_intersectbed/2.30.0
33,34339,224,lofreq_filter/2.1.5+galaxy0
34,34319,900,deeptools_compute_matrix/3.3.2.0.0
35,33831,1990,fastq_groomer/1.1.5
36,32822,593,snpeff_sars_cov_2/4.5covid19
37,32767,2323,picard_MarkDuplicates/2.18.2.2
38,32262,804,deeptools_plot_heatmap/3.3.2.0.1
39,32158,1354,deeptools_bam_coverage/3.3.2.0.0
40,28919,144,samtools_view/1.9+galaxy2
41,28708,1603,cutadapt/3.4+galaxy0
42,27838,2154,tp_cut_tool/1.1.0
43,26917,2139,macs2_callpeak/2.1.1.20160309.6
44,26831,3974,fasterq_dump/2.11.0+galaxy1
45,26649,439,fasta_merge_files_and_filter_unique_sequences/1.2.0
46,26409,145,cshl_fastx_collapser/1.0.1
47,25311,2442,join1/join1
48,25136,3597,deseq2/2.11.40.7+galaxy1
49,24970,291,fasta_filter_by_length/1.2
50,24607,765,stringtie/2.1.1
51,24518,405,cshl_fastx_trimmer/1.0.2+galaxy0
52,24370,1385,trim_galore/0.6.3
53,24220,1781,Grouping1/Grouping1
54,24094,1018,kraken2/2.1.1+galaxy1
55,23979,397,rbc_mafft/7.489+galaxy0
56,23969,2048,cutadapt/3.7+galaxy0
57,23801,160,qualimap_bamqc/2.2.2d+galaxy3
58,23368,2379,sra_source/sra_source
59,21768,226,bcftools_consensus/1.10+galaxy1
60,21756,4145,multiqc/1.11+galaxy0
61,21433,529,lofreq_viterbi/2.1.5+galaxy0
62,21351,1650,trim_galore/0.6.7+galaxy0
63,20598,131,lastz_wrapper_2/1.3.3
64,20394,1182,datamash_ops/1.1.0
65,20303,503,lofreq_indelqual/2.1.5+galaxy0
66,20072,24,medaka_variant/1.3.2+galaxy1
67,19366,2274,bwa/0.7.17.4
68,18891,124,lofreq_call/2.1.5+galaxy0
69,18694,762,snippy/4.6.0+galaxy0
70,18548,1253,bamFilter/2.4.1
71,18514,529,ebi_sra_main/ebi_sra_main
72,18237,1430,samtools_idxstats/2.0.3
73,18088,356,gops_subtract_1/1.0.0
74,17940,528,tab2fasta/1.1.1
75,17787,267,bwa_mem/0.7.17.1
76,16902,1178,cat1/cat1
77,16861,468,bamleftalign/1.3.1
78,16834,2777,freebayes/1.3.1
79,16813,335,kallisto_quant/0.46.2+galaxy0
80,16804,201,gops_concat_1/1.0.1
81,16719,131,gops_merge_1/1.0.0
82,16011,730,salmon/1.5.1+galaxy0
83,16002,42,bedtools_genomecoveragebed/2.29.2
84,15895,260,fastq_join/1.1.2-806.1
85,15883,840,prokka/1.14.5+galaxy0
86,15674,421,fasta2tab/1.1.1
87,15377,312,filter_by_fasta_ids/2.3
88,15332,2551,fasterq_dump/2.11.0+galaxy0
89,15292,89,replace_column_with_key_value_file/0.2
90,15254,304,vcfvcfintersect/1.0.0_rc3+galaxy0
91,15095,925,fastp/0.23.2+galaxy0
92,14748,516,tp_replace_in_line/1.1.2
93,14502,33,minimap2/2.17+galaxy2
94,13906,28,medaka_consensus/1.0.3+galaxy2
95,13872,145,ivar_trim/1.3.1+galaxy2
96,13649,253,dada2_filterAndTrim/1.20+galaxy0
97,13532,1072,samtool_filter2/1.8+galaxy1
98,13493,2820,sort1/sort1
99,13478,1416,tophat2/2.1.1
100,13080,300,porechop/0.2.4
101,12922,301,deeptools_plot_profile/3.3.2.0.0
102,12831,1283,ggplot2_heatmap2/3.0.1
103,12556,700,fastp/0.19.5+galaxy1
104,12476,965,mothur_summary_seqs/1.39.5.0
105,12461,1266,cufflinks/2.2.1.3
106,12448,1632,snpEff/4.3+T.galaxy1
107,12397,2311,deseq2/2.11.40.6+galaxy2
108,12240,1425,CONVERTER_fastq_to_fqtoc0/CONVERTER_fastq_to_fqtoc0
109,12219,177,bcftools_annotate/1.10
110,11842,617,tp_replace_in_column/1.1.3
111,11808,960,cutadapt/3.5+galaxy1
112,11775,9,sdf_to_tab/2020.03.4+galaxy0
113,11743,2423,multiqc/1.9+galaxy1
114,11540,993,lofreq_call/2.1.5+galaxy1
115,11244,315,ivar_consensus/1.3.1+galaxy0
116,11203,1358,volcanoplot/0.0.5
117,11136,1034,cshl_fastq_quality_filter/1.0.2+galaxy0
118,10956,1000,vcffilter2/1.0.0_rc3+galaxy3
119,10954,575,minimap2/2.24+galaxy0
120,10910,1284,samtools_flagstat/2.0.3
121,10725,1026,gops_intersect_1/1.0.0
122,10676,1726,CONVERTER_interval_to_bed_0/CONVERTER_interval_to_bed_0
123,10664,1207,CONVERTER_bam_to_coodinate_sorted_bam/CONVERTER_bam_to_coodinate_sorted_bam
124,10502,1148,samtools_sort/2.0.3
125,10329,96,__FILTER_FAILED_DATASETS__/__FILTER_FAILED_DATASETS__
126,10289,1323,annotatemyids/3.12.0+galaxy1
127,10178,3,ctb_alignit/1.0.4+galaxy0
