,month_year,num_users,tool_name_version
0,2022-07,4119,__DATA_FETCH__/__DATA_FETCH__
1,2022-07,1363,fastqc/0.73+galaxy0
2,2022-07,640,trimmomatic/0.38.0
3,2022-07,585,bowtie2/2.4.2+galaxy0
4,2022-07,559,__SET_METADATA__/__SET_METADATA__
5,2022-07,543,CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed
6,2022-07,524,hisat2/2.2.1+galaxy0
7,2022-07,429,deseq2/2.11.40.7+galaxy1
8,2022-07,425,featurecounts/2.0.1+galaxy2
9,2022-07,415,fasterq_dump/2.11.0+galaxy1
10,2022-07,386,multiqc/1.11+galaxy0
11,2022-07,315,fastq_dump/2.11.0+galaxy0
12,2022-07,287,prokka/1.14.6+galaxy1
13,2022-07,267,cutadapt/4.0+galaxy0
14,2022-07,233,trim_galore/0.6.7+galaxy0
15,2022-07,233,bwa_mem/0.7.17.2
16,2022-07,225,ucsc_table_direct1/ucsc_table_direct1
17,2022-07,216,Cut1/Cut1
18,2022-07,211,rna_star/2.7.8a+galaxy0
19,2022-07,198,Filter1/Filter1
20,2022-07,194,fastp/0.23.2+galaxy0
21,2022-07,194,macs2_callpeak/2.1.1.20160309.6
22,2022-07,188,deeptools_bam_coverage/3.5.1.0.0
23,2022-07,184,sra_source/sra_source
24,2022-07,178,spades/3.15.3+galaxy2
25,2022-07,176,annotatemyids/3.12.0+galaxy1
26,2022-07,167,csv_to_tabular/csv_to_tabular
27,2022-07,159,CONVERTER_bam_to_bigwig_0/CONVERTER_bam_to_bigwig_0
28,2022-07,158,CONVERTER_interval_to_bed_0/CONVERTER_interval_to_bed_0
29,2022-07,150,volcanoplot/0.0.5
30,2022-07,149,edger/3.34.0+galaxy2
31,2022-07,147,bedtools_intersectbed/2.30.0
32,2022-07,144,freebayes/1.3.1
33,2022-07,140,stringtie/2.1.7+galaxy1
34,2022-07,132,join1/join1
35,2022-07,131,CONVERTER_fasta_to_tabular/CONVERTER_fasta_to_tabular
36,2022-07,130,deeptools_compute_matrix/3.5.1.0.0
37,2022-07,130,htseq_count/0.9.1
38,2022-07,130,limma_voom/3.48.0+galaxy2
39,2022-07,129,ncbi_blastn_wrapper/2.10.1+galaxy0
40,2022-07,124,bwa/0.7.17.4
41,2022-07,122,minimap2/2.24+galaxy0
42,2022-07,115,snpEff/4.3+T.galaxy1
43,2022-07,113,deg_annotate/1.1.0
44,2022-07,111,deeptools_plot_heatmap/3.5.1.0.1
45,2022-07,111,ebi_sra_main/ebi_sra_main
46,2022-07,107,fastq_to_fasta_python/1.1.5
47,2022-07,106,picard_MarkDuplicates/2.18.2.3
48,2022-07,106,ggplot2_heatmap2/3.0.1
49,2022-07,105,CONVERTER_bed_gff_or_vcf_to_bigwig_0/CONVERTER_bed_gff_or_vcf_to_bigwig_0
50,2022-07,104,tabular_to_csv/tabular_to_csv
51,2022-07,104,quast/5.0.2+galaxy5
52,2022-07,103,cat1/cat1
53,2022-07,100,fastq_groomer/1.1.5
54,2022-07,97,samtools_view/1.13+galaxy2
55,2022-07,95,sort1/sort1
56,2022-07,95,collection_column_join/0.0.3
57,2022-07,94,snippy/4.6.0+galaxy0
58,2022-07,94,unicycler/0.4.8.0
59,2022-07,93,__FLATTEN__/__FLATTEN__
60,2022-07,93,samtools_stats/2.0.2+galaxy2
61,2022-07,90,CONVERTER_bam_to_coodinate_sorted_bam/CONVERTER_bam_to_coodinate_sorted_bam
62,2022-07,90,samtools_sort/2.0.3
63,2022-07,89,tp_cat/0.1.1
64,2022-07,88,shovill/1.1.0+galaxy1
65,2022-07,87,gops_intersect_1/1.0.0
66,2022-07,86,fasta-stats/2.0
67,2022-07,85,bwa_mem2/2.2.1+galaxy0
68,2022-07,81,ncbi_makeblastdb/2.10.1+galaxy0
69,2022-07,81,ncbi_acc_download/0.2.7+galaxy0
70,2022-07,80,mothur_unique_seqs/1.39.5.0
71,2022-07,80,samtools_rmdup/2.0.1
72,2022-07,79,CONVERTER_uncompressed_to_gz/CONVERTER_uncompressed_to_gz
73,2022-07,78,CONVERTER_fastq_to_fqtoc0/CONVERTER_fastq_to_fqtoc0
74,2022-07,78,bam_to_sam/2.0.1
75,2022-07,78,samtools_idxstats/2.0.3
76,2022-07,77,kraken2/2.1.1+galaxy1
77,2022-07,77,samtools_mpileup/2.1.4
78,2022-07,77,chipseeker/1.18.0+galaxy1
79,2022-07,76,mothur_make_contigs/1.39.5.1
80,2022-07,75,trinity/2.9.1+galaxy2
81,2022-07,74,Add_a_column1/1.6
82,2022-07,74,rseqc_infer_experiment/2.6.4.1
83,2022-07,74,jbrowse/1.16.11+galaxy1
84,2022-07,74,Grouping1/Grouping1
85,2022-07,73,bamFilter/2.4.1
86,2022-07,73,stringtie_merge/2.1.7+galaxy1
87,2022-07,72,mothur_screen_seqs/1.39.5.1
88,2022-07,72,mothur_summary_seqs/1.39.5.0
89,2022-07,68,snpEff_download/4.3+T.galaxy2
90,2022-07,68,datasets_download_genome/13.24.1+galaxy1
91,2022-07,67,mothur_align_seqs/1.39.5.0
92,2022-07,67,cat_multiple/0.2
93,2022-07,67,rbc_mafft/7.489+galaxy0
94,2022-07,66,Grep1/Grep1
95,2022-07,66,sam_dump/2.11.0+galaxy0
96,2022-07,66,__EXPORT_HISTORY__/__EXPORT_HISTORY__
97,2022-07,65,deeptools_plot_profile/3.5.1.0.0
98,2022-07,65,tp_cut_tool/1.1.0
99,2022-07,65,fastq_paired_end_interlacer/1.2.0.1+galaxy0
100,2022-07,64,CONVERTER_interval_to_bed12_0/CONVERTER_interval_to_bed12_0
101,2022-07,63,bcftools_mpileup/1.10
102,2022-07,63,cufflinks/2.2.1.3
103,2022-07,63,collapse_dataset/5.1.0
104,2022-07,63,CONVERTER_gff_to_bed_0/CONVERTER_gff_to_bed_0
105,2022-07,63,busco/5.3.2+galaxy0
106,2022-07,63,flye/2.9+galaxy0
107,2022-07,62,mothur_count_seqs/1.39.5.0
108,2022-07,62,tp_replace_in_column/1.1.3
109,2022-07,61,taxonomy_krona_chart/2.7.1
110,2022-07,61,bedtools_bamtobed/2.30.0+galaxy2
111,2022-07,60,samtool_filter2/1.8+galaxy1
112,2022-07,58,deeptools_plot_correlation/3.5.1.0.0
113,2022-07,58,samtools_flagstat/2.0.3
114,2022-07,58,CONVERTER_interval_to_bedstrict_0/CONVERTER_interval_to_bedstrict_0
115,2022-07,58,lofreq_call/2.1.5+galaxy1
116,2022-07,57,tab2fasta/1.1.1
117,2022-07,56,picard_MarkDuplicates/2.18.2.2
118,2022-07,54,mothur_pre_cluster/1.39.5.0
119,2022-07,54,bedtools_getfastabed/2.30.0
120,2022-07,53,raceid_filtnormconf/3.1
121,2022-07,53,velvetoptimiser/2.2.6
122,2022-07,53,deeptools_bam_compare/3.5.1.0.0
123,2022-07,52,varscan/2.4.2
