tool_name_version,Unnamed: 0,month_year,avg_cpu_time
fastqc/0.72+galaxy1,309, 2020-01 ,325389767652584.44
fastqc/0.72+galaxy1,1656, 2020-02 ,138978881377433.31
fastqc/0.72+galaxy1,3098, 2020-03 ,204463890258580.16
fastqc/0.72+galaxy1,4474, 2020-04 ,1731152631868183.5
fastqc/0.72+galaxy1,6040, 2020-05 ,228553059054960.0
fastqc/0.72+galaxy1,7479, 2020-06 ,242242997253487.4
fastqc/0.72+galaxy1,8947, 2020-07 ,237724224236711.3
fastqc/0.72+galaxy1,10398, 2020-08 ,311614158817801.44
fastqc/0.72+galaxy1,11643, 2020-09 ,210655706096324.88
fastqc/0.72+galaxy1,12775, 2020-10 ,1194966833130133.8
fastqc/0.72+galaxy1,14152, 2020-11 ,284050510586927.8
fastqc/0.72+galaxy1,15491, 2020-12 ,152104484696900.25
fastqc/0.72+galaxy1,16702, 2021-01 ,380344797319746.4
fastqc/0.72+galaxy1,17987, 2021-02 ,266386981204161.2
fastqc/0.72+galaxy1,19367, 2021-03 ,219586021730242.4
fastqc/0.72+galaxy1,20662, 2021-04 ,851473398842168.8
fastqc/0.72+galaxy1,22100, 2021-05 ,123236169050491.52
