tool_name_version,Unnamed: 0,month_year,avg_memory
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,981, 2020-01 ,131811887.87309864
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,2009, 2020-02 ,131811887.42963731
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,3514, 2020-03 ,131811886.30457464
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,4880, 2020-04 ,131811878.07194243
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,5965, 2020-05 ,131811876.0
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,7211, 2020-06 ,131811876.0
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,8924, 2020-07 ,131811876.0
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,10873, 2020-08 ,118910223.50466584
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,11861, 2020-09 ,109937099.36842103
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,13609, 2020-10 ,113426487.2052088
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,14776, 2020-11 ,121022519.80918571
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,16033, 2020-12 ,124234335.1970846
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,17233, 2021-01 ,121173374.85862324
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,18608, 2021-02 ,118766524.2361809
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,19929, 2021-03 ,115175259.60042828
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,21383, 2021-04 ,114495249.82849774
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,22557, 2021-05 ,102766075.19521353
