tool_name_version,Unnamed: 0,month_year,num_jobs
fastqc/0.72+galaxy1,2, 2020-01 ,21256.0
fastqc/0.72+galaxy1,1326, 2020-02 ,28106.0
fastqc/0.72+galaxy1,2858, 2020-03 ,28304.0
fastqc/0.72+galaxy1,4453, 2020-04 ,37324.0
fastqc/0.72+galaxy1,6006, 2020-05 ,29210.0
fastqc/0.72+galaxy1,7558, 2020-06 ,24897.0
fastqc/0.72+galaxy1,9133, 2020-07 ,24558.0
fastqc/0.72+galaxy1,10685, 2020-08 ,23845.0
fastqc/0.72+galaxy1,12017, 2020-09 ,21316.0
fastqc/0.72+galaxy1,13314, 2020-10 ,32872.0
fastqc/0.72+galaxy1,14710, 2020-11 ,67103.0
fastqc/0.72+galaxy1,16103, 2020-12 ,37362.0
fastqc/0.72+galaxy1,17437, 2021-01 ,32891.0
fastqc/0.72+galaxy1,18795, 2021-02 ,32586.0
fastqc/0.72+galaxy1,20211, 2021-03 ,37271.0
fastqc/0.72+galaxy1,21679, 2021-04 ,39161.0
fastqc/0.72+galaxy1,23106, 2021-05 ,41236.0
