tool_name_version,Unnamed: 0,month_year,num_users
bowtie2/2.3.4.3+galaxy0,4, 2020-01 ,758.0
bowtie2/2.3.4.3+galaxy0,1327, 2020-02 ,797.0
bowtie2/2.3.4.3+galaxy0,2861, 2020-03 ,942.0
bowtie2/2.3.4.3+galaxy0,4456, 2020-04 ,1024.0
bowtie2/2.3.4.3+galaxy0,6010, 2020-05 ,983.0
bowtie2/2.3.4.3+galaxy0,7558, 2020-06 ,903.0
bowtie2/2.3.4.3+galaxy0,9134, 2020-07 ,821.0
bowtie2/2.3.4.3+galaxy0,10684, 2020-08 ,770.0
bowtie2/2.3.4.3+galaxy0,12007, 2020-09 ,939.0
bowtie2/2.3.4.3+galaxy0,13317, 2020-10 ,884.0
bowtie2/2.3.4.3+galaxy0,14712, 2020-11 ,1281.0
bowtie2/2.3.4.3+galaxy0,16106, 2020-12 ,930.0
bowtie2/2.3.4.3+galaxy0,17437, 2021-01 ,858.0
bowtie2/2.3.4.3+galaxy0,18796, 2021-02 ,904.0
bowtie2/2.3.4.3+galaxy0,20215, 2021-03 ,866.0
bowtie2/2.3.4.3+galaxy0,21823, 2021-04 ,74.0
bowtie2/2.3.4.3+galaxy0,23390, 2021-05 ,30.0
