tool_name_version,Unnamed: 0,month_year,num_users
fastqc/0.72+galaxy1,2, 2020-01 ,1515.0
fastqc/0.72+galaxy1,1326, 2020-02 ,1571.0
fastqc/0.72+galaxy1,2858, 2020-03 ,2319.0
fastqc/0.72+galaxy1,4453, 2020-04 ,2237.0
fastqc/0.72+galaxy1,6006, 2020-05 ,2230.0
fastqc/0.72+galaxy1,7557, 2020-06 ,1605.0
fastqc/0.72+galaxy1,9133, 2020-07 ,1433.0
fastqc/0.72+galaxy1,10683, 2020-08 ,1301.0
fastqc/0.72+galaxy1,12006, 2020-09 ,1894.0
fastqc/0.72+galaxy1,13314, 2020-10 ,2088.0
fastqc/0.72+galaxy1,14710, 2020-11 ,3173.0
fastqc/0.72+galaxy1,16103, 2020-12 ,2295.0
fastqc/0.72+galaxy1,17436, 2021-01 ,1903.0
fastqc/0.72+galaxy1,18795, 2021-02 ,2227.0
fastqc/0.72+galaxy1,20210, 2021-03 ,2660.0
fastqc/0.72+galaxy1,21679, 2021-04 ,2292.0
fastqc/0.72+galaxy1,23106, 2021-05 ,2699.0
