tool_name_version,Unnamed: 0,month_year,num_users
upload1/upload1,1, 2020-01 ,3731.0
upload1/upload1,1325, 2020-02 ,4033.0
upload1/upload1,2857, 2020-03 ,4980.0
upload1/upload1,4452, 2020-04 ,5222.0
upload1/upload1,6005, 2020-05 ,4797.0
upload1/upload1,7556, 2020-06 ,4012.0
upload1/upload1,9132, 2020-07 ,3708.0
upload1/upload1,10682, 2020-08 ,3317.0
upload1/upload1,12005, 2020-09 ,4294.0
upload1/upload1,13313, 2020-10 ,5000.0
upload1/upload1,14709, 2020-11 ,5745.0
upload1/upload1,16102, 2020-12 ,4440.0
upload1/upload1,17435, 2021-01 ,4476.0
upload1/upload1,18794, 2021-02 ,4427.0
upload1/upload1,20209, 2021-03 ,5672.0
upload1/upload1,21678, 2021-04 ,5503.0
upload1/upload1,23105, 2021-05 ,5190.0
