tool_name_version,Unnamed: 0,month_year,total_cpu_time
bowtie2/2.3.4.3+galaxy0,2, 2020-01 , 1273465694562012747525.00000000000000
bowtie2/2.3.4.3+galaxy0,1283, 2020-02 , 1232388802584794642825.00000000000000
bowtie2/2.3.4.3+galaxy0,2717, 2020-03 ,  845292178045303971881.00000000000000
bowtie2/2.3.4.3+galaxy0,4234, 2020-04 , 1269833336654772107603.00000000000000
bowtie2/2.3.4.3+galaxy0,5704, 2020-05 , 1134653584491104880817.00000000000000
bowtie2/2.3.4.3+galaxy0,7152, 2020-06 ,  537655444557993535134.00000000000000
bowtie2/2.3.4.3+galaxy0,8621, 2020-07 ,  845410313910742158725.00000000000000
bowtie2/2.3.4.3+galaxy0,10079, 2020-08 , 1085840750834206253737.00000000000000
bowtie2/2.3.4.3+galaxy0,11321, 2020-09 ,  909724552393198491577.00000000000000
bowtie2/2.3.4.3+galaxy0,12552, 2020-10 ,  830591407901464592717.00000000000000
bowtie2/2.3.4.3+galaxy0,13851, 2020-11 , 2354828402009317947933.00000000000000
bowtie2/2.3.4.3+galaxy0,15156, 2020-12 , 1843026317905982928432.00000000000000
bowtie2/2.3.4.3+galaxy0,16398, 2021-01 , 1252218382426829798888.00000000000000
bowtie2/2.3.4.3+galaxy0,17655, 2021-02 , 1036994158736279281601.00000000000000
bowtie2/2.3.4.3+galaxy0,18989, 2021-03 , 1118647878603939589321.00000000000000
bowtie2/2.3.4.3+galaxy0,20438, 2021-04 ,   34562790298041793449.00000000000000
bowtie2/2.3.4.3+galaxy0,21796, 2021-05 ,   17693506446192294107.00000000000000
