tool_name_version,Unnamed: 0,month_year,total_cpu_time
bwa_mem/0.7.17.1,1, 2020-01 , 1326123336348588786180.00000000000000
bwa_mem/0.7.17.1,1280, 2020-02 , 1899239070471828476855.00000000000000
bwa_mem/0.7.17.1,2716, 2020-03 , 1127391239831795259366.00000000000000
bwa_mem/0.7.17.1,4235, 2020-04 , 1056949578232366539604.00000000000000
bwa_mem/0.7.17.1,5707, 2020-05 ,  836353141941848817937.00000000000000
bwa_mem/0.7.17.1,7150, 2020-06 ,  767741336686661389417.00000000000000
bwa_mem/0.7.17.1,8620, 2020-07 ,  896938892834670165869.00000000000000
bwa_mem/0.7.17.1,10077, 2020-08 , 1360180513298625708446.00000000000000
bwa_mem/0.7.17.1,11322, 2020-09 ,  824285058548414309457.00000000000000
bwa_mem/0.7.17.1,12550, 2020-10 , 1420907056020722535387.00000000000000
bwa_mem/0.7.17.1,13852, 2020-11 , 1531020697567793908873.00000000000000
bwa_mem/0.7.17.1,15160, 2020-12 ,  462704414982546752774.00000000000000
bwa_mem/0.7.17.1,16397, 2021-01 , 1610636582577817133486.00000000000000
bwa_mem/0.7.17.1,17653, 2021-02 , 1279238302927560043673.00000000000000
bwa_mem/0.7.17.1,18987, 2021-03 , 1713878875788397873052.00000000000000
bwa_mem/0.7.17.1,20387, 2021-04 , 1681372992930164815879.00000000000000
bwa_mem/0.7.17.1,21736, 2021-05 , 1580006591467440059035.00000000000000
