tool_name_version,Unnamed: 0,month_year,total_cpu_time
upload1/upload1,62, 2020-01 ,    8238099375153707271.00000000000000
upload1/upload1,1377, 2020-02 ,    4351270782585190152.00000000000000
upload1/upload1,2827, 2020-03 ,    5090924239148463785.00000000000000
upload1/upload1,4300, 2020-04 ,   12626844801096800595.00000000000000
upload1/upload1,5797, 2020-05 ,    3405264536689975039.00000000000000
upload1/upload1,7221, 2020-06 ,    4889118144679552262.00000000000000
upload1/upload1,8680, 2020-07 ,   12596494067029135414.00000000000000
upload1/upload1,10144, 2020-08 ,    6983244227499526470.00000000000000
upload1/upload1,11425, 2020-09 ,    1626629562222285758.00000000000000
upload1/upload1,12597, 2020-10 ,   16649920007901756344.00000000000000
upload1/upload1,13948, 2020-11 ,    4335196006145503825.00000000000000
upload1/upload1,15244, 2020-12 ,    3600138592371544902.00000000000000
upload1/upload1,16475, 2021-01 ,    7021654687018432103.00000000000000
upload1/upload1,17708, 2021-02 ,   14908443479102090353.00000000000000
upload1/upload1,19046, 2021-03 ,   24346710830452523758.00000000000000
upload1/upload1,20479, 2021-04 ,    7831874353426462941.00000000000000
upload1/upload1,21851, 2021-05 ,    2468143372488862734.00000000000000
