tool_name_version,Unnamed: 0,month_year,totalmemory
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,6, 2020-01 ,1213196615984.0
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,1291, 2020-02 ,1271984713696.0
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,2733, 2020-03 ,1313900882684.0
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,4255, 2020-04 ,1099311063120.0
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,5731, 2020-05 ,998079525072.0
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,7195, 2020-06 ,643769202384.0
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,8683, 2020-07 ,797198226048.0
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,10146, 2020-08 ,942958072392.0
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,11400, 2020-09 ,958761443592.0
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,12629, 2020-10 ,1010403148024.0
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,13949, 2020-11 ,1090896993560.0
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,15264, 2020-12 ,1261351205256.0
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,16519, 2021-01 ,982231376604.0
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,17793, 2021-02 ,661767073044.0
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,19136, 2021-03 ,1075736924668.0
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,20535, 2021-04 ,1065492794904.0
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,21899, 2021-05 ,875978024964.0
