tool_name_version,Unnamed: 0,month_year,totalmemory
bowtie2/2.3.4.3+galaxy0,11, 2020-01 ,584841137992.0
bowtie2/2.3.4.3+galaxy0,1295, 2020-02 ,888610745928.0
bowtie2/2.3.4.3+galaxy0,2746, 2020-03 ,687885078904.0
bowtie2/2.3.4.3+galaxy0,4261, 2020-04 ,725016035164.0
bowtie2/2.3.4.3+galaxy0,5738, 2020-05 ,622011925000.0
bowtie2/2.3.4.3+galaxy0,7198, 2020-06 ,553050528528.0
bowtie2/2.3.4.3+galaxy0,8687, 2020-07 ,565808904472.0
bowtie2/2.3.4.3+galaxy0,10139, 2020-08 ,1353033120980.0
bowtie2/2.3.4.3+galaxy0,11403, 2020-09 ,656180454728.0
bowtie2/2.3.4.3+galaxy0,12637, 2020-10 ,593677372824.0
bowtie2/2.3.4.3+galaxy0,13957, 2020-11 ,704576409224.0
bowtie2/2.3.4.3+galaxy0,15271, 2020-12 ,589735089112.0
bowtie2/2.3.4.3+galaxy0,16526, 2021-01 ,656012401324.0
bowtie2/2.3.4.3+galaxy0,17789, 2021-02 ,1193165056332.0
bowtie2/2.3.4.3+galaxy0,19146, 2021-03 ,562144861760.0
bowtie2/2.3.4.3+galaxy0,20659, 2021-04 ,51212610208.0
bowtie2/2.3.4.3+galaxy0,22044, 2021-05 ,36249804996.0
