tool_name_version,Unnamed: 0,month_year,totalmemory
bwa_mem/0.7.17.1,13, 2020-01 ,477672835360.0
bwa_mem/0.7.17.1,1310, 2020-02 ,308693193796.0
bwa_mem/0.7.17.1,2742, 2020-03 ,762390306156.0
bwa_mem/0.7.17.1,4273, 2020-04 ,400915248176.0
bwa_mem/0.7.17.1,5741, 2020-05 ,544501256004.0
bwa_mem/0.7.17.1,7187, 2020-06 ,897003827228.0
bwa_mem/0.7.17.1,8669, 2020-07 ,1156742543240.0
bwa_mem/0.7.17.1,10138, 2020-08 ,1886057181128.0
bwa_mem/0.7.17.1,11388, 2020-09 ,3664575359852.0
bwa_mem/0.7.17.1,12639, 2020-10 ,566492690288.0
bwa_mem/0.7.17.1,13963, 2020-11 ,359625530692.0
bwa_mem/0.7.17.1,15299, 2020-12 ,232431091080.0
bwa_mem/0.7.17.1,16529, 2021-01 ,609812333584.0
bwa_mem/0.7.17.1,17800, 2021-02 ,457267998896.0
bwa_mem/0.7.17.1,19151, 2021-03 ,401267719976.0
bwa_mem/0.7.17.1,20551, 2021-04 ,338147277312.0
bwa_mem/0.7.17.1,21893, 2021-05 ,1197718547716.0
