tool_name_version,Unnamed: 0,month_year,totalmemory
fastqc/0.72+galaxy1,4, 2020-01 ,2718883810716.0
fastqc/0.72+galaxy1,1289, 2020-02 ,3352898986876.0
fastqc/0.72+galaxy1,2730, 2020-03 ,3611645688888.0
fastqc/0.72+galaxy1,4253, 2020-04 ,4630946697576.0
fastqc/0.72+galaxy1,5726, 2020-05 ,3530712910536.0
fastqc/0.72+galaxy1,7181, 2020-06 ,3042218098080.0
fastqc/0.72+galaxy1,8665, 2020-07 ,3110496649848.0
fastqc/0.72+galaxy1,10136, 2020-08 ,2732862540916.0
fastqc/0.72+galaxy1,11398, 2020-09 ,1933892523564.0
fastqc/0.72+galaxy1,12628, 2020-10 ,3863182870224.0
fastqc/0.72+galaxy1,13943, 2020-11 ,7608510796488.0
fastqc/0.72+galaxy1,15261, 2020-12 ,3765032569864.0
fastqc/0.72+galaxy1,16517, 2021-01 ,3676149833520.0
fastqc/0.72+galaxy1,17787, 2021-02 ,3573203676632.0
fastqc/0.72+galaxy1,19132, 2021-03 ,3884619408616.0
fastqc/0.72+galaxy1,20533, 2021-04 ,4291342230564.0
fastqc/0.72+galaxy1,21885, 2021-05 ,3996713461440.0
