tool_name_version,Unnamed: 0,month_year,totalmemory
upload1/upload1,1, 2020-01 ,12237942925000.0
upload1/upload1,1286, 2020-02 ,13218623325776.0
upload1/upload1,2729, 2020-03 ,15530867315628.0
upload1/upload1,4252, 2020-04 ,17062124939816.0
upload1/upload1,5725, 2020-05 ,12058282228356.0
upload1/upload1,7179, 2020-06 ,12222256202100.0
upload1/upload1,8664, 2020-07 ,11802303565164.0
upload1/upload1,10133, 2020-08 ,10279580098620.0
upload1/upload1,11386, 2020-09 ,7678114693804.0
upload1/upload1,12627, 2020-10 ,11245289626828.0
upload1/upload1,13942, 2020-11 ,12286348179832.0
upload1/upload1,15260, 2020-12 ,11326255492252.0
upload1/upload1,16515, 2021-01 ,14199825793608.0
upload1/upload1,17786, 2021-02 ,11833319067192.0
upload1/upload1,19131, 2021-03 ,12634110865500.0
upload1/upload1,20532, 2021-04 ,13250755696844.0
upload1/upload1,21883, 2021-05 ,12688386111604.0
