Unnamed: 0,month_year,avg_cpu_time
26, 2020-01 ,3.205519304685977e+17
1294, 2020-02 ,6.138458534168805e+17
2768, 2020-03 ,1.4472288059458218e+17
4275, 2020-04 ,2.187395650315328e+17
5755, 2020-05 ,1.5012621467274256e+17
7208, 2020-06 ,8.959520792235517e+16
8693, 2020-07 ,7.950176323654229e+16
10143, 2020-08 ,7.437964200244029e+16
11416, 2020-09 ,2.644142742504697e+16
12577, 2020-10 ,2.301809583704394e+17
13881, 2020-11 ,3.5580309030160205e+17
15199, 2020-12 ,1.667403297234403e+17
16438, 2021-01 ,2.3147981928396336e+17
17686, 2021-02 ,2.892895302866486e+17
19030, 2021-03 ,3.7511028141571405e+17
20421, 2021-04 ,4.371744651404485e+17
21785, 2021-05 ,1.42317293412668e+17
