Unnamed: 0,month_year,avg_cpu_time
309, 2020-01 ,325389767652584.44
1656, 2020-02 ,138978881377433.31
3098, 2020-03 ,204463890258580.16
4474, 2020-04 ,1731152631868183.5
6040, 2020-05 ,228553059054960.0
7479, 2020-06 ,242242997253487.4
8947, 2020-07 ,237724224236711.3
10398, 2020-08 ,311614158817801.44
11643, 2020-09 ,210655706096324.88
12775, 2020-10 ,1194966833130133.8
14152, 2020-11 ,284050510586927.8
15491, 2020-12 ,152104484696900.25
16702, 2021-01 ,380344797319746.4
17987, 2021-02 ,266386981204161.2
19367, 2021-03 ,219586021730242.4
20662, 2021-04 ,851473398842168.8
22100, 2021-05 ,123236169050491.52
