Unnamed: 0,month_year,avg_memory
1012, 2020-01 ,131811887.85165074
1755, 2020-02 ,131811887.6784212
3378, 2020-03 ,131811886.45576642
5034, 2020-04 ,131811877.65280506
6184, 2020-05 ,131811876.0
7592, 2020-06 ,131811876.0
9077, 2020-07 ,131811876.0
10872, 2020-08 ,118933873.30994864
12185, 2020-09 ,94157092.53439794
13421, 2020-10 ,121997816.90848228
14755, 2020-11 ,121627194.77728756
16104, 2020-12 ,122499839.59212624
17339, 2021-01 ,118280239.17374516
18648, 2021-02 ,117535728.31920002
19927, 2021-03 ,115202236.31720048
21382, 2021-04 ,114539642.09053542
22631, 2021-05 ,100042890.14868584
