Unnamed: 0,month_year,total_cpu_time
570, 2020-01 ,         87651472654211.00000000000000
3502, 2020-03 ,         19197390459512.00000000000000
4875, 2020-04 ,        160265974052191.00000000000000
6230, 2020-05 ,        430376335224210.00000000000000
7546, 2020-06 ,       2929788071982262.00000000000000
9090, 2020-07 ,       1165331345357041.00000000000000
10467, 2020-08 ,       4758679143812023.00000000000000
11735, 2020-09 ,       1780697239346431.00000000000000
13063, 2020-10 ,        385590719799072.00000000000000
14437, 2020-11 ,        125970377025116.00000000000000
17306, 2021-01 ,          1612499995767.00000000000000
18201, 2021-02 ,        588940492857056.00000000000000
