month_year,avg_cpu_time
 2020-01 ,28806755411010.688
 2020-02 ,27171320479945.77
 2020-03 ,37867961786470.65
 2020-04 ,54036376014150.16
 2020-05 ,60436136171668.414
 2020-06 ,47205263901288.08
 2020-07 ,22376750331917.223
 2020-08 ,11829315909854.86
 2020-09 ,17927881699840.812
 2020-10 ,19756791563665.48
 2020-11 ,23780539467197.406
 2020-12 ,32832909743599.312
 2021-01 ,21113120131754.54
 2021-02 ,72521640833875.42
 2021-03 ,49465098537326.32
 2021-04 ,57477062548072.04
 2021-05 ,42924172606119.56
