month_year,avg_cpu_time
 2020-01 ,2.301582675875678e+17
 2020-02 ,1.3498234420424912e+17
 2020-03 ,1.200528586912802e+17
 2020-04 ,1.4215082689519443e+17
 2020-05 ,1.54164889197161e+17
 2020-06 ,7.323010685889315e+16
 2020-07 ,1.0077605363103376e+17
 2020-08 ,7.29045757240638e+16
 2020-09 ,9.918497082350618e+16
 2020-10 ,1.0495216172624016e+17
 2020-11 ,2.574145607793308e+17
 2020-12 ,2.4057255161284205e+17
 2021-01 ,1.5864923127161152e+17
 2021-02 ,9.139733463214166e+16
 2021-03 ,1.717825366406541e+17
 2021-04 ,5.342007774040463e+16
 2021-05 ,4.315489377120072e+16
