month_year,avg_cpu_time
 2020-01 ,2.509636621315466e+16
 2020-02 ,3.002602227703531e+16
 2020-03 ,3.622611877648384e+16
 2020-04 ,5.048510038220748e+16
 2020-05 ,3.2751194227596256e+16
 2020-06 ,4.169188791255117e+16
 2020-07 ,3.832436344353063e+16
 2020-08 ,2.858220874968869e+16
 2020-09 ,7.560762408846542e+16
 2020-10 ,3.5886492947049684e+16
 2020-11 ,4.447441602831793e+16
 2020-12 ,5.645362082871399e+16
 2021-01 ,4.184330981975156e+16
 2021-02 ,8.612664622942109e+16
 2021-03 ,6.807303027258856e+16
 2021-04 ,2.8470772011315948e+16
 2021-05 ,8.900741234614504e+16
