month_year,avg_cpu_time
 2020-01 ,2.4616665839361896e+16
 2020-02 ,4985770602254724.0
 2020-03 ,5387763533869602.0
 2020-04 ,2277272187784933.0
 2020-05 ,1812517818479191.2
 2020-06 ,2207828842439888.0
 2020-07 ,1441191934333547.5
 2020-08 ,4466813118671756.0
 2020-09 ,4119279809605604.0
 2020-10 ,2933674849117768.5
 2020-11 ,2730088940251904.0
 2020-12 ,1445702556473827.2
 2021-01 ,1572274088596039.5
 2021-02 ,1944555438458740.0
 2021-03 ,2021879861343948.8
 2021-04 ,3533879452110918.5
 2021-05 ,2204934113690092.0
