month_year,avg_cpu_time
 2020-01 ,4456182750298.168
 2020-02 ,1941386637594.4463
 2020-03 ,1660150137069.337
 2020-04 ,5694726555264.535
 2020-05 ,2699618991414.1123
 2020-06 ,5014399379388.164
 2020-07 ,2827505001687.206
 2020-08 ,3174766585337.1226
 2020-09 ,626191226787.5226
 2020-10 ,1715130074968.2537
 2020-11 ,2214450251982.6377
 2020-12 ,2720474593063.008
 2021-01 ,1414566007483.1863
 2021-02 ,1224244209533.3792
 2021-03 ,935009081082.6945
 2021-04 ,908088360351.4708
 2021-05 ,2523743387020.3545
