month_year,total_cpu_time
 2020-01 ,    8094039155590799233.00000000000000
 2020-02 ,     261739847212816999.00000000000000
 2020-03 ,    2518553409689131096.00000000000000
 2020-04 ,     176010115200437840.00000000000000
 2020-05 ,     409082925250044417.00000000000000
 2020-06 ,     160983238939379127.00000000000000
 2020-07 ,     250301172951914027.00000000000000
 2020-08 ,     141830046665345192.00000000000000
 2020-09 ,     534129221164575830.00000000000000
 2020-10 ,     772391687328931013.00000000000000
 2020-11 ,     833234795305014473.00000000000000
 2020-12 ,      73114193600803155.00000000000000
 2021-01 ,     934855194422085096.00000000000000
 2021-02 ,     198473189499688531.00000000000000
 2021-03 ,     213064282950786215.00000000000000
 2021-04 ,     874518315110828815.00000000000000
 2021-05 ,     252856803809137005.00000000000000
