month_year,total_cpu_time
 2020-01 , 1273465694562012747525.00000000000000
 2020-02 , 1232388802584794642825.00000000000000
 2020-03 ,  845292178045303971881.00000000000000
 2020-04 , 1269833336654772107603.00000000000000
 2020-05 , 1134653584491104880817.00000000000000
 2020-06 ,  537655444557993535134.00000000000000
 2020-07 ,  845410313910742158725.00000000000000
 2020-08 , 1085840750834206253737.00000000000000
 2020-09 ,  909724552393198491577.00000000000000
 2020-10 ,  830591407901464592717.00000000000000
 2020-11 , 2354828402009317947933.00000000000000
 2020-12 , 1843026317905982928432.00000000000000
 2021-01 , 1252218382426829798888.00000000000000
 2021-02 , 1036994158736279281601.00000000000000
 2021-03 , 1118647878603939589321.00000000000000
 2021-04 ,   34562790298041793449.00000000000000
 2021-05 ,   17693506446192294107.00000000000000
