month_year,total_cpu_time
 2020-03 ,     194326248801700053.00000000000000
 2020-04 ,   27901153534490741573.00000000000000
 2020-05 ,    1102997615885804980.00000000000000
 2020-06 ,    1033660287582527629.00000000000000
 2020-07 ,    1995848338023926854.00000000000000
 2020-08 ,  159004618851071702289.00000000000000
 2020-09 ,    1981606995953558743.00000000000000
 2020-10 ,   26165829189105157350.00000000000000
 2020-11 ,  112755159666597320337.00000000000000
 2020-12 ,   42607277916513830464.00000000000000
 2021-01 ,    1756116184406467820.00000000000000
 2021-02 ,   37066673012865802269.00000000000000
 2021-03 ,   49247507997484797928.00000000000000
 2021-04 ,   10824964331842481668.00000000000000
 2021-05 ,    1819645644268509195.00000000000000
