month_year,total_cpu_time
 2020-01 ,  190732383219975429883.00000000000000
 2020-02 ,  202945884570481669321.00000000000000
 2020-03 ,  337410070284170467518.00000000000000
 2020-04 ,  507375258841185196704.00000000000000
 2020-05 ,  339990147276676758768.00000000000000
 2020-06 ,  259948921134756542283.00000000000000
 2020-07 ,  310542316982928723801.00000000000000
 2020-08 ,  272874346933277903653.00000000000000
 2020-09 ,  504983321286860642736.00000000000000
 2020-10 ,  311961283188702919251.00000000000000
 2020-11 ,  574876301582037558451.00000000000000
 2020-12 ,  491880398280584994940.00000000000000
 2021-01 ,  352488041921587114037.00000000000000
 2021-02 ,  385158361937971061248.00000000000000
 2021-03 ,   21306858475320220405.00000000000000
 2021-04 ,    9993240975971897799.00000000000000
 2021-05 ,   10947911718575840611.00000000000000
