month_year,total_cpu_time
 2020-01 ,  159811394629137451169.00000000000000
 2020-02 ,   51343465662019144857.00000000000000
 2020-03 ,   44971662217209573460.00000000000000
 2020-04 ,   24517112373692586541.00000000000000
 2020-05 ,   15515152526181876326.00000000000000
 2020-06 ,   10023542944677090034.00000000000000
 2020-07 ,    9988901296865819773.00000000000000
 2020-08 ,   27698708148883557518.00000000000000
 2020-09 ,   20073250512208106156.00000000000000
 2020-10 ,   18622967942199594347.00000000000000
 2020-11 ,   24851999623113081539.00000000000000
 2020-12 ,   11775247322479322056.00000000000000
 2021-01 ,   14598564912614229015.00000000000000
 2021-02 ,   15319207744177950862.00000000000000
 2021-03 ,   20653502783628436875.00000000000000
 2021-04 ,   29377139885398066546.00000000000000
 2021-05 ,   19220410669036529575.00000000000000
