month_year,total_cpu_time
 2020-01 ,      14192942059699664.00000000000000
 2020-02 ,       8138292784795919.00000000000000
 2020-03 ,      10512070667923042.00000000000000
 2020-04 ,      35552177884516489.00000000000000
 2020-05 ,      15404025965008925.00000000000000
 2020-06 ,      28070607725814941.00000000000000
 2020-07 ,      16798207215023692.00000000000000
 2020-08 ,      19667678996163476.00000000000000
 2020-09 ,       5478547043164036.00000000000000
 2020-10 ,      11223811210592252.00000000000000
 2020-11 ,      18147419814997717.00000000000000
 2020-12 ,      19756086494823560.00000000000000
 2021-01 ,       9510127268309464.00000000000000
 2021-02 ,       8486460860485386.00000000000000
 2021-03 ,       9637138598719332.00000000000000
 2021-04 ,       9136276993496147.00000000000000
 2021-05 ,      29679222231359368.00000000000000
