,month_year,avg_memory,tool_name_version
1, 2020-01 ,3170320144.0,unicycler/0.4.1.1
2, 2020-01 ,3170319449.1428566,star_fusion/0.5.4-3
3, 2020-01 ,3170319285.647059,unicycler/0.4.6.0
4, 2020-01 ,3170319013.390192,trinity_psc/0.0.1
5, 2020-01 ,3170318739.3310766,unicycler/0.4.8.0
6, 2020-01 ,2321102291.5042734,rna_star/2.6.0b-1
7, 2020-01 ,131813776.0,deeptools_bam_compare/2.3.5.0
8, 2020-01 ,131813144.0,cuffmerge/2.2.1.0
9, 2020-01 ,131812620.88888888,cuffmerge/0.0.5
10, 2020-01 ,131812612.92307691,tophat2/2.1.0
11, 2020-01 ,131812517.33333331,hisat2/2.0.5.2
12, 2020-01 ,131812514.66666666,deeptools_multi_bigwig_summary/3.1.2.0.0
13, 2020-01 ,131812468.92307691,cufflinks/2.2.1.0
14, 2020-01 ,131812407.72413792,tophat2/0.9
15, 2020-01 ,131812391.28888889,cuffquant/2.2.1.1
16, 2020-01 ,131812360.0,stringtie/1.2.3
17, 2020-01 ,131812291.71428572,deeptools_plot_coverage/3.3.0.0.0
18, 2020-01 ,131812265.6,deeptools_correct_gc_bias/3.3.0.0.0
19, 2020-01 ,131812262.61096606,tp_replace_in_line/1.1.2
20, 2020-01 ,131812242.6138614,deeptools_plot_fingerprint/3.3.0.0.0
21, 2020-01 ,131812240.673774,kraken/1.3.0
22, 2020-01 ,131812191.10344829,cuffmerge/2.2.1.1
23, 2020-01 ,131812181.63855422,align_families/2.14
24, 2020-01 ,131812174.57142857,prokka/1.14.5
25, 2020-01 ,131812157.71428572,deeptools_compute_gc_bias/3.3.0.0.0
26, 2020-01 ,131812151.54597336,deeptools_compute_matrix/3.3.0.0.0
27, 2020-01 ,131812136.71764706,cuffdiff/2.2.1.5
28, 2020-01 ,131812134.42622952,deeptools_bam_pe_fragmentsize/3.3.0.0.0
29, 2020-01 ,131812126.9767442,prokka/1.13
30, 2020-01 ,131812124.0,freebayes/0.4
