,month_year,num_jobs,tool_name_version
3, 2020-01 ,    21256,fastqc/0.72+galaxy1                                                                        
4, 2020-01 ,     9516, CONVERTER_gz_to_uncompressed                                                                                                           / CONVERTER_gz_to_uncompressed                                                                                                           
5, 2020-01 ,     9456,featurecounts/1.6.4+galaxy1                                                             
6, 2020-01 ,     8516,hisat2/2.1.0+galaxy5                                                                           
7, 2020-01 ,     7079,trimmomatic/0.38.0                                                                   
8, 2020-01 ,     6404,bowtie2/2.3.4.3+galaxy0                                                                   
9, 2020-01 ,     5817, ebi_sra_main                                                                                                                           / ebi_sra_main                                                                                                                           
10, 2020-01 ,     5239,mothur_make_contigs/1.39.5.0                                                      
11, 2020-01 ,     4823,bwa_mem/0.7.17.1                                                                              
12, 2020-01 ,     4529, __SET_METADATA__                                                                                                                       / __SET_METADATA__                                                                                                                       
13, 2020-01 ,     3676, Grep1                                                                                                                                  / Grep1                                                                                                                                  
14, 2020-01 ,     3659, Filter1                                                                                                                                / Filter1                                                                                                                                
15, 2020-01 ,     3642,htseq_count/0.9.1                                                                    
16, 2020-01 ,     3632,tab2fasta/1.1.0                                                                  
17, 2020-01 ,     3627,fastq_groomer/1.1.1                                                                 
18, 2020-01 ,     3406,fasta2tab/1.1.0                                                                  
19, 2020-01 ,     3321, ucsc_table_direct1                                                                                                                     / ucsc_table_direct1                                                                                                                     
20, 2020-01 ,     3212,stringtie/1.3.6                                                                             
21, 2020-01 ,     3138, Cut1                                                                                                                                   / Cut1                                                                                                                                   
22, 2020-01 ,     2953,trim_galore/0.6.3                                                                   
23, 2020-01 ,     2891,deeptools_bam_coverage/3.3.0.0.0                                         
24, 2020-01 ,     2878,mothur_screen_seqs/1.39.5.0                                                        
25, 2020-01 ,     2846,cshl_fastx_collapser/1.0.0                                                        
26, 2020-01 ,     2790,rna_star/2.6.0b-1                                                                           
27, 2020-01 ,     2677,unicycler/0.4.8.0                                                                           
28, 2020-01 ,     2571,deseq2/2.11.40.6                                                                               
29, 2020-01 ,     2510, CONVERTER_fastq_to_fqtoc0                                                                                                              / CONVERTER_fastq_to_fqtoc0                                                                                                              
30, 2020-01 ,     2480,mothur_classify_seqs/1.39.5.0                                                    
31, 2020-01 ,     2383,mothur_split_abund/1.39.5.0                                                        
32, 2020-01 ,     2375,annotatemyids/3.7.0+galaxy1                                                             
33, 2020-01 ,     2333,cutadapt/1.16.6                                                                         
34, 2020-01 ,     2288,fastq_to_fasta_python/1.1.1                                                          
35, 2020-01 ,     2166,tp_cut_tool/1.1.0                                                               
36, 2020-01 ,     2165,fastq_dump/2.10.4                                                                           
37, 2020-01 ,     2079,bedtools_intersectbed/2.29.0                                                                 
38, 2020-01 ,     2047, Grouping1                                                                                                                              / Grouping1                                                                                                                              
39, 2020-01 ,     2022, join1                                                                                                                                  / join1                                                                                                                                  
40, 2020-01 ,     1792,tp_sed_tool/1.1.1                                                               
41, 2020-01 ,     1786,tophat2/2.1.1                                                                             
42, 2020-01 ,     1769,Add_a_column1/1.2.0                                                                  
43, 2020-01 ,     1733,deeptools_compute_matrix/3.3.0.0.0                                     
44, 2020-01 ,     1665,deeptools_plot_heatmap/3.3.0.0.1                                         
45, 2020-01 ,     1609,macs2_callpeak/2.1.1.20160309.6                                                                 
46, 2020-01 ,     1600,bowtie_wrapper/1.2.0                                                              
47, 2020-01 ,     1593,tp_easyjoin_tool/1.1.1                                                          
48, 2020-01 ,     1567,gops_join_1/1.0.0                                                                            
49, 2020-01 ,     1545,snpEff/4.3+T.galaxy1                                                                           
50, 2020-01 ,     1519,fastq_combiner/1.1.1                                                               
51, 2020-01 ,     1482,cufflinks/2.2.1.2                                                                       
52, 2020-01 ,     1479,samtools_flagstat/2.0.3                                                         
53, 2020-01 ,     1469, cat1                                                                                                                                   / cat1                                                                                                                                   
54, 2020-01 ,     1377,freebayes/1.1.0.46-0                                                                    
55, 2020-01 ,     1367,prokka/1.13                                                                                   
56, 2020-01 ,     1337,mothur_unique_seqs/1.39.5.0                                                        
57, 2020-01 ,     1333,fasterq_dump/2.10.4                                                                         
58, 2020-01 ,     1326,bamFilter/2.4.1                                                                   
59, 2020-01 ,     1288, Convert characters1                                                                                                                    / Convert characters1                                                                                                                    
60, 2020-01 ,     1273,tp_sort_header_tool/1.1.1                                                       
61, 2020-01 ,     1266,tp_head_tool/1.1.0                                                              
62, 2020-01 ,     1234,multiqc/1.7                                                                                   
63, 2020-01 ,     1204,bwa/0.7.17.4                                                                                  
64, 2020-01 ,     1199,vcffilter2/1.0.0_rc1+galaxy3                                                            
65, 2020-01 ,     1195,datamash_ops/1.1.0                                                                       
66, 2020-01 ,     1189,bedtools_bamtofastq/2.27.1                                                                   
67, 2020-01 ,     1157,edger/3.24.1+galaxy1                                                                            
68, 2020-01 ,     1147,bedtools_genomecoveragebed/2.29.0                                                            
69, 2020-01 ,     1090,samtool_filter2/1.8+galaxy1                                                       
70, 2020-01 ,     1029,picard_MarkDuplicates/2.18.2.2                                                             
71, 2020-01 ,     1010,ggplot2_heatmap2/3.0.1                                                               
72, 2020-01 ,      988,tp_sort_header_tool/1.1.0                                                       
73, 2020-01 ,      968,fastq_filter/1.1.1                                                                   
74, 2020-01 ,      966, sort1                                                                                                                                  / sort1                                                                                                                                  
75, 2020-01 ,      955,mothur_align_seqs/1.39.5.0                                                          
76, 2020-01 ,      934,cshl_fastq_to_fasta/1.0.2                                                          
77, 2020-01 ,      928,fastp/0.19.5+galaxy1                                                                            
78, 2020-01 ,      917, CONVERTER_bam_to_coodinate_sorted_bam                                                                                                  / CONVERTER_bam_to_coodinate_sorted_bam                                                                                                  
79, 2020-01 ,      909, wig_to_bigWig                                                                                                                          / wig_to_bigWig                                                                                                                          
80, 2020-01 ,      902,tabular_to_fastq/1.1.1                                                           
81, 2020-01 ,      892,salmon/0.14.1.2                                                                          
82, 2020-01 ,      876,tp_find_and_replace/1.1.1                                                       
83, 2020-01 ,      827,samtools_rmdup/2.0.1                                                               
84, 2020-01 ,      806,gops_intersect_1/1.0.0                                                                  
85, 2020-01 ,      797,bam_to_sam/2.0.1                                                                       
86, 2020-01 ,      796,mothur_summary_seqs/1.39.5.0                                                      
87, 2020-01 ,      796, param_value_from_file                                                                                                                  / param_value_from_file                                                                                                                  
88, 2020-01 ,      789, comp1                                                                                                                                  / comp1                                                                                                                                  
89, 2020-01 ,      729,fastqc/0.72                                                                                
90, 2020-01 ,      712,picard_DownsampleSam/2.18.2.1                                                              
91, 2020-01 ,      706, csv_to_tabular                                                                                                                         / csv_to_tabular                                                                                                                         
92, 2020-01 ,      694,ncbi_blastn_wrapper/0.3.3                                                         
93, 2020-01 ,      682,bwa_wrapper/1.2.3                                                                    
94, 2020-01 ,      670,trinity_psc/0.0.1                                                                        
95, 2020-01 ,      667, mergeCols1                                                                                                                             / mergeCols1                                                                                                                             
96, 2020-01 ,      655,fastq_join/1.1.2-806.1                                                                
97, 2020-01 ,      640,trimmomatic/0.36.5                                                                   
98, 2020-01 ,      629,lastz_wrapper_2/1.3.2                                                                       
99, 2020-01 ,      628,samtools_slice_bam/2.0.1                                                       
100, 2020-01 ,      614,cshl_fastx_trimmer/1.0.2                                                            
101, 2020-01 ,      614,cshl_fastq_quality_filter/1.0.2                                              
102, 2020-01 ,      596,gops_basecoverage_1/1.0.0                                                            
103, 2020-01 ,      583,tp_cat/0.1.0                                                                    
104, 2020-01 ,      580,bedtools_multicovtbed/2.29.0                                                                 
105, 2020-01 ,      552,deeptools_plot_profile/3.3.0.0.0                                         
106, 2020-01 ,      550,minimap2/2.17+galaxy0                                                                        
107, 2020-01 ,      547,mothur_trim_seqs/1.39.5.0                                                            
108, 2020-01 ,      539, addValue                                                                                                                               / addValue                                                                                                                               
109, 2020-01 ,      538, CONVERTER_interval_to_bed_0                                                                                                            / CONVERTER_interval_to_bed_0                                                                                                            
110, 2020-01 ,      535,kraken/1.3.0                                                                               
111, 2020-01 ,      534,featurecounts/1.6.3+galaxy2                                                             
112, 2020-01 ,      515,limma_voom/3.38.3+galaxy3                                                                  
113, 2020-01 ,      513,kallisto_quant/0.46.0.4                                                                
114, 2020-01 ,      511, CONVERTER_bam_to_bigwig_0                                                                                                              / CONVERTER_bam_to_bigwig_0                                                                                                              
115, 2020-01 ,      510,naive_variant_caller/0.0.4                                               
116, 2020-01 ,      510,rseqc_infer_experiment/2.6.4.1                                                               
117, 2020-01 ,      509,fastq_to_tabular/1.1.1                                                           
118, 2020-01 ,      507,mothur_filter_seqs/1.39.5.0                                                        
119, 2020-01 ,      496,deeptools_plot_correlation/3.3.0.0.0                                 
120, 2020-01 ,      484,snpSift_filter/4.3+t.galaxy0                                                                  
121, 2020-01 ,      477,tp_awk_tool/1.1.1                                                               
122, 2020-01 ,      477,bamtools/2.4.0                                                                           
123, 2020-01 ,      474, tabular_to_csv                                                                                                                         / tabular_to_csv                                                                                                                         
124, 2020-01 ,      468,gatk_unified_genotyper/0.0.6                                                    
125, 2020-01 ,      466,samtools_mpileup/2.1.4                                                           
126, 2020-01 ,      465, Paste1                                                                                                                                 / Paste1                                                                                                                                 
127, 2020-01 ,      458,mothur_make_fastq/1.39.5.0                                                          
128, 2020-01 ,      456,table_annovar/0.2                                                                   
129, 2020-01 ,      451,pileup_parser/1.0.2                                                                 
