,date,num_jobs,num_users,tool_name_version
1, 2020-01 ,32.0,19.0,CONVERTER_Bam_Bai_0/CONVERTER_Bam_Bai_0
2, 2020-01 ,511.0,195.0,CONVERTER_bam_to_bigwig_0/CONVERTER_bam_to_bigwig_0
3, 2020-01 ,917.0,144.0,CONVERTER_bam_to_coodinate_sorted_bam/CONVERTER_bam_to_coodinate_sorted_bam
4, 2020-01 ,177.0,94.0,CONVERTER_bed_gff_or_vcf_to_bigwig_0/CONVERTER_bed_gff_or_vcf_to_bigwig_0
5, 2020-01 ,43.0,35.0,CONVERTER_bed_to_bgzip_0/CONVERTER_bed_to_bgzip_0
6, 2020-01 ,44.0,37.0,CONVERTER_bed_to_fli_0/CONVERTER_bed_to_fli_0
7, 2020-01 ,101.0,47.0,CONVERTER_bed_to_gff_0/CONVERTER_bed_to_gff_0
8, 2020-01 ,35.0,30.0,CONVERTER_bed_to_tabix_0/CONVERTER_bed_to_tabix_0
9, 2020-01 ,190.0,41.0,CONVERTER_bedgraph_to_bigwig/CONVERTER_bedgraph_to_bigwig
10, 2020-01 ,14.0,5.0,CONVERTER_biom2_to_biom1/CONVERTER_biom2_to_biom1
11, 2020-01 ,71.0,8.0,CONVERTER_bz2_to_uncompressed/CONVERTER_bz2_to_uncompressed
12, 2020-01 ,1.0,1.0,CONVERTER_cram_to_bam_0/CONVERTER_cram_to_bam_0
13, 2020-01 ,29.0,26.0,CONVERTER_fasta_to_2bit/CONVERTER_fasta_to_2bit
14, 2020-01 ,11.0,9.0,CONVERTER_fasta_to_bowtie_base_index/CONVERTER_fasta_to_bowtie_base_index
15, 2020-01 ,113.0,70.0,CONVERTER_fasta_to_fai/CONVERTER_fasta_to_fai
16, 2020-01 ,79.0,53.0,CONVERTER_fasta_to_len/CONVERTER_fasta_to_len
17, 2020-01 ,231.0,106.0,CONVERTER_fasta_to_tabular/CONVERTER_fasta_to_tabular
18, 2020-01 ,2510.0,136.0,CONVERTER_fastq_to_fqtoc0/CONVERTER_fastq_to_fqtoc0
19, 2020-01 ,128.0,57.0,CONVERTER_gff_to_bed_0/CONVERTER_gff_to_bed_0
20, 2020-01 ,33.0,24.0,CONVERTER_gff_to_fli_0/CONVERTER_gff_to_fli_0
21, 2020-01 ,32.0,24.0,CONVERTER_gff_to_interval_index_0/CONVERTER_gff_to_interval_index_0
22, 2020-01 ,9516.0,623.0,CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed
23, 2020-01 ,204.0,73.0,CONVERTER_interval_to_bed12_0/CONVERTER_interval_to_bed12_0
24, 2020-01 ,5.0,4.0,CONVERTER_interval_to_bed6_0/CONVERTER_interval_to_bed6_0
25, 2020-01 ,538.0,149.0,CONVERTER_interval_to_bed_0/CONVERTER_interval_to_bed_0
26, 2020-01 ,305.0,134.0,CONVERTER_interval_to_bedstrict_0/CONVERTER_interval_to_bedstrict_0
27, 2020-01 ,11.0,8.0,CONVERTER_interval_to_bgzip_0/CONVERTER_interval_to_bgzip_0
28, 2020-01 ,20.0,11.0,CONVERTER_interval_to_bigwig_0/CONVERTER_interval_to_bigwig_0
29, 2020-01 ,9.0,5.0,CONVERTER_interval_to_tabix_0/CONVERTER_interval_to_tabix_0
30, 2020-01 ,62.0,51.0,CONVERTER_len_to_linecount/CONVERTER_len_to_linecount
31, 2020-01 ,5.0,3.0,CONVERTER_maf_to_fasta_0/CONVERTER_maf_to_fasta_0
32, 2020-01 ,1.0,1.0,CONVERTER_maf_to_interval_0/CONVERTER_maf_to_interval_0
33, 2020-01 ,82.0,32.0,CONVERTER_ref_to_seq_taxomony/CONVERTER_ref_to_seq_taxomony
34, 2020-01 ,31.0,21.0,CONVERTER_sam_to_bigwig_0/CONVERTER_sam_to_bigwig_0
35, 2020-01 ,5.0,5.0,CONVERTER_sam_to_unsorted_bam/CONVERTER_sam_to_unsorted_bam
36, 2020-01 ,1.0,1.0,CONVERTER_tar_to_directory/CONVERTER_tar_to_directory
37, 2020-01 ,158.0,82.0,CONVERTER_vcf_bgzip_to_tabix_0/CONVERTER_vcf_bgzip_to_tabix_0
38, 2020-01 ,23.0,18.0,CONVERTER_vcf_to_bgzip_0/CONVERTER_vcf_to_bgzip_0
39, 2020-01 ,21.0,15.0,CONVERTER_vcf_to_tabix_0/CONVERTER_vcf_to_tabix_0
40, 2020-01 ,158.0,81.0,CONVERTER_vcf_to_vcf_bgzip_0/CONVERTER_vcf_to_vcf_bgzip_0
41, 2020-01 ,101.0,16.0,CONVERTER_wig_to_bigwig/CONVERTER_wig_to_bigwig
42, 2020-01 ,2.0,1.0,CONVERTER_wiggle_to_interval_0/CONVERTER_wiggle_to_interval_0
43, 2020-01 ,51.0,14.0,ChangeCase/ChangeCase
44, 2020-01 ,1288.0,81.0,Convert characters1/Convert characters1
45, 2020-01 ,296.0,24.0,Count1/Count1
46, 2020-01 ,3138.0,296.0,Cut1/Cut1
47, 2020-01 ,288.0,61.0,Extract genomic DNA 1/Extract genomic DNA 1
48, 2020-01 ,24.0,16.0,Extract_features1/Extract_features1
49, 2020-01 ,3659.0,353.0,Filter1/Filter1
50, 2020-01 ,3676.0,74.0,Grep1/Grep1
51, 2020-01 ,2047.0,346.0,Grouping1/Grouping1
52, 2020-01 ,2.0,1.0,Interval2Maf1/Interval2Maf1
53, 2020-01 ,1.0,0.0,Interval2Maf_pairwise1/Interval2Maf_pairwise1
54, 2020-01 ,10.0,2.0,Interval_Maf_Merged_Fasta2/Interval_Maf_Merged_Fasta2
55, 2020-01 ,1.0,1.0,MAF_To_BED1/MAF_To_BED1
56, 2020-01 ,30.0,4.0,MAF_To_Fasta1/MAF_To_Fasta1
57, 2020-01 ,1.0,1.0,MAF_filter/MAF_filter
58, 2020-01 ,465.0,23.0,Paste1/Paste1
59, 2020-01 ,210.0,50.0,Remove beginning1/Remove beginning1
60, 2020-01 ,1.0,1.0,Sff_extractor/Sff_extractor
61, 2020-01 ,242.0,79.0,Show beginning1/Show beginning1
62, 2020-01 ,20.0,10.0,Show tail1/Show tail1
63, 2020-01 ,98.0,29.0,Summary_Statistics1/Summary_Statistics1
64, 2020-01 ,342.0,16.0,__BUILD_LIST__/__BUILD_LIST__
65, 2020-01 ,77.0,26.0,__DATA_FETCH__/__DATA_FETCH__
66, 2020-01 ,267.0,92.0,__EXPORT_HISTORY__/__EXPORT_HISTORY__
67, 2020-01 ,39.0,7.0,__EXTRACT_DATASET__/__EXTRACT_DATASET__
68, 2020-01 ,1.0,1.0,__FILTER_EMPTY_DATASETS__/__FILTER_EMPTY_DATASETS__
