,month_year,num_users,tool_name_version
1, 2020-01 ,3731.0,upload1/upload1
2, 2020-01 ,1515.0,fastqc/0.72+galaxy1
3, 2020-01 ,827.0,__SET_METADATA__/__SET_METADATA__
4, 2020-01 ,758.0,bowtie2/2.3.4.3+galaxy0
5, 2020-01 ,715.0,ucsc_table_direct1/ucsc_table_direct1
6, 2020-01 ,652.0,trimmomatic/0.38.0
7, 2020-01 ,623.0,CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed
8, 2020-01 ,479.0,deseq2/2.11.40.6
9, 2020-01 ,457.0,hisat2/2.1.0+galaxy5
10, 2020-01 ,366.0,featurecounts/1.6.4+galaxy1
11, 2020-01 ,357.0,gops_join_1/1.0.0
12, 2020-01 ,354.0,join1/join1
13, 2020-01 ,353.0,Filter1/Filter1
14, 2020-01 ,348.0,bwa_mem/0.7.17.1
15, 2020-01 ,346.0,Grouping1/Grouping1
16, 2020-01 ,329.0,fastq_groomer/1.1.1
17, 2020-01 ,325.0,fasterq_dump/2.10.4
18, 2020-01 ,296.0,Cut1/Cut1
19, 2020-01 ,283.0,fastq_dump/2.10.4
20, 2020-01 ,275.0,multiqc/1.7
21, 2020-01 ,263.0,ebi_sra_main/ebi_sra_main
22, 2020-01 ,257.0,macs2_callpeak/2.1.1.20160309.6
23, 2020-01 ,256.0,trim_galore/0.6.3
24, 2020-01 ,255.0,sort1/sort1
25, 2020-01 ,253.0,freebayes/1.1.0.46-0
26, 2020-01 ,244.0,unicycler/0.4.8.0
27, 2020-01 ,244.0,htseq_count/0.9.1
28, 2020-01 ,241.0,deeptools_bam_coverage/3.3.0.0.0
29, 2020-01 ,231.0,rna_star/2.6.0b-1
30, 2020-01 ,219.0,tp_cut_tool/1.1.0
31, 2020-01 ,202.0,tophat2/2.1.1
32, 2020-01 ,195.0,CONVERTER_bam_to_bigwig_0/CONVERTER_bam_to_bigwig_0
33, 2020-01 ,186.0,bwa/0.7.17.4
34, 2020-01 ,184.0,stringtie/1.3.6
35, 2020-01 ,181.0,bowtie_wrapper/1.2.0
36, 2020-01 ,181.0,cufflinks/2.2.1.2
37, 2020-01 ,179.0,edger/3.24.1+galaxy1
38, 2020-01 ,173.0,picard_MarkDuplicates/2.18.2.2
39, 2020-01 ,172.0,samtools_flagstat/2.0.3
40, 2020-01 ,149.0,CONVERTER_interval_to_bed_0/CONVERTER_interval_to_bed_0
41, 2020-01 ,145.0,samtool_filter2/1.8+galaxy1
42, 2020-01 ,144.0,CONVERTER_bam_to_coodinate_sorted_bam/CONVERTER_bam_to_coodinate_sorted_bam
43, 2020-01 ,137.0,cutadapt/1.16.6
44, 2020-01 ,136.0,CONVERTER_fastq_to_fqtoc0/CONVERTER_fastq_to_fqtoc0
45, 2020-01 ,135.0,bam_to_sam/2.0.1
46, 2020-01 ,134.0,CONVERTER_interval_to_bedstrict_0/CONVERTER_interval_to_bedstrict_0
47, 2020-01 ,133.0,bamFilter/2.4.1
48, 2020-01 ,131.0,trinity_psc/0.0.1
49, 2020-01 ,130.0,tp_head_tool/1.1.0
50, 2020-01 ,125.0,tp_cat/0.1.0
51, 2020-01 ,125.0,peakcalling_macs/1.0.1
52, 2020-01 ,125.0,cuffdiff/2.2.1.5
53, 2020-01 ,124.0,prokka/1.13
54, 2020-01 ,124.0,bwa_wrapper/1.2.3
55, 2020-01 ,123.0,fastp/0.19.5+galaxy1
56, 2020-01 ,121.0,fastq_stats/1.1.1
57, 2020-01 ,121.0,cshl_fastq_quality_filter/1.0.2
58, 2020-01 ,120.0,tp_sort_header_tool/1.1.1
59, 2020-01 ,119.0,snpEff/4.3+T.galaxy1
60, 2020-01 ,115.0,deeptools_compute_matrix/3.3.0.0.0
61, 2020-01 ,112.0,cat1/cat1
62, 2020-01 ,109.0,gops_intersect_1/1.0.0
63, 2020-01 ,108.0,fastq_to_fasta_python/1.1.1
64, 2020-01 ,106.0,CONVERTER_fasta_to_tabular/CONVERTER_fasta_to_tabular
65, 2020-01 ,104.0,bedtools_intersectbed/2.29.0
66, 2020-01 ,98.0,charts/1.0.1
67, 2020-01 ,97.0,sra_pileup/2.10.3
68, 2020-01 ,97.0,annotatemyids/3.7.0+galaxy1
69, 2020-01 ,96.0,deeptools_plot_heatmap/3.3.0.0.1
70, 2020-01 ,95.0,vcffilter2/1.0.0_rc1+galaxy3
71, 2020-01 ,95.0,Add_a_column1/1.2.0
72, 2020-01 ,95.0,cuffmerge/2.2.1.1
73, 2020-01 ,94.0,CONVERTER_bed_gff_or_vcf_to_bigwig_0/CONVERTER_bed_gff_or_vcf_to_bigwig_0
74, 2020-01 ,94.0,wig_to_bigWig/wig_to_bigWig
75, 2020-01 ,94.0,samtools_rmdup/2.0.1
76, 2020-01 ,93.0,comp1/comp1
77, 2020-01 ,93.0,tab2fasta/1.1.0
78, 2020-01 ,92.0,kraken/1.3.0
79, 2020-01 ,92.0,quast/5.0.2+galaxy0
80, 2020-01 ,92.0,samtools_sort/2.0.3
81, 2020-01 ,92.0,__EXPORT_HISTORY__/__EXPORT_HISTORY__
82, 2020-01 ,91.0,sam_to_bam/2.1.1
83, 2020-01 ,91.0,fasta2tab/1.1.0
84, 2020-01 ,90.0,ggplot2_heatmap2/3.0.1
85, 2020-01 ,90.0,table_annovar/0.2
86, 2020-01 ,89.0,collection_column_join/0.0.3
87, 2020-01 ,82.0,limma_voom/3.38.3+galaxy3
88, 2020-01 ,82.0,CONVERTER_vcf_bgzip_to_tabix_0/CONVERTER_vcf_bgzip_to_tabix_0
89, 2020-01 ,81.0,samtools_stats/2.0.2+galaxy2
90, 2020-01 ,81.0,samtools_mpileup/2.1.4
91, 2020-01 ,81.0,CONVERTER_vcf_to_vcf_bgzip_0/CONVERTER_vcf_to_vcf_bgzip_0
92, 2020-01 ,81.0,Convert characters1/Convert characters1
