,total_cpu_time,num_jobs,tool_name_version
1, 32039428290254623436329.00000000000000 ,24785.0,tophat2/2.1.1
2, 21374967682457242575290.00000000000000 ,138881.0,bwa_mem/0.7.17.1
3, 17622827502362177016272.00000000000000 ,129317.0,bowtie2/2.3.4.3+galaxy0
4,  5798776822791502804351.00000000000000 ,16653.0,rna_star/2.7.5b
5,  5274623765237946548461.00000000000000 ,24901.0,bwa/0.7.17.4
6,  5085415048611064941409.00000000000000 ,118677.0,hisat2/2.1.0+galaxy5
7,  4568049684123884084614.00000000000000 ,30384.0,freebayes/1.3.1
8,  4448112416563550642772.00000000000000 ,9829.0,fastq_groomer/1.1.1
9,  3270535374953081998147.00000000000000 ,3003.0,cuffdiff/2.2.1.5
10,  3225711331405594395816.00000000000000 ,44144.0,fastq_groomer/1.1.5
11,  3067405931943807730880.00000000000000 ,13771.0,bowtie2/2.4.2+galaxy0
12,  2957174478169392167492.00000000000000 ,59358.0,htseq_count/0.9.1
13,  2651228108075137427365.00000000000000 ,9204.0,rna_star/2.7.8a
14,  2367314134390447233937.00000000000000 ,1566.0,unicycler/0.4.8.0
15,  2303274456907794779155.00000000000000 ,11819.0,fasterq_dump/2.10.8+galaxy0
16,  2197363769405415450427.00000000000000 ,257.0,trinity/2.9.1
17,  2072791902130923808918.00000000000000 ,3023.0,deeptools_bigwig_compare/3.3.2.0.0
18,  2057621063504633708298.00000000000000 ,1752.0,ncbi_blastp_wrapper/2.10.1+galaxy0
19,  1725620709394032564037.00000000000000 ,981.0,bwameth/0.2.2
20,  1723846178934670725927.00000000000000 ,8062.0,samtools_mpileup/2.1.4
21,  1693528344575123734414.00000000000000 ,39768.0,hisat2/2.1.0+galaxy7
22,  1674032427574620739937.00000000000000 ,3758.0,rseqc_geneBody_coverage/2.6.4.3
23,  1557481551442815216972.00000000000000 ,156.0,trinity/2.9.1+galaxy1
24,  1531964249304526572802.00000000000000 ,55165.0,lofreq_call/2.1.5+galaxy0
25,  1493336081196553014091.00000000000000 ,13194.0,cufflinks/2.2.1.3
26,  1482707177296921196029.00000000000000 ,4494.0,cuffdiff/2.2.1.6
27,  1455469507348592041913.00000000000000 ,10392.0,fasterq_dump/2.10.9+galaxy0
28,  1439573245978285436127.00000000000000 ,46973.0,trim_galore/0.6.3
29,  1405886189018188141076.00000000000000 ,1515.0,busco/5.0.0+galaxy0
30,  1353012637595721886440.00000000000000 ,2778.0,iqtree/1.5.5.3
31,  1287500017582747312204.00000000000000 ,10472.0,cufflinks/2.2.1.2
32,  1280855129847890246443.00000000000000 ,30909.0,fastq_dump/2.10.8+galaxy0
33,  1260097593196724636150.00000000000000 ,2963.0,rna_star/2.7.2b
34,  1111910021435739666244.00000000000000 ,39258.0,deeptools_bam_coverage/3.3.2.0.0
35,  1099852023221246116387.00000000000000 ,6460.0,deeptools_bam_coverage/3.3.0.0.0
36,  1093170620495086310495.00000000000000 ,11052.0,clustalw/2.1
37,  1084474794425045757545.00000000000000 ,23143.0,fastq_dump/2.10.9+galaxy0
38,  1066433250894315021899.00000000000000 ,737.0,ncbi_blastx_wrapper/2.10.1+galaxy0
39,  1038970946696828866323.00000000000000 ,1519.0,busco/4.1.2
40,  1001879244765185590408.00000000000000 ,4908.0,rna_star/2.7.7a
