Run,Cloud,Job Conf,Workflow,History,Server,Tool,Tool Version,State,Slots,Memory,Runtime (Sec),CPU,Memory Limit (Bytes),Memory Max usage (Bytes),Memory Soft Limit
0,n2,default,79e052a475e6668b,8ab117b2e503c4d5,http://34.75.249.162:8000/galaxy/,hisat2,2.1.0+galaxy7,ok,2.0000000,4000.0000000,460.0000000,142222611611.0000000,9999998976.0000000,7176110080.0000000,9223372036854771712.0000000
1,n2,4x8,8cd9256b535acf7f,4a1ebc34e1cd6d4c,http://34.75.249.162:8000/galaxy/,bwa_mem,0.7.17.1,ok,4.0000000,8000.0000000,199.0000000,781632096675.0000000,16000000000.0000000,12614754304.0000000,9223372036854771712.0000000
1,n1,16x32,9a97e21eece60c70,af8549dd761318d1,http://35.231.186.105:8000/galaxy/,bwa_mem,0.7.17.1,ok,4.0000000,8000.0000000,253.0000000,994158669715.0000000,16000000000.0000000,11202265088.0000000,9223372036854771712.0000000
0,n2,16x32,00cc7bba7f14f031,ce1c45353da0d182,http://34.75.249.162:8000/galaxy/,hisat2,2.1.0+galaxy7,ok,2.0000000,4000.0000000,71.0000000,142235712208.0000000,9999998976.0000000,9334652928.0000000,9223372036854771712.0000000
0,n2,8x16,5e16d22a8a32baa9,12c3019192244338,http://34.75.249.162:8000/galaxy/,bwa,0.7.17.4,ok,4.0000000,8000.0000000,399.0000000,1353300453266.0000000,16000000000.0000000,11304157184.0000000,9223372036854771712.0000000
0,c2,4x8,2b1f44c39c87bcca,f6c8332a500f294b,http://34.73.40.159:8000/galaxy/,stringtie,2.1.1,ok,1.0000000,2000.0000000,29.0000000,42538283986.0000000,4999999488.0000000,16490496.0000000,9223372036854771712.0000000
0,c2,default,fd2664cbb575fdf5,9f37a3acc430f989,http://34.73.40.159:8000/galaxy/,hisat2,2.1.0+galaxy7,ok,2.0000000,4000.0000000,463.0000000,129491755931.0000000,9999998976.0000000,7416340480.0000000,9223372036854771712.0000000
1,n1,default,95a587c8ab73103e,e8924317936df9d4,http://35.231.186.105:8000/galaxy/,hisat2,2.1.0+galaxy7,ok,2.0000000,4000.0000000,90.0000000,175792446927.0000000,9999998976.0000000,8994099200.0000000,9223372036854771712.0000000
1,e2,8x16,6891a40878670c62,99259a3f5197e938,http://34.138.22.88:8000/galaxy/,bowtie2,2.4.2+galaxy0,ok,2.0000000,4000.0000000,389.0000000,774686147061.0000000,9999998976.0000000,7379140608.0000000,9223372036854771712.0000000
0,c2,4x8,2b1f44c39c87bcca,f6c8332a500f294b,http://34.73.40.159:8000/galaxy/,bwa_mem,0.7.17.1,ok,4.0000000,8000.0000000,188.0000000,739368096949.0000000,16000000000.0000000,12498710528.0000000,9223372036854771712.0000000
1,c2,16x32,4563a60c7ce8a92f,a2ee00cea955e8b1,http://34.73.40.159:8000/galaxy/,hisat2,2.1.0+galaxy7,ok,2.0000000,4000.0000000,66.0000000,130932802941.0000000,9999998976.0000000,8993792000.0000000,9223372036854771712.0000000
1,c2,16x32,4563a60c7ce8a92f,a2ee00cea955e8b1,http://34.73.40.159:8000/galaxy/,stringtie,2.1.1,ok,1.0000000,2000.0000000,29.0000000,42745402145.0000000,4999999488.0000000,16191488.0000000,9223372036854771712.0000000
0,e2,default,f3571de78c266585,859ae213ae73bac7,http://34.138.22.88:8000/galaxy/,hisat2,2.1.0+galaxy7,ok,2.0000000,4000.0000000,472.0000000,184317393594.0000000,9999998976.0000000,7153799168.0000000,9223372036854771712.0000000
0,n1,16x32,9a97e21eece60c70,1ddf2c69353cf6a4,http://35.231.186.105:8000/galaxy/,bwa_mem,0.7.17.1,ok,4.0000000,8000.0000000,263.0000000,1036160969637.0000000,16000000000.0000000,11036213248.0000000,9223372036854771712.0000000
1,n2,default,79e052a475e6668b,79e2b3bcad4c7e04,http://34.75.249.162:8000/galaxy/,bwa,0.7.17.4,ok,4.0000000,8000.0000000,402.0000000,1361383436271.0000000,16000000000.0000000,11304296448.0000000,9223372036854771712.0000000
0,e2,8x16,6891a40878670c62,579102256baf50ea,http://34.138.22.88:8000/galaxy/,bwa,0.7.17.4,ok,4.0000000,8000.0000000,625.0000000,2063883551125.0000000,16000000000.0000000,11355951104.0000000,9223372036854771712.0000000
1,e2,default,f3571de78c266585,16298b6a83391817,http://34.138.22.88:8000/galaxy/,stringtie,2.1.1,ok,1.0000000,2000.0000000,34.0000000,44386024366.0000000,4999999488.0000000,16728064.0000000,9223372036854771712.0000000
1,c2,8x16,a53cc1dd7d2490b0,7eaff4edbfdd89ac,http://34.73.40.159:8000/galaxy/,hisat2,2.1.0+galaxy7,ok,2.0000000,4000.0000000,66.0000000,131008470479.0000000,9999998976.0000000,8439164928.0000000,9223372036854771712.0000000
1,n1,8x16,68b77645c1492f6d,3eaebb45f34866e9,http://35.231.186.105:8000/galaxy/,bwa_mem,0.7.17.1,ok,4.0000000,8000.0000000,257.0000000,1010183861381.0000000,16000000000.0000000,12614213632.0000000,9223372036854771712.0000000
0,c2,default,fd2664cbb575fdf5,9f37a3acc430f989,http://34.73.40.159:8000/galaxy/,bowtie2,2.4.2+galaxy0,ok,2.0000000,4000.0000000,599.0000000,629526867210.0000000,9999998976.0000000,5973454848.0000000,9223372036854771712.0000000
0,n2,16x32,00cc7bba7f14f031,ce1c45353da0d182,http://34.75.249.162:8000/galaxy/,bowtie2,2.4.2+galaxy0,ok,2.0000000,4000.0000000,345.0000000,690935243543.0000000,9999998976.0000000,7293698048.0000000,9223372036854771712.0000000
1,c2,default,fd2664cbb575fdf5,7e899c7ccc67d55c,http://34.73.40.159:8000/galaxy/,hisat2,2.1.0+galaxy7,ok,2.0000000,4000.0000000,66.0000000,128259089415.0000000,9999998976.0000000,8992608256.0000000,9223372036854771712.0000000
