,month_year,tool_id,numjobs,tool_name_version
1, 2021-05 ,upload1,130042.0,upload1/upload1
2, 2021-05 ,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.72+galaxy1,41236.0,fastqc/0.72+galaxy1
3, 2021-05 ,toolshed.g2.bx.psu.edu/repos/devteam/column_maker/Add_a_column1/1.6,37162.0,Add_a_column1/1.6
4, 2021-05 ,Cut1,24566.0,Cut1/Cut1
5, 2021-05 ,toolshed.g2.bx.psu.edu/repos/iuc/snpsift/snpSift_extractFields/4.3+t.galaxy0,22002.0,snpSift_extractFields/4.3+t.galaxy0
6, 2021-05 ,toolshed.g2.bx.psu.edu/repos/iuc/snpsift/snpSift_filter/4.3+t.galaxy1,21363.0,snpSift_filter/4.3+t.galaxy1
7, 2021-05 ,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,13498.0,hisat2/2.1.0+galaxy7
8, 2021-05 ,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_find_and_replace/1.1.3,13224.0,tp_find_and_replace/1.1.3
9, 2021-05 ,toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/2.0.1,12980.0,featurecounts/2.0.1
10, 2021-05 ,Filter1,12556.0,Filter1/Filter1
11, 2021-05 ,ucsc_table_direct1,12021.0,ucsc_table_direct1/ucsc_table_direct1
12, 2021-05 ,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,11686.0,bwa_mem/0.7.17.1
13, 2021-05 ,toolshed.g2.bx.psu.edu/repos/pjbriggs/trimmomatic/trimmomatic/0.38.0,10234.0,trimmomatic/0.38.0
14, 2021-05 ,toolshed.g2.bx.psu.edu/repos/iuc/lofreq_filter/lofreq_filter/2.1.5+galaxy0,10119.0,lofreq_filter/2.1.5+galaxy0
15, 2021-05 ,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_line/1.1.2,10070.0,tp_replace_in_line/1.1.2
