date,tool_id,num_jobs
2021-08,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.1.1,71
2021-08,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,71
2021-08,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,70
2021-08,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,40
2021-08,toolshed.g2.bx.psu.edu/repos/iuc/kallisto_quant/kallisto_quant/0.46.2+galaxy0,33
2021-08,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/1.5.1+galaxy0,32
2021-08,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.17.4,31
2021-08,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.5,24
2021-08,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.11.0+galaxy0,8
2021-08,__DATA_FETCH__,5
2021-08,CONVERTER_gz_to_uncompressed,2
