history_id,create_time,tool_id,job_memory_gb,cpu_count,system_runtime_sec,real_runtime_sec
38,2021-08-16 23:23:39.306466,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.1.1,8.0,4,20,5
38,2021-08-16 23:23:39.242051,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/1.3.0+galaxy1,8.0,4,1348,337
38,2021-08-16 23:23:39.151915,toolshed.g2.bx.psu.edu/repos/iuc/kallisto_quant/kallisto_quant/0.46.0.4,8.0,4,348,87
38,2021-08-16 23:23:39.023929,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,8.0,4,1240,310
38,2021-08-16 23:23:38.955032,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,8.0,4,1968,492
38,2021-08-16 23:23:38.872798,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.5,8.0,4,2124,531
37,2021-08-16 23:23:23.70032,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.1.1,8.0,4,56,14
37,2021-08-16 23:23:23.642537,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/1.3.0+galaxy1,8.0,4,1820,455
37,2021-08-16 23:23:23.577027,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,8.0,4,1428,357
37,2021-08-16 23:23:23.516817,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,8.0,4,916,229
37,2021-08-16 23:23:23.45359,toolshed.g2.bx.psu.edu/repos/iuc/kallisto_quant/kallisto_quant/0.46.0.4,8.0,4,352,88
36,2021-08-16 19:21:40.710303,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.1.1,8.0,4,20,5
36,2021-08-16 19:21:40.653903,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/1.3.0+galaxy1,8.0,4,1300,325
36,2021-08-16 19:21:40.580234,toolshed.g2.bx.psu.edu/repos/iuc/kallisto_quant/kallisto_quant/0.46.0.4,8.0,4,352,88
36,2021-08-16 19:21:40.462495,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,8.0,4,912,228
36,2021-08-16 19:21:40.400468,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,8.0,4,2256,564
36,2021-08-16 19:21:40.323559,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.5,8.0,4,2040,510
35,2021-08-16 18:11:55.001149,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.1.1,8.0,4,32,8
35,2021-08-16 18:11:54.942594,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/1.3.0+galaxy1,8.0,4,1448,362
35,2021-08-16 18:11:54.869132,toolshed.g2.bx.psu.edu/repos/iuc/kallisto_quant/kallisto_quant/0.46.0.4,8.0,4,348,87
35,2021-08-16 18:11:54.752211,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,8.0,4,1356,339
35,2021-08-16 18:11:54.684064,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,8.0,4,2312,578
35,2021-08-16 18:11:54.588442,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.5,8.0,4,3452,863
32,2021-08-16 14:47:28.54824,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.1.1,50.0,15,120,8
32,2021-08-16 14:47:28.491307,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/1.3.0+galaxy1,50.0,15,4485,299
32,2021-08-16 14:47:28.420743,toolshed.g2.bx.psu.edu/repos/iuc/kallisto_quant/kallisto_quant/0.46.0.4,50.0,15,7320,488
32,2021-08-16 14:47:28.305103,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,50.0,15,2130,142
32,2021-08-16 14:47:28.235144,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,50.0,15,5415,361
32,2021-08-16 14:47:28.140163,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.5,2.0,1,863,863
34,2021-08-16 13:05:42.527445,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.1.1,50.0,15,75,5
34,2021-08-16 13:05:42.459739,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/1.3.0+galaxy1,50.0,15,4335,289
34,2021-08-16 13:05:42.383839,toolshed.g2.bx.psu.edu/repos/iuc/kallisto_quant/kallisto_quant/0.46.0.4,50.0,15,7230,482
34,2021-08-16 13:05:42.261568,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,50.0,15,1410,94
34,2021-08-16 13:05:42.192314,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,50.0,15,3345,223
34,2021-08-16 13:05:42.099471,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.5,2.0,1,512,512
33,2021-08-16 12:43:23.10472,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.1.1,50.0,15,75,5
33,2021-08-16 12:43:23.044527,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/1.3.0+galaxy1,50.0,15,4275,285
33,2021-08-16 12:43:22.955136,toolshed.g2.bx.psu.edu/repos/iuc/kallisto_quant/kallisto_quant/0.46.0.4,50.0,15,7275,485
33,2021-08-16 12:43:22.826574,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,50.0,15,1905,127
33,2021-08-16 12:43:22.757703,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,50.0,15,3585,239
33,2021-08-16 12:43:22.66253,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.5,2.0,1,531,531
25,2021-08-16 12:28:03.127716,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.1.1,50.0,15,75,5
25,2021-08-16 12:28:03.069599,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/1.3.0+galaxy1,50.0,15,4320,288
25,2021-08-16 12:28:02.993613,toolshed.g2.bx.psu.edu/repos/iuc/kallisto_quant/kallisto_quant/0.46.0.4,50.0,15,7215,481
25,2021-08-16 12:28:02.923483,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,50.0,15,1890,126
25,2021-08-16 12:28:02.85388,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.0,1,1,1
25,2021-08-16 12:28:02.758393,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.5,2.0,1,528,528
26,2021-08-16 12:00:43.925409,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.1.1,50.0,15,90,6
26,2021-08-16 12:00:43.86571,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/1.3.0+galaxy1,50.0,15,4305,287
26,2021-08-16 12:00:43.796924,toolshed.g2.bx.psu.edu/repos/iuc/kallisto_quant/kallisto_quant/0.46.0.4,50.0,15,7245,483
26,2021-08-16 12:00:43.688496,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,50.0,15,1425,95
26,2021-08-16 12:00:43.628865,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.0,1,1,1
26,2021-08-16 12:00:43.558787,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.5,50.0,15,7620,508
24,2021-08-16 11:58:49.028347,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/1.3.0+galaxy1,50.0,15,4605,307
