,month_year,avg_cpu_time,tool_name_version
3, 2021-05 , 6402687096199534743.00000000000000,trinity/2.9.1                                                                                 
4, 2021-05 , 5472324463177352863.04109589041096,ncbi_blastx_wrapper/2.10.1+galaxy0                                                
5, 2021-05 , 5230971783260312254.92857142857143,trinity/2.9.1+galaxy1                                                                         
6, 2021-05 , 3427174846094924548.50000000000000,gubbins/0.1.0                                                                                 
7, 2021-05 , 3353011446170356365.66666666666667,maxquant/1.6.10.43+galaxy3                                                               
8, 2021-05 , 3241351872785558028.46575342465753,trinity_align_and_estimate_abundance/2.9.1+galaxy1               
9, 2021-05 , 2807126018378619164.63636363636364,vegan_rarefaction/2.4-3                                                             
10, 2021-05 , 2528162287407995121.81493506493506,ncbi_blastp_wrapper/2.10.1+galaxy0                                                
11, 2021-05 , 1992853272614929639.00000000000000,busco/4.1.2                                                                                     
12, 2021-05 , 1609042374076152560.49042145593870,fastq_groomer/1.1.1                                                                 
13, 2021-05 , 1369145431146074109.71428571428571,tophat2/0.9                                                                               
14, 2021-05 , 1239706301552991504.99122807017544,unicycler/0.4.8.0                                                                           
15, 2021-05 , 1215939507643059151.60344827586207,deeptools_bigwig_compare/3.3.2.0.0                                     
16, 2021-05 , 1148668906589640176.50000000000000,rnaspades/3.9.0.2                                                                           
17, 2021-05 , 1045224544585255674.52373540856031,tophat2/2.1.1                                                                             
18, 2021-05 , 1017212732930281432.00000000000000,hyphy_prime/2.5.31+galaxy1                                                                
19, 2021-05 ,  948147098946288461.41935483870968,flye/2.6                                                                                   
20, 2021-05 ,  850666547052221133.51807228915663,metaspades/3.9.0                                                                           
21, 2021-05 ,  763203718844110848.27874564459930,spades/3.12.0+galaxy1                                                                          
22, 2021-05 ,  752222333803858976.14285714285714,bowtie2/2.3.4.2                                                                           
23, 2021-05 ,  736801426712865860.25806451612903,bwa_mem/0.7.15.1                                                                              
24, 2021-05 ,  679680935925183032.33333333333333,tophat2/2.1.0                                                                             
25, 2021-05 ,  679518692090065885.93333333333333,lofreq_alnqual/2.1.5+galaxy0                                                           
26, 2021-05 ,  597723965101399057.05769230769231,megablast_wrapper/1.2.0                                                         
27, 2021-05 ,  592141656342115250.42105263157895,plant_tribes_gene_family_classifier/1.0.3.0                      
28, 2021-05 ,  582408480951630157.81081081081081,mimodd_varcall/0.1.9                                                                    
