,month_year,avgmemory,tool_name_version
3, 2020-01 ,    3170319449.14285714,star_fusion/0.5.4-3                                                                       
4, 2020-01 ,    3170319285.64705882,unicycler/0.4.6.0                                                                           
5, 2020-01 ,    3170319013.39019190,trinity_psc/0.0.1                                                                        
6, 2020-01 ,    3170318739.33107651,unicycler/0.4.8.0                                                                           
7, 2020-01 ,    2321102291.50427350,rna_star/2.6.0b-1                                                                           
8, 2020-01 , 131813776.000000000000,deeptools_bam_compare/2.3.5.0                                             
9, 2020-01 , 131813144.000000000000,cuffmerge/2.2.1.0                                                                       
10, 2020-01 ,     131812620.88888889,cuffmerge/0.0.5                                                                         
11, 2020-01 ,     131812612.92307692,tophat2/2.1.0                                                                             
12, 2020-01 , 131812517.333333333333,hisat2/2.0.5.2                                                                                 
13, 2020-01 , 131812514.666666666667,deeptools_multi_bigwig_summary/3.1.2.0.0                         
14, 2020-01 ,     131812468.92307692,cufflinks/2.2.1.0                                                                       
15, 2020-01 ,     131812407.72413793,tophat2/0.9                                                                               
16, 2020-01 ,     131812391.28888889,cuffquant/2.2.1.1                                                                       
17, 2020-01 ,     131812360.00000000,stringtie/1.2.3                                                                             
18, 2020-01 ,     131812291.71428571,deeptools_plot_coverage/3.3.0.0.0                                       
19, 2020-01 ,     131812265.60000000,deeptools_correct_gc_bias/3.3.0.0.0                                   
20, 2020-01 ,     131812262.61096606,tp_replace_in_line/1.1.2                                                        
21, 2020-01 ,     131812242.61386139,deeptools_plot_fingerprint/3.3.0.0.0                                 
22, 2020-01 ,     131812240.67377399,kraken/1.3.0                                                                               
23, 2020-01 ,     131812191.10344828,cuffmerge/2.2.1.1                                                                       
24, 2020-01 ,     131812181.63855422,align_families/2.14                                                                           
25, 2020-01 ,     131812174.57142857,prokka/1.14.5                                                                                 
26, 2020-01 ,     131812157.71428571,deeptools_compute_gc_bias/3.3.0.0.0                                   
27, 2020-01 ,     131812151.54597337,deeptools_compute_matrix/3.3.0.0.0                                     
28, 2020-01 ,     131812136.71764706,cuffdiff/2.2.1.5                                                                         
29, 2020-01 ,     131812134.42622951,deeptools_bam_pe_fragmentsize/3.3.0.0.0                           
30, 2020-01 ,     131812126.97674419,prokka/1.13                                                                                   
31, 2020-01 ,     131812124.00000000,freebayes/0.4                                                                           
32, 2020-01 ,     131812123.50000000,lofreq_viterbi/2.1.3.1+galaxy0                                                         
33, 2020-01 ,     131812121.32642487,rbc_mafft/7.221.3                                                                           
34, 2020-01 ,     131812115.67713004,deeptools_multi_bam_summary/3.3.0.0.0                               
35, 2020-01 ,     131812100.36559140,deeptools_bigwig_compare/3.3.0.0.0                                     
36, 2020-01 ,     131812095.11111111,cufflinks/0.0.6                                                                         
37, 2020-01 ,     131812089.00436681,bwa_wrapper/1.2.3                                                                    
38, 2020-01 ,     131812088.57354028,bowtie_wrapper/1.2.0                                                              
39, 2020-01 ,     131812080.19159664,freebayes/1.1.0.46-0                                                                    
40, 2020-01 ,     131812071.52000000,deeptools_multi_bigwig_summary/3.3.0.0.0                         
41, 2020-01 ,     131812069.91515152,bowtie_wrapper/1.1.2                                                              
42, 2020-01 ,     131812059.63636364,kraken/1.2.3                                                                               
43, 2020-01 ,     131812045.33333333,deeptools_bam_compare/3.1.2.0.0                                           
44, 2020-01 ,     131812039.76470588,deeptools_compute_matrix/3.1.2.0.0                                     
45, 2020-01 ,     131812029.65779468,deeptools_bam_coverage/3.1.2.0.0                                         
46, 2020-01 ,     131812021.14285714,freebayes/0.4.1                                                                         
47, 2020-01 ,     131812013.86666667,stringtie/1.3.4                                                                             
48, 2020-01 ,     131812013.86666667,deeptools_bigwig_compare/3.1.2.0.0                                     
49, 2020-01 ,     131812013.33333333,cuffdiff/2.2.1.3                                                                         
50, 2020-01 ,     131812012.80000000,cuffnorm/2.2.1.2                                                                         
51, 2020-01 ,     131811994.83130904,snpEff/4.3+T.galaxy1                                                                           
52, 2020-01 ,     131811992.89887640,dexseq/1.28.1+galaxy1                                                                          
53, 2020-01 ,     131811948.22400000,tp_find_and_replace/1.1.2                                                       
54, 2020-01 ,     131811891.74847870, CONVERTER_bam_to_bigwig_0                                                                                                              / CONVERTER_bam_to_bigwig_0                                                                                                              
55, 2020-01 ,     131811891.01928375,tp_sed_tool/1.1.1                                                               
56, 2020-01 ,     131811888.44960754, ucsc_table_direct1                                                                                                                     / ucsc_table_direct1                                                                                                                     
57, 2020-01 ,     131811888.00000000,ncbi_dustmasker_wrapper/0.3.3                                                     
58, 2020-01 ,     131811888.00000000, CONVERTER_interval_to_bigwig_0                                                                                                         / CONVERTER_interval_to_bigwig_0                                                                                                         
59, 2020-01 , 131811888.000000000000, CONVERTER_interval_to_tabix_0                                                                                                          / CONVERTER_interval_to_tabix_0                                                                                                          
