month_year,tool_id,numjobs,tool_name,tool_version
 2021-05 , toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.72+galaxy1                                                                        ,41236,fastqc,0.72+galaxy1                                                                        
 2021-05 , toolshed.g2.bx.psu.edu/repos/devteam/column_maker/Add_a_column1/1.6                                                                    ,37162,Add_a_column1,1.6
 2021-05 , Cut1                                                                                                                                   ,24566, Cut1                                                                                                                                   , Cut1                                                                                                                                   
 2021-05 , toolshed.g2.bx.psu.edu/repos/iuc/snpsift/snpSift_extractFields/4.3+t.galaxy0                                                           ,22002,snpSift_extractFields,4.3+t.galaxy0                                                           
 2021-05 , toolshed.g2.bx.psu.edu/repos/iuc/snpsift/snpSift_filter/4.3+t.galaxy1                                                                  ,21363,snpSift_filter,4.3+t.galaxy1                                                                  
 2021-05 , toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7                                                                           ,13498,hisat2,2.1.0+galaxy7                                                                           
 2021-05 , toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_find_and_replace/1.1.3                                                       ,13224,tp_find_and_replace,1.1.3                                                       
 2021-05 , toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/2.0.1                                                                     ,12980,featurecounts,2.0.1                                                                     
 2021-05 , Filter1                                                                                                                                ,12556, Filter1                                                                                                                                , Filter1                                                                                                                                
 2021-05 , ucsc_table_direct1                                                                                                                     ,12021, ucsc_table_direct1                                                                                                                     , ucsc_table_direct1                                                                                                                     
 2021-05 , toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1                                                                              ,11686,bwa_mem,0.7.17.1                                                                              
 2021-05 , toolshed.g2.bx.psu.edu/repos/pjbriggs/trimmomatic/trimmomatic/0.38.0                                                                   ,10234,trimmomatic,0.38.0                                                                   
 2021-05 , toolshed.g2.bx.psu.edu/repos/iuc/lofreq_filter/lofreq_filter/2.1.5+galaxy0                                                             ,10119,lofreq_filter,2.1.5+galaxy0                                                             
 2021-05 , toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_line/1.1.2                                                        ,10070,tp_replace_in_line,1.1.2                                                        
 2021-05 , toolshed.g2.bx.psu.edu/repos/iuc/lofreq_call/lofreq_call/2.1.5+galaxy0                                                                 ,9977,lofreq_call,2.1.5+galaxy0                                                                 
 2021-05 , toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/1.0.0_rc3+galaxy0                                                 ,9909,vcfvcfintersect,1.0.0_rc3+galaxy0                                                 
 2021-05 , CONVERTER_gz_to_uncompressed                                                                                                           ,9168, CONVERTER_gz_to_uncompressed                                                                                                           , CONVERTER_gz_to_uncompressed                                                                                                           
 2021-05 , toolshed.g2.bx.psu.edu/repos/iuc/lofreq_viterbi/lofreq_viterbi/2.1.5+galaxy0                                                           ,9000,lofreq_viterbi,2.1.5+galaxy0                                                           
 2021-05 , toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.2+galaxy2                                                       ,8353,samtools_stats,2.0.2+galaxy2                                                       
 2021-05 , toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star/2.7.8a                                                                             ,8166,rna_star,2.7.8a                                                                             
 2021-05 , toolshed.g2.bx.psu.edu/repos/devteam/subtract/gops_subtract_1/1.0.0                                                                    ,7559,gops_subtract_1,1.0.0                                                                    
 2021-05 , toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.10.9+galaxy0                                                                   ,7471,fastq_dump,2.10.9+galaxy0                                                                   
 2021-05 , toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0                                                                     ,7463,bowtie2,2.4.2+galaxy0                                                                     
 2021-05 , toolshed.g2.bx.psu.edu/repos/devteam/merge/gops_merge_1/1.0.0                                                                          ,7387,gops_merge_1,1.0.0                                                                          
 2021-05 , toolshed.g2.bx.psu.edu/repos/devteam/concat/gops_concat_1/1.0.1                                                                        ,7357,gops_concat_1,1.0.1                                                                        
 2021-05 , toolshed.g2.bx.psu.edu/repos/iuc/bcftools_consensus/bcftools_consensus/1.10                                                            ,7347,bcftools_consensus,1.1
 2021-05 , toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.29.2                                                            ,7338,bedtools_genomecoveragebed,2.29.2                                                            
 2021-05 , toolshed.g2.bx.psu.edu/repos/iuc/snpeff_sars_cov_2/snpeff_sars_cov_2/4.5covid19                                                        ,7042,snpeff_sars_cov_2,4.5covid19                                                        
 2021-05 , toolshed.g2.bx.psu.edu/repos/iuc/datamash_ops/datamash_ops/1.1.0                                                                       ,6934,datamash_ops,1.1.0                                                                       
 2021-05 , toolshed.g2.bx.psu.edu/repos/iuc/lofreq_indelqual/lofreq_indelqual/2.1.5+galaxy0                                                       ,6804,lofreq_indelqual,2.1.5+galaxy0                                                       
 2021-05 , toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp/0.20.1+galaxy0                                                                            ,6399,fastp,0.20.1+galaxy0                                                                            
 2021-05 , toolshed.g2.bx.psu.edu/repos/bgruening/replace_column_by_key_value_file/replace_column_with_key_value_file/0.2                         ,6287,replace_column_with_key_value_file,0.2
 2021-05 , toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fasterq_dump/2.10.9+galaxy0                                                                 ,5644,fasterq_dump,2.10.9+galaxy0                                                                 
 2021-05 , toolshed.g2.bx.psu.edu/repos/bgruening/trim_galore/trim_galore/0.6.3                                                                   ,5401,trim_galore,0.6.3                                                                   
 2021-05 , toolshed.g2.bx.psu.edu/repos/lparsons/cutadapt/cutadapt/1.16.6                                                                         ,5391,cutadapt,1.16.6                                                                         
