month_year,num_jobs,tool_name,tool_version
 2020-1     ,20627,fastqc,0.72+galaxy1                                                                        
 2020-1     ,9204, CONVERTER_gz_to_uncompressed                                                                                                           , CONVERTER_gz_to_uncompressed                                                                                                           
 2020-1     ,8743,featurecounts,1.6.4+galaxy1                                                             
 2020-1     ,7631,hisat2,2.1.0+galaxy5                                                                           
 2020-1     ,6492,trimmomatic,0.38.0                                                                   
 2020-1     ,5550,bowtie2,2.3.4.3+galaxy0                                                                   
 2020-1     ,5248, ebi_sra_main                                                                                                                           , ebi_sra_main                                                                                                                           
 2020-1     ,4378, __SET_METADATA__                                                                                                                       , __SET_METADATA__                                                                                                                       
 2020-1     ,4137,bwa_mem,0.7.17.1                                                                              
 2020-1     ,3418, Grep1                                                                                                                                  , Grep1                                                                                                                                  
 2020-1     ,3364, Filter1                                                                                                                                , Filter1                                                                                                                                
 2020-1     ,3219,fasta2tab,1.1.0                                                                  
 2020-1     ,3185, ucsc_table_direct1                                                                                                                     , ucsc_table_direct1                                                                                                                     
 2020-1     ,3181,fastq_groomer,1.1.1                                                                 
 2020-1     ,3067,mothur_make_contigs,1.39.5.0                                                      
 2020-1     ,2990, Cut1                                                                                                                                   , Cut1                                                                                                                                   
 2020-1     ,2874,mothur_screen_seqs,1.39.5.0                                                        
 2020-1     ,2811,htseq_count,0.9.1                                                                    
 2020-1     ,2796,trim_galore,0.6.3                                                                   
 2020-1     ,2712,stringtie,1.3.6                                                                             
 2020-1     ,2619,deeptools_bam_coverage,3.3.0.0.0                                         
 2020-1     ,2467,deseq2,2.11.40.6                                                                               
 2020-1     ,2383,mothur_split_abund,1.39.5.0                                                        
 2020-1     ,2267,cutadapt,1.16.6                                                                         
 2020-1     ,2233,fastq_to_fasta_python,1.1.1                                                          
 2020-1     ,2110,tab2fasta,1.1.0                                                                  
 2020-1     ,2109, CONVERTER_fastq_to_fqtoc0                                                                                                              , CONVERTER_fastq_to_fqtoc0                                                                                                              
 2020-1     ,2089,tp_cut_tool,1.1.0                                                               
 2020-1     ,1962,fastq_dump,2.10.4                                                                           
 2020-1     ,1945, Grouping1                                                                                                                              , Grouping1                                                                                                                              
 2020-1     ,1872, join1                                                                                                                                  , join1                                                                                                                                  
 2020-1     ,1872,rna_star,2.6.0b-1                                                                           
 2020-1     ,1835,mothur_classify_seqs,1.39.5.0                                                    
 2020-1     ,1701,Add_a_column1,1.2.0                                                                  
 2020-1     ,1591,deeptools_plot_heatmap,3.3.0.0.1                                         
 2020-1     ,1577,deeptools_compute_matrix,3.3.0.0.0                                     
 2020-1     ,1524,bedtools_intersectbed,2.29.0                                                                 
 2020-1     ,1492,macs2_callpeak,2.1.1.20160309.6                                                                 
