month_year,totalmemory,tool_name,tool_version
 2021-5     ,4.35959E+12,Add_a_column1,1.6
 2021-5     ,3.99671E+12,fastqc,0.72+galaxy1                                                                        
 2021-5     ,2.88424E+12, Cut1                                                                                                                                   , Cut1                                                                                                                                   
 2021-5     ,2.53665E+12,snpSift_extractFields,4.3+t.galaxy0                                                           
 2021-5     ,2.47802E+12,snpSift_filter,4.3+t.galaxy1                                                                  
 2021-5     ,1.57269E+12,tp_find_and_replace,1.1.3                                                       
 2021-5     ,1.34744E+12, Filter1                                                                                                                                , Filter1                                                                                                                                
 2021-5     ,1.21265E+12, ucsc_table_direct1                                                                                                                     , ucsc_table_direct1                                                                                                                     
 2021-5     ,1.20201E+12,lofreq_call,2.1.5+galaxy0                                                                 
 2021-5     ,1.19772E+12,bwa_mem,0.7.17.1                                                                              
 2021-5     ,1.07171E+12,hisat2,2.1.0+galaxy7                                                                           
 2021-5     ,1.00651E+12,featurecounts,2.0.1                                                                     
 2021-5     ,9.5094E+11,lofreq_viterbi,2.1.5+galaxy0                                                           
 2021-5     ,8.82497E+11,bcftools_consensus,1.1
 2021-5     ,8.76346E+11,lofreq_filter,2.1.5+galaxy0                                                             
 2021-5     ,8.75978E+11, CONVERTER_gz_to_uncompressed                                                                                                           , CONVERTER_gz_to_uncompressed                                                                                                           
 2021-5     ,8.42016E+11,gops_subtract_1,1.0.0                                                                    
 2021-5     ,8.35423E+11,tp_replace_in_line,1.1.2                                                        
 2021-5     ,8.26003E+11,bedtools_genomecoveragebed,2.29.2                                                            
 2021-5     ,8.21527E+11,datamash_ops,1.1.0                                                                       
 2021-5     ,8.14955E+11,gops_merge_1,1.0.0                                                                          
 2021-5     ,8.05938E+11,vcfvcfintersect,1.0.0_rc3+galaxy0                                                 
 2021-5     ,7.76905E+11,gops_concat_1,1.0.1                                                                        
 2021-5     ,7.73356E+11,trimmomatic,0.38.0                                                                   
 2021-5     ,7.6044E+11,replace_column_with_key_value_file,0.2
 2021-5     ,7.19393E+11,fastp,0.20.1+galaxy0                                                                            
 2021-5     ,7.16288E+11,fastq_dump,2.10.9+galaxy0                                                                   
 2021-5     ,6.73022E+11,snpeff_sars_cov_2,4.5covid19                                                        
 2021-5     ,6.41498E+11,ivar_trim,1.2.2+galaxy1                                                                     
 2021-5     ,6.28429E+11,samtools_stats,2.0.2+galaxy2                                                       
 2021-5     ,6.03702E+11,qualimap_bamqc,2.2.2d+galaxy3                                                          
 2021-5     ,5.98047E+11,lofreq_indelqual,2.1.5+galaxy0                                                       
 2021-5     ,5.46541E+11,lastz_wrapper_2,1.3.3                                                                       
 2021-5     ,5.35136E+11,trim_galore,0.6.3                                                                   
 2021-5     ,5.23039E+11,bowtie2,2.4.2+galaxy0                                                                     
 2021-5     ,4.99791E+11,cutadapt,1.16.6                                                                         
 2021-5     ,4.81618E+11,stringtie,2.1.1                                                                             
 2021-5     ,4.28009E+11, __SET_METADATA__                                                                                                                       , __SET_METADATA__                                                                                                                       
 2021-5     ,4.10126E+11,fastp,0.19.5+galaxy1                                                                            
 2021-5     ,3.79782E+11, __DATA_FETCH__                                                                                                                         , __DATA_FETCH__                                                                                                                         
 2021-5     ,3.77653E+11,ivar_removereads,1.2.2+galaxy1                                                       
 2021-5     ,3.74416E+11,deseq2,2.11.40.6+galaxy1                                                                       
 2021-5     ,3.74166E+11,samtools_view,1.9+galaxy2                                                               
 2021-5     ,3.50527E+11,rna_star,2.7.8a                                                                             
 2021-5     ,3.3642E+11,fasterq_dump,2.10.9+galaxy0                                                                 
 2021-5     ,3.23852E+11,htseq_count,0.9.1                                                                    
 2021-5     ,3.13744E+11,fastq_to_fasta_python,1.1.5                                                          
 2021-5     ,2.98968E+11,picard_MarkDuplicates,2.18.2.2                                                             
 2021-5     ,2.66673E+11,fasta_filter_by_length,1.2
 2021-5     ,2.62618E+11, join1                                                                                                                                  , join1                                                                                                                                  
 2021-5     ,2.61383E+11,multiqc,1.9+galaxy1                                                                           
 2021-5     ,2.4005E+11, Grep1                                                                                                                                  , Grep1                                                                                                                                  
 2021-5     ,2.40044E+11,deeptools_bam_coverage,3.3.2.0.0                                         
 2021-5     ,2.34326E+11,freebayes,1.3.1                                                                         
 2021-5     ,2.22146E+11,deeptools_compute_matrix,3.3.2.0.0                                     
 2021-5     ,2.21202E+11,samtool_filter2,1.8+galaxy1                                                       
 2021-5     ,2.1596E+11,cshl_fastx_collapser,1.0.1                                                        
 2021-5     ,2.07363E+11,macs2_callpeak,2.1.1.20160309.6                                                                 
 2021-5     ,2.06391E+11,fastq_groomer,1.1.5                                                                 
 2021-5     ,2.01639E+11,ncbi_blastn_wrapper,2.10.1+galaxy0                                                
 2021-5     ,2.00908E+11,deeptools_plot_heatmap,3.3.2.0.1                                         
 2021-5     ,2.00716E+11,vcffilter2,1.0.0_rc3+galaxy3                                                            
