month_year,totalmemory,tool_name,tool_version
 2020-1     ,4.68256E+12,unicycler,0.4.8.0                                                                           
 2020-1     ,4.3451E+12,rna_star,2.6.0b-1                                                                           
 2020-1     ,2.71888E+12,fastqc,0.72+galaxy1                                                                        
 2020-1     ,1.48688E+12,trinity_psc,0.0.1                                                                        
 2020-1     ,1.2132E+12, CONVERTER_gz_to_uncompressed                                                                                                           , CONVERTER_gz_to_uncompressed                                                                                                           
 2020-1     ,1.15243E+12,featurecounts,1.6.4+galaxy1                                                             
 2020-1     ,8.55723E+11,trimmomatic,0.38.0                                                                   
 2020-1     ,8.11627E+11,hisat2,2.1.0+galaxy5                                                                           
 2020-1     ,6.91749E+11, ebi_sra_main                                                                                                                           , ebi_sra_main                                                                                                                           
 2020-1     ,5.84841E+11,bowtie2,2.3.4.3+galaxy0                                                                   
 2020-1     ,5.77072E+11, __SET_METADATA__                                                                                                                       , __SET_METADATA__                                                                                                                       
 2020-1     ,4.77673E+11,bwa_mem,0.7.17.1                                                                              
 2020-1     ,4.50533E+11, Grep1                                                                                                                                  , Grep1                                                                                                                                  
 2020-1     ,4.43415E+11, Filter1                                                                                                                                , Filter1                                                                                                                                
 2020-1     ,4.24302E+11,fasta2tab,1.1.0                                                                  
 2020-1     ,4.19821E+11, ucsc_table_direct1                                                                                                                     , ucsc_table_direct1                                                                                                                     
 2020-1     ,4.19294E+11,fastq_groomer,1.1.1                                                                 
 2020-1     ,4.04267E+11,mothur_make_contigs,1.39.5.0                                                      
 2020-1     ,3.94118E+11, Cut1                                                                                                                                   , Cut1                                                                                                                                   
 2020-1     ,3.78827E+11,mothur_screen_seqs,1.39.5.0                                                        
 2020-1     ,3.70523E+11,htseq_count,0.9.1                                                                    
 2020-1     ,3.68546E+11,trim_galore,0.6.3                                                                   
 2020-1     ,3.45115E+11,deeptools_bam_coverage,3.3.0.0.0                                         
 2020-1     ,3.2518E+11,deseq2,2.11.40.6                                                                               
 2020-1     ,3.14108E+11,mothur_split_abund,1.39.5.0                                                        
 2020-1     ,3.05713E+11,stringtie,1.3.6                                                                             
 2020-1     ,2.98818E+11,cutadapt,1.16.6                                                                         
 2020-1     ,2.94336E+11,fastq_to_fasta_python,1.1.1                                                          
 2020-1     ,2.78123E+11,tab2fasta,1.1.0                                                                  
 2020-1     ,2.77991E+11, CONVERTER_fastq_to_fqtoc0                                                                                                              , CONVERTER_fastq_to_fqtoc0                                                                                                              
 2020-1     ,2.75355E+11,tp_cut_tool,1.1.0                                                               
 2020-1     ,2.58615E+11,fastq_dump,2.10.4                                                                           
 2020-1     ,2.56374E+11, Grouping1                                                                                                                              , Grouping1                                                                                                                              
 2020-1     ,2.46752E+11, join1                                                                                                                                  , join1                                                                                                                                  
 2020-1     ,2.41875E+11,mothur_classify_seqs,1.39.5.0                                                    
 2020-1     ,2.24212E+11,Add_a_column1,1.2.0                                                                  
 2020-1     ,2.09713E+11,deeptools_plot_heatmap,3.3.0.0.1                                         
 2020-1     ,2.07868E+11,deeptools_compute_matrix,3.3.0.0.0                                     
 2020-1     ,2.00881E+11,bedtools_intersectbed,2.29.0                                                                 
 2020-1     ,1.96663E+11,macs2_callpeak,2.1.1.20160309.6                                                                 
 2020-1     ,1.95345E+11,snpEff,4.3+T.galaxy1                                                                           
 2020-1     ,1.9495E+11,gops_join_1,1.0.0                                                                            
 2020-1     ,1.91786E+11,tp_easyjoin_tool,1.1.1                                                          
 2020-1     ,1.78342E+11,bowtie_wrapper,1.2.0                                                              
 2020-1     ,1.77419E+11,cshl_fastx_collapser,1.0.0                                                        
 2020-1     ,1.75178E+11,samtools_flagstat,2.0.3                                                         
 2020-1     ,1.73464E+11,mothur_unique_seqs,1.39.5.0                                                        
 2020-1     ,1.70038E+11,prokka,1.13
 2020-1     ,1.69378E+11,annotatemyids,3.7.0+galaxy1                                                             
 2020-1     ,1.68456E+11, Convert characters1                                                                                                                    , Convert characters1                                                                                                                    
 2020-1     ,1.66478E+11, cat1                                                                                                                                   , cat1                                                                                                                                   
 2020-1     ,1.63315E+11,fastq_combiner,1.1.1                                                               
 2020-1     ,1.56856E+11,freebayes,1.1.0.46-0                                                                    
 2020-1     ,1.55802E+11,multiqc,1.7
 2020-1     ,1.55274E+11,datamash_ops,1.1.0                                                                       
 2020-1     ,1.49606E+11,fasterq_dump,2.10.4                                                                         
 2020-1     ,1.49475E+11,edger,3.24.1+galaxy1                                                                            
 2020-1     ,1.48552E+11,tp_sort_header_tool,1.1.1                                                       
 2020-1     ,1.44049E+11,cufflinks,2.2.1.2                                                                       
 2020-1     ,1.43543E+11,tp_sed_tool,1.1.1                                                               
 2020-1     ,1.41698E+11,bedtools_genomecoveragebed,2.29.0                                                            
 2020-1     ,1.39721E+11,samtool_filter2,1.8+galaxy1                                                       
 2020-1     ,1.33657E+11,vcffilter2,1.0.0_rc1+galaxy3                                                            
 2020-1     ,1.31944E+11,bamFilter,2.4.1                                                                   
 2020-1     ,1.24035E+11,bedtools_bamtofastq,2.27.1                                                                   
 2020-1     ,1.23645E+11,tophat2,2.1.1                                                                             
 2020-1     ,1.22717E+11,mothur_align_seqs,1.39.5.0                                                          
 2020-1     ,1.21794E+11,fastq_filter,1.1.1                                                                   
 2020-1     ,1.20081E+11,picard_MarkDuplicates,2.18.2.2                                                             
 2020-1     ,1.17444E+11, CONVERTER_bam_to_coodinate_sorted_bam                                                                                                  , CONVERTER_bam_to_coodinate_sorted_bam                                                                                                  
 2020-1     ,1.1349E+11, wig_to_bigWig                                                                                                                          , wig_to_bigWig                                                                                                                          
 2020-1     ,1.0914E+11,salmon,0.14.1.2                                                                          
 2020-1     ,1.04527E+11,gops_intersect_1,1.0.0                                                                  
 2020-1     ,1.04131E+11, param_value_from_file                                                                                                                  , param_value_from_file                                                                                                                  
 2020-1     ,1.04E+11,samtools_rmdup,2.0.1                                                               
 2020-1     ,1.02418E+11,mothur_summary_seqs,1.39.5.0                                                      
 2020-1     ,1.00441E+11, sort1                                                                                                                                  , sort1                                                                                                                                  
 2020-1     ,99649787236,bam_to_sam,2.0.1                                                                       
 2020-1     ,97277173196,ggplot2_heatmap2,3.0.1                                                               
 2020-1     ,94123458268,bwa,0.7.17.4                                                                                  
 2020-1     ,93850064256,picard_DownsampleSam,2.18.2.1                                                              
 2020-1     ,93718252288, comp1                                                                                                                                  , comp1                                                                                                                                  
 2020-1     ,91872885872, csv_to_tabular                                                                                                                         , csv_to_tabular                                                                                                                         
 2020-1     ,90950202688,fastqc,0.72
 2020-1     ,86600410192,tabular_to_fastq,1.1.1                                                           
 2020-1     ,85809539072, mergeCols1                                                                                                                             , mergeCols1                                                                                                                             
 2020-1     ,85809538904,fastp,0.19.5+galaxy1                                                                            
 2020-1     ,85545915048,cshl_fastq_to_fasta,1.0.2                                                          
 2020-1     ,82646053764,fastq_join,1.1.2-806.1                                                                
 2020-1     ,81986993496,lastz_wrapper_2,1.3.2                                                                       
 2020-1     ,81459746716,samtools_slice_bam,2.0.1                                                       
 2020-1     ,80141627760,ncbi_blastn_wrapper,0.3.3                                                         
 2020-1     ,79087132720,cshl_fastx_trimmer,1.0.2                                                            
 2020-1     ,78428073356,gops_basecoverage_1,1.0.0                                                            
 2020-1     ,76978142436,tp_find_and_replace,1.1.1                                                       
 2020-1     ,75923647440,cshl_fastq_quality_filter,1.0.2                                              
 2020-1     ,72628350264,bedtools_multicovtbed,2.29.0                                                                 
 2020-1     ,70914795680,tp_cat,0.1.0                                                                    
 2020-1     ,70651171912,deeptools_plot_profile,3.3.0.0.0                                         
 2020-1     ,70255736304,mothur_trim_seqs,1.39.5.0                                                            
 2020-1     ,69728488684, CONVERTER_interval_to_bed_0                                                                                                            , CONVERTER_interval_to_bed_0                                                                                                            
 2020-1     ,69333052780,minimap2,2.17+galaxy0                                                                        
 2020-1     ,68146745964,trimmomatic,0.36.5                                                                   
 2020-1     ,67751310312,featurecounts,1.6.3+galaxy2                                                             
 2020-1     ,67224062832, addValue                                                                                                                               , addValue                                                                                                                               
 2020-1     ,66576708432,star_fusion,0.5.4-3                                                                       
 2020-1     ,66565003440,mothur_filter_seqs,1.39.5.0                                                        
 2020-1     ,66301379548,limma_voom,3.38.3+galaxy3                                                                  
 2020-1     ,65642320120,rseqc_infer_experiment,2.6.4.1                                                               
 2020-1     ,64983262632, CONVERTER_bam_to_bigwig_0                                                                                                              , CONVERTER_bam_to_bigwig_0                                                                                                              
 2020-1     ,63006082280,snpSift_filter,4.3+t.galaxy0                                                                  
 2020-1     ,62083399164,fastq_to_tabular,1.1.1                                                           
 2020-1     ,61951587288,deeptools_plot_correlation,3.3.0.0.0                                 
 2020-1     ,61819940876,kraken,1.3.0                                                                               
 2020-1     ,60369936764,bwa_wrapper,1.2.3                                                                    
 2020-1     ,60369844700,mothur_make_fastq,1.39.5.0                                                          
 2020-1     ,59051725704,tp_awk_tool,1.1.1                                                               
 2020-1     ,58656290160,mothur_summary_tax,1.39.5.0                                                        
 2020-1     ,58260854484,pileup_parser,1.0.2                                                                 
 2020-1     ,57733606904,bamtools,2.4.0                                                                           
 2020-1     ,56810923704, tabular_to_csv                                                                                                                         , tabular_to_csv                                                                                                                         
 2020-1     ,56151864288,vsearch_clustering,1.9.7.0                                                                    
 2020-1     ,54965557244,tp_head_tool,1.1.0                                                              
 2020-1     ,54965557216,peakcalling_macs,1.0.1                                                                       
 2020-1     ,54570121572,table_annovar,0.2
 2020-1     ,54174685936,samtools_idxstats,2.0.3                                                         
 2020-1     ,54042874044,samtools_sort,2.0.3                                                                 
 2020-1     ,53911062188,seqtk_sample,1.3.2                                                                              
 2020-1     ,53895427856,unicycler,0.4.6.0                                                                           
 2020-1     ,53515626496,kallisto_quant,0.46.0.4                                                                
 2020-1     ,52988378940,samtools_stats,2.0.2+galaxy2                                                       
 2020-1     ,52988378864,samtools_mpileup,2.1.4                                                           
 2020-1     ,52856567020,trim_galore,0.4.3.1                                                                 
 2020-1     ,52592943212, Paste1                                                                                                                                 , Paste1                                                                                                                                 
 2020-1     ,51670260096,sam_to_bam,2.1.1                                                                       
 2020-1     ,51670260024,cshl_fastx_barcode_splitter,1.0.1                                          
 2020-1     ,50615764948,varscan,2.4.2                                                                   
 2020-1     ,50484096580,tp_replace_in_line,1.1.2                                                        
 2020-1     ,48506774752,rseqc_bam2wig,2.6.4                                                                          
 2020-1     ,45079665664,bedtools_bamtobed,2.29.0                                                                     
 2020-1     ,44816126484,cuffdiff,2.2.1.5                                                                         
 2020-1     ,42575239824,fastq_groomer,1.0.4                                                                 
 2020-1     ,41520744712,sam_pileup,1.1.2                                                                       
 2020-1     ,40202625840,picard_QualityScoreDistribution,2.18.2.1                                                   
 2020-1     ,39675378240, CONVERTER_interval_to_bedstrict_0                                                                                                      , CONVERTER_interval_to_bedstrict_0                                                                                                      
 2020-1     ,39411754500,samtools_view,1.9
 2020-1     ,39411754404,sam_to_bam,2.1
 2020-1     ,39016318844,flash,1.2.11.4                                                                                  
 2020-1     ,38093635588,tp_grep_tool,1.1.1                                                              
 2020-1     ,38093635536,sequence_content_trimmer,0.1
 2020-1     ,37137901500,deeptools_bam_compare,3.3.0.0.0                                           
 2020-1     ,36775516672,tp_sorted_uniq,1.1.0                                                            
 2020-1     ,36643704840, Extract genomic DNA 1                                                                                                                  , Extract genomic DNA 1                                                                                                                  
 2020-1     ,36643704824,gatk_unified_genotyper,0.0.6                                                    
 2020-1     ,36643704796,collapse_dataset,4.1
 2020-1     ,36380081056,quast,5.0.2+galaxy0                                                                             
 2020-1     ,36116457228,sam_merge2,1.2.0                                                                        
 2020-1     ,35589209744,fastq_quality_trimmer,1.1.1                                              
 2020-1     ,35589209740,bedtools_getfastabed,2.29.0                                                                  
 2020-1     ,35589209700,fasta_filter_by_length,1.1
 2020-1     ,35457397872,fastqc,0.65
 2020-1     ,35193774056,fastq_paired_end_joiner,2.0.1.1                                           
 2020-1     ,34666563800,deeptools_bam_coverage,3.1.2.0.0                                         
 2020-1     ,34666526404,tp_replace_in_line,1.1.1                                                        
 2020-1     ,34402902724,Extract genomic DNA 1,3.0.3                                                       
 2020-1     ,34271090864,naive_variant_caller,0.0.4                                               
 2020-1     ,34139278900,tp_multijoin_tool,1.1.1                                                         
 2020-1     ,34007467096,cshl_fastx_artifacts_filter,1.0.0                                          
 2020-1     ,34007467088, Count1                                                                                                                                 , Count1                                                                                                                                 
 2020-1     ,33875655200,fastq_stats,1.1.1                                                                     
 2020-1     ,33612031412,vcf2tsv,1.0.0_rc1+galaxy0                                                                 
 2020-1     ,32952987056,tp_find_and_replace,1.1.2                                                       
 2020-1     ,32952971972,picard_CollectInsertSizeMetrics,2.18.2.1                                                   
 2020-1     ,32952971928,picard_CollectRnaSeqMetrics,2.18.2.1                                                       
 2020-1     ,32557536316,goseq,1.36.0+galaxy0                                                                            
 2020-1     ,32162100672,tp_sort_header_tool,1.1.0                                                       
 2020-1     ,32162100644,collection_column_join,0.0.3                                                   
 2020-1     ,32030288676,mimodd_reheader,0.1.9                                                                   
 2020-1     ,30975793632,clustalw,2.1
 2020-1     ,30448546104,picard_AddOrReplaceReadGroups,2.18.2.1                                                     
 2020-1     ,30448546100,samtools_fastx,1.9+galaxy1                                                             
 2020-1     ,30184922328,bedtools_mergebed,2.29.0                                                                     
 2020-1     ,30053110460,fastq_paired_end_deinterlacer,1.1.2                                 
 2020-1     ,29789486616,ncbi_blastp_wrapper,0.3.3                                                         
 2020-1     ,29657716092,deeptools_multi_bigwig_summary,3.3.0.0.0                         
 2020-1     ,29394101796,deeptools_multi_bam_summary,3.3.0.0.0                               
 2020-1     ,29320020556,hisat2,2.1.0+galaxy4                                                                           
 2020-1     ,29262239132,ncbi_blastx_wrapper,0.3.3                                                         
 2020-1     ,29262239112,ngsutils_bam_filter,0.5.9                                                         
 2020-1     ,29130427232,rseqc_FPKM_count,2.6.4.1                                                                     
 2020-1     ,28734991584,snpSift_extractFields,4.3+t.galaxy0                                                           
 2020-1     ,28603179680, __EXPORT_HISTORY__                                                                                                                     , __EXPORT_HISTORY__                                                                                                                     
 2020-1     ,28471367780,chipseeker,1.18.0+galaxy1                                                              
 2020-1     ,28339555920,fastq_trimmer,1.0.0                                                                 
 2020-1     ,27548684584, Remove beginning1                                                                                                                      , Remove beginning1                                                                                                                      
 2020-1     ,27548684568, CONVERTER_fasta_to_tabular                                                                                                             , CONVERTER_fasta_to_tabular                                                                                                             
 2020-1     ,27021437040,cshl_fastq_quality_filter,1.0.1                                              
 2020-1     ,26757813244, CONVERTER_interval_to_bed12_0                                                                                                          , CONVERTER_interval_to_bed12_0                                                                                                          
 2020-1     ,26626001372,cutadapt,1.16.5                                                                         
 2020-1     ,26494189432,mimodd_sort,0.1.9                                                                       
 2020-1     ,26230565708,gops_coverage_1,1.0.0                                                                    
