month_year,avgmemory,tool_name,tool_version
 2021-05 ,263846789.3,trinity,2.9.1+galaxy1                                                                         
 2021-05 ,192411809.4,spades,3.12.0+galaxy1                                                                          
 2021-05 ,161107427.8,kraken,1.3.1                                                                               
 2021-05 ,131811876, Condense characters1                                                                                                                   , Condense characters1                                                                                                                   
 2021-05 ,131811876, CONVERTER_bedgraph_to_bigwig                                                                                                           , CONVERTER_bedgraph_to_bigwig                                                                                                           
 2021-05 ,131811876, CONVERTER_biom1_to_biom2                                                                                                               , CONVERTER_biom1_to_biom2                                                                                                               
 2021-05 ,131811876, CONVERTER_wiggle_to_interval_0                                                                                                         , CONVERTER_wiggle_to_interval_0                                                                                                         
 2021-05 ,131811876, CONVERTER_tar_to_directory                                                                                                             , CONVERTER_tar_to_directory                                                                                                             
 2021-05 ,131811876, CONVERTER_picard_interval_list_to_bed6                                                                                                 , CONVERTER_picard_interval_list_to_bed6                                                                                                 
 2021-05 ,131811876, CONVERTER_interval_to_tabix_0                                                                                                          , CONVERTER_interval_to_tabix_0                                                                                                          
 2021-05 ,131811876, wig_to_bigWig                                                                                                                          , wig_to_bigWig                                                                                                                          
 2021-05 ,131811876,mimodd_info,0.1.9                                                                       
 2021-05 ,131811876,mimodd_delcall,0.1.9                                                                    
 2021-05 ,131811876,mimodd_convert,0.1.9                                                                    
 2021-05 ,131811876,iterative_map_pipeline,1
 2021-05 ,131811876,hgv_funDo,1.0.0                                                                         
 2021-05 ,131811876, MAF_To_BED1                                                                                                                            , MAF_To_BED1                                                                                                                            
 2021-05 ,131811876, CONVERTER_bcf_to_bcf_uncompressed                                                                                                      , CONVERTER_bcf_to_bcf_uncompressed                                                                                                      
 2021-05 ,131811876, Interval2Maf1                                                                                                                          , Interval2Maf1                                                                                                                          
 2021-05 ,131811876,sklearn_svm_classifier,1.0.8.2                                           
 2021-05 ,131811876,sklearn_train_test_eval,1.0.8.2                                         
 2021-05 ,131811876,sklearn_train_test_split,1.0.8.2                                       
