month_year,avgmemory,tool_name,tool_version
 2020-1     ,3170319449,star_fusion,0.5.4-3                                                                       
 2020-1     ,3170319286,unicycler,0.4.6.0                                                                           
 2020-1     ,3170319013,trinity_psc,0.0.1                                                                        
 2020-1     ,3170318739,unicycler,0.4.8.0                                                                           
 2020-1     ,2321102292,rna_star,2.6.0b-1                                                                           
 2020-1     ,131813776,deeptools_bam_compare,2.3.5.0                                             
 2020-1     ,131813144,cuffmerge,2.2.1.0                                                                       
 2020-1     ,131812620.9,cuffmerge,0.0.5                                                                         
 2020-1     ,131812612.9,tophat2,2.1.0                                                                             
 2020-1     ,131812517.3,hisat2,2.0.5.2                                                                                 
 2020-1     ,131812514.7,deeptools_multi_bigwig_summary,3.1.2.0.0                         
 2020-1     ,131812468.9,cufflinks,2.2.1.0                                                                       
 2020-1     ,131812407.7,tophat2,0.9
 2020-1     ,131812391.3,cuffquant,2.2.1.1                                                                       
 2020-1     ,131812360,stringtie,1.2.3                                                                             
 2020-1     ,131812291.7,deeptools_plot_coverage,3.3.0.0.0                                       
 2020-1     ,131812265.6,deeptools_correct_gc_bias,3.3.0.0.0                                   
 2020-1     ,131812262.6,tp_replace_in_line,1.1.2                                                        
 2020-1     ,131812242.6,deeptools_plot_fingerprint,3.3.0.0.0                                 
 2020-1     ,131812240.7,kraken,1.3.0                                                                               
 2020-1     ,131812191.1,cuffmerge,2.2.1.1                                                                       
 2020-1     ,131812181.6,align_families,2.14
 2020-1     ,131812174.6,prokka,1.14.5                                                                                 
 2020-1     ,131812157.7,deeptools_compute_gc_bias,3.3.0.0.0                                   
 2020-1     ,131812151.5,deeptools_compute_matrix,3.3.0.0.0                                     
 2020-1     ,131812136.7,cuffdiff,2.2.1.5                                                                         
 2020-1     ,131812134.4,deeptools_bam_pe_fragmentsize,3.3.0.0.0                           
 2020-1     ,131812127,prokka,1.13
 2020-1     ,131812124,freebayes,0.4
 2020-1     ,131812123.5,lofreq_viterbi,2.1.3.1+galaxy0                                                         
 2020-1     ,131812121.3,rbc_mafft,7.221.3                                                                           
 2020-1     ,131812115.7,deeptools_multi_bam_summary,3.3.0.0.0                               
 2020-1     ,131812100.4,deeptools_bigwig_compare,3.3.0.0.0                                     
 2020-1     ,131812095.1,cufflinks,0.0.6                                                                         
 2020-1     ,131812089,bwa_wrapper,1.2.3                                                                    
 2020-1     ,131812088.6,bowtie_wrapper,1.2.0                                                              
 2020-1     ,131812080.2,freebayes,1.1.0.46-0                                                                    
 2020-1     ,131812071.5,deeptools_multi_bigwig_summary,3.3.0.0.0                         
 2020-1     ,131812069.9,bowtie_wrapper,1.1.2                                                              
 2020-1     ,131812059.6,kraken,1.2.3                                                                               
 2020-1     ,131812045.3,deeptools_bam_compare,3.1.2.0.0                                           
 2020-1     ,131812039.8,deeptools_compute_matrix,3.1.2.0.0                                     
 2020-1     ,131812029.7,deeptools_bam_coverage,3.1.2.0.0                                         
 2020-1     ,131812021.1,freebayes,0.4.1                                                                         
 2020-1     ,131812013.9,stringtie,1.3.4                                                                             
 2020-1     ,131812013.9,deeptools_bigwig_compare,3.1.2.0.0                                     
 2020-1     ,131812013.3,cuffdiff,2.2.1.3                                                                         
 2020-1     ,131812012.8,cuffnorm,2.2.1.2                                                                         
 2020-1     ,131811994.8,snpEff,4.3+T.galaxy1                                                                           
 2020-1     ,131811992.9,dexseq,1.28.1+galaxy1                                                                          
 2020-1     ,131811948.2,tp_find_and_replace,1.1.2                                                       
 2020-1     ,131811891.7, CONVERTER_bam_to_bigwig_0                                                                                                              , CONVERTER_bam_to_bigwig_0                                                                                                              
 2020-1     ,131811891,tp_sed_tool,1.1.1                                                               
 2020-1     ,131811888.4, ucsc_table_direct1                                                                                                                     , ucsc_table_direct1                                                                                                                     
 2020-1     ,131811888,augustus,3.3.3                                                                         
 2020-1     ,131811888,EMBOSS: geecee41,5.0.0                                                                   
 2020-1     ,131811888, CONVERTER_biom2_to_biom1                                                                                                               , CONVERTER_biom2_to_biom1                                                                                                               
 2020-1     ,131811888, CONVERTER_cram_to_bam_0                                                                                                                , CONVERTER_cram_to_bam_0                                                                                                                
 2020-1     ,131811888, CONVERTER_fasta_to_bowtie_base_index                                                                                                   , CONVERTER_fasta_to_bowtie_base_index                                                                                                   
 2020-1     ,131811888, CONVERTER_interval_to_bigwig_0                                                                                                         , CONVERTER_interval_to_bigwig_0                                                                                                         
 2020-1     ,131811888, CONVERTER_interval_to_tabix_0                                                                                                          , CONVERTER_interval_to_tabix_0                                                                                                          
 2020-1     ,131811888, CONVERTER_maf_to_fasta_0                                                                                                               , CONVERTER_maf_to_fasta_0                                                                                                               
 2020-1     ,131811888, CONVERTER_maf_to_interval_0                                                                                                            , CONVERTER_maf_to_interval_0                                                                                                            
 2020-1     ,131811888, CONVERTER_sam_to_bigwig_0                                                                                                              , CONVERTER_sam_to_bigwig_0                                                                                                              
 2020-1     ,131811888, CONVERTER_sam_to_unsorted_bam                                                                                                          , CONVERTER_sam_to_unsorted_bam                                                                                                          
 2020-1     ,131811888, CONVERTER_vcf_to_tabix_0                                                                                                               , CONVERTER_vcf_to_tabix_0                                                                                                               
 2020-1     ,131811888, CONVERTER_wig_to_bigwig                                                                                                                , CONVERTER_wig_to_bigwig                                                                                                                
 2020-1     ,131811888, CONVERTER_wiggle_to_interval_0                                                                                                         , CONVERTER_wiggle_to_interval_0                                                                                                         
 2020-1     ,131811888, ChangeCase                                                                                                                             , ChangeCase                                                                                                                             
 2020-1     ,131811888, Interval2Maf1                                                                                                                          , Interval2Maf1                                                                                                                          
 2020-1     ,131811888, Interval2Maf_pairwise1                                                                                                                 , Interval2Maf_pairwise1                                                                                                                 
 2020-1     ,131811888, Interval_Maf_Merged_Fasta2                                                                                                             , Interval_Maf_Merged_Fasta2                                                                                                             
 2020-1     ,131811888, MAF_To_BED1                                                                                                                            , MAF_To_BED1                                                                                                                            
 2020-1     ,131811888, MAF_To_Fasta1                                                                                                                          , MAF_To_Fasta1                                                                                                                          
 2020-1     ,131811888, MAF_filter                                                                                                                             , MAF_filter                                                                                                                             
 2020-1     ,131811888, Sff_extractor                                                                                                                          , Sff_extractor                                                                                                                          
 2020-1     ,131811888, __DATA_FETCH__                                                                                                                         , __DATA_FETCH__                                                                                                                         
 2020-1     ,131811888, __IMPORT_HISTORY__                                                                                                                     , __IMPORT_HISTORY__                                                                                                                     
 2020-1     ,131811888, bed_to_bigBed                                                                                                                          , bed_to_bigBed                                                                                                                          
 2020-1     ,131811888, flymine                                                                                                                                , flymine                                                                                                                                
 2020-1     ,131811888, gene2exon1                                                                                                                             , gene2exon1                                                                                                                             
 2020-1     ,131811888, gff_filter_by_attribute                                                                                                                , gff_filter_by_attribute                                                                                                                
 2020-1     ,131811888, hgv_david                                                                                                                              , hgv_david                                                                                                                              
 2020-1     ,131811888, hgv_ldtools                                                                                                                            , hgv_ldtools                                                                                                                            
 2020-1     ,131811888, hgv_linkToGProfile                                                                                                                     , hgv_linkToGProfile                                                                                                                     
 2020-1     ,131811888, hgv_pass                                                                                                                               , hgv_pass                                                                                                                               
 2020-1     ,131811888, hgv_sift                                                                                                                               , hgv_sift                                                                                                                               
 2020-1     ,131811888, intermine                                                                                                                              , intermine                                                                                                                              
 2020-1     ,131811888, maf_limit_size1                                                                                                                        , maf_limit_size1                                                                                                                        
 2020-1     ,131811888, maf_stats1                                                                                                                             , maf_stats1                                                                                                                             
 2020-1     ,131811888, master2pgSnp                                                                                                                           , master2pgSnp                                                                                                                           
 2020-1     ,131811888, modENCODEfly                                                                                                                           , modENCODEfly                                                                                                                           
 2020-1     ,131811888, modENCODEworm                                                                                                                          , modENCODEworm                                                                                                                          
 2020-1     ,131811888, param_value_from_file                                                                                                                  , param_value_from_file                                                                                                                  
 2020-1     ,131811888, qual_stats_boxplot                                                                                                                     , qual_stats_boxplot                                                                                                                     
 2020-1     ,131811888, secure_hash_message_digest                                                                                                             , secure_hash_message_digest                                                                                                             
 2020-1     ,131811888,bedtools_bamtobed,0.1.0                                                             
 2020-1     ,131811888,bedtools_genomecoveragebed_bedgraph,0.1.0                                           
 2020-1     ,131811888,bedtools_multiintersectbed,0.1.0                                                    
 2020-1     ,131811888,GenotypeSTR,2.0.0                                                          
 2020-1     ,131811888,PEsortedSAM2readprofile,1.1.0                                              
 2020-1     ,131811888,Profilegenerator,2.0.0                                                     
 2020-1     ,131811888,combineproballelecom,2.0.0                                                 
 2020-1     ,131811888,fetchflank,1.0.0                                                           
 2020-1     ,131811888,heteroprob,2.0.0                                                           
 2020-1     ,131811888,microsatcompat,1.0.0                                                       
 2020-1     ,131811888,microsatellite,1.0.0                                                       
 2020-1     ,131811888,microsatpurity,1.0.0                                                       
 2020-1     ,131811888,readdepth2seqdepth,1.0.0                                                   
 2020-1     ,131811888,space2underscore_readname,1.0.0                                            
 2020-1     ,131811888,picard_MergeSamFiles,1.136.0                                                               
 2020-1     ,131811888,picard_QualityScoreDistribution,2.18.2.1                                                   
 2020-1     ,131811888,picard_ReorderSam,2.18.2.1                                                                 
 2020-1     ,131811888,picard_ReplaceSamHeader,2.18.2.1                                                           
 2020-1     ,131811888,picard_RevertOriginalBaseQualitiesAndAddMateCigar,2.18.2.1                                 
 2020-1     ,131811888,picard_RevertSam,2.18.2.1                                                                  
 2020-1     ,131811888,picard_SamToFastq,1.126.0                                                                  
 2020-1     ,131811888,picard_SamToFastq,1.56.1                                                                   
 2020-1     ,131811888,picard_SamToFastq,2.7.1.0                                                                  
 2020-1     ,131811888,picard_SortSam,1.126.0                                                                     
 2020-1     ,131811888,picard_SortSam,2.7.1.1                                                                     
 2020-1     ,131811888,picard_artifact_metrics,2.18.2.1                                                           
 2020-1     ,131811888,rgPicardMarkDups,1.56.0                                                                    
 2020-1     ,131811888,pileup_interval,1.0.2                                                             
 2020-1     ,131811888,plot_for_lda_output1,1.0.1                                                          
 2020-1     ,131811888,gatk_print_reads,0.0.2                                                                
 2020-1     ,131811888,qualityFilter,1.0.1                                                                
 2020-1     ,131811888,rcve1,1.0.0                                                                                  
 2020-1     ,131811888,sam_to_bam,1.1.3                                                                       
 2020-1     ,131811888,sam_to_bam,2.1.1                                                                       
 2020-1     ,131811888,samtool_filter2,1.1.2                                                             
 2020-1     ,131811888,samtool_filter2,1.8
 2020-1     ,131811888,samtools_calmd,2.0.2                                                               
 2020-1     ,131811888,samtools_flagstat,1.0.0                                                         
 2020-1     ,131811888,samtools_idxstats,2
 2020-1     ,131811888,samtools_mpileup,0.0.1                                                           
 2020-1     ,131811888,samtools_mpileup,2
 2020-1     ,131811888,samtools_mpileup,2.1.3                                                           
 2020-1     ,131811888,samtools_reheader,2.0.1                                                         
 2020-1     ,131811888,samtools_rmdup,2
 2020-1     ,131811888,samtools_sort,2.0.1                                                                 
 2020-1     ,131811888,samtools_stats,2.0.1                                                               
 2020-1     ,131811888,scatterplot_rpy,1.0.3                                                                 
 2020-1     ,131811888,quality_score_distribution,1.0.2                                         
 2020-1     ,131811888,trim_reads,1.0.0                                                             
 2020-1     ,131811888,hgv_snpFreq,1.0.1                                                                         
 2020-1     ,131811888,subRate1,1.0.0                                                                 
 2020-1     ,131811888,substitutions1,1.0.0                                                                
 2020-1     ,131811888,t_test_two_samples,1.0.1                                                       
 2020-1     ,131811888,tabular_to_fastq,1.0.0                                                           
 2020-1     ,131811888,tophat,1.5.0                                                                               
 2020-1     ,131811888,gatk_variant_annotator,0.0.5                                                    
 2020-1     ,131811888,gatk_variant_combine,0.0.4                                                        
 2020-1     ,131811888,gatk_variant_eval,0.0.8                                                              
 2020-1     ,131811888,gatk_variant_filtration,0.0.5                                                  
 2020-1     ,131811888,gatk_variant_select,0.0.2                                                          
 2020-1     ,131811888,gatk_validate_variants,0.0.4                                                    
 2020-1     ,131811888,varscan,0.1
 2020-1     ,131811888,vcf2pgSnp,1.0.0                                                                         
 2020-1     ,131811888,vcf2tsv,0.0.3                                                                             
 2020-1     ,131811888,vcfaddinfo,1.0.0_rc1+galaxy0                                                           
 2020-1     ,131811888,vcfannotategenotypes,1.0.0_rc1+galaxy0                                       
 2020-1     ,131811888,vcfbreakcreatemulti,1.0.0_rc1+galaxy0                                         
 2020-1     ,131811888,vcfcheck,1.0.0_rc1+galaxy0                                                               
 2020-1     ,131811888,vcfcommonsamples,1.0.0_rc1+galaxy0                                               
 2020-1     ,131811888,vcfdistance,0.0.3                                                                     
 2020-1     ,131811888,vcffilter2,1.0.0_rc1+galaxy1                                                            
 2020-1     ,131811888,vcfflatten2,1.0.0_rc1+galaxy0                                                          
 2020-1     ,131811888,vcfgeno2haplo,1.0.0_rc1+galaxy0                                                     
 2020-1     ,131811888,vcfgenotypes,1.0.0_rc1+galaxy0                                                       
 2020-1     ,131811888,vcfhethom,1.0.0_rc1+galaxy0                                                             
 2020-1     ,131811888,vcfleftalign,1.0.0_rc1+galaxy0                                                       
 2020-1     ,131811888,vcfrandomsample,1.0.0_rc1+galaxy0                                                 
 2020-1     ,131811888,vcfselectsamples,1.0.0_rc1+galaxy0                                               
 2020-1     ,131811888,vcfsort,1.0.0_rc1+galaxy0                                                                 
 2020-1     ,131811888,vcftools_slice,0.1
 2020-1     ,131811888,wtavg,1.0.1                                                                       
 2020-1     ,131811888,winSplitter,1.0.0                                                                  
 2020-1     ,131811888,multiqc,1.0.0.0                                                                         
 2020-1     ,131811888,multigps,0.74.0                                                                             
 2020-1     ,131811888,plant_tribes_assembly_post_processor,1.0.3.0                    
 2020-1     ,131811888,plant_tribes_gene_family_aligner,1.0.3.0                            
 2020-1     ,131811888,plant_tribes_gene_family_classifier,1.0.3.0                      
 2020-1     ,131811888,plant_tribes_gene_family_phylogeny_builder,1.0.3.1        
 2020-1     ,131811888,plant_tribes_kaks_analysis,1.0.3.0                                        
 2020-1     ,131811888,ks_distribution,1.0.3.0                                                 
 2020-1     ,131811888,bcftools_view,0.0.1                                                        
 2020-1     ,131811888,check_snpeff_candidates,1.0.0                                    
 2020-1     ,131811888,in_silico_complementation,1.0.0                       
 2020-1     ,131811888,ems_variant_density_mapping,1.0.0                            
 2020-1     ,131811888,snp_mapping_using_wgs,1.0.0                                        
 2020-1     ,131811888,abricate_list,0.9.8                                                                          
 2020-1     ,131811888,bam_to_scidx,1.0.1                                                                       
 2020-1     ,131811888,basil,1.2.0                                                                                     
 2020-1     ,131811888,bcftools_annotate,1.9+galaxy2                                                       
 2020-1     ,131811888,bcftools_call,1.4.0                                                                     
 2020-1     ,131811888,bcftools_consensus,1.4.0                                                           
 2020-1     ,131811888,bcftools_convert_from_vcf,1.9+galaxy1                                       
 2020-1     ,131811888,bcftools_convert_to_vcf,1.9+galaxy1                                           
 2020-1     ,131811888,bcftools_csq,1.9+galaxy1                                                                 
 2020-1     ,131811888,bcftools_filter,1.9+galaxy1                                                           
 2020-1     ,131811888,bcftools_gtcheck,1.9+galaxy1                                                         
 2020-1     ,131811888,bcftools_isec,1.4.0                                                                     
 2020-1     ,131811888,bcftools_merge,1.4.0                                                                   
 2020-1     ,131811888,bcftools_mpileup,1.4.0.0                                                             
 2020-1     ,131811888,bcftools_plugin_counts,1.4.0                                                   
 2020-1     ,131811888,bcftools_plugin_dosage,1.9+galaxy1                                             
 2020-1     ,131811888,bcftools_plugin_fill_an_ac,1.9+galaxy1                                     
 2020-1     ,131811888,bcftools_plugin_fill_tags,1.9+galaxy1                                       
 2020-1     ,131811888,bcftools_plugin_fixploidy,1.9+galaxy1                                       
 2020-1     ,131811888,bcftools_plugin_impute_info,1.9+galaxy1                                   
 2020-1     ,131811888,bcftools_plugin_mendelian,1.9+galaxy1                                       
 2020-1     ,131811888,bcftools_plugin_missing2ref,1.9+galaxy1                                   
 2020-1     ,131811888,bcftools_plugin_setgt,1.9+galaxy1                                               
 2020-1     ,131811888,bcftools_plugin_tag2tag,1.9+galaxy1                                           
 2020-1     ,131811888,bcftools_query,1.9+galaxy1                                                             
 2020-1     ,131811888,bcftools_reheader,1.9
 2020-1     ,131811888,bcftools_roh,1.9+galaxy1                                                                 
