month_year,numusers,tool_name,tool_version
 2020-1     ,1509,fastqc,0.72+galaxy1                                                                        
 2020-1     ,783, __SET_METADATA__                                                                                                                       , __SET_METADATA__                                                                                                                       
 2020-1     ,733,bowtie2,2.3.4.3+galaxy0                                                                   
 2020-1     ,715, ucsc_table_direct1                                                                                                                     , ucsc_table_direct1                                                                                                                     
 2020-1     ,647,trimmomatic,0.38.0                                                                   
 2020-1     ,620, CONVERTER_gz_to_uncompressed                                                                                                           , CONVERTER_gz_to_uncompressed                                                                                                           
 2020-1     ,475,deseq2,2.11.40.6                                                                               
 2020-1     ,451,hisat2,2.1.0+galaxy5                                                                           
 2020-1     ,362,featurecounts,1.6.4+galaxy1                                                             
 2020-1     ,353,gops_join_1,1.0.0                                                                            
 2020-1     ,348, join1                                                                                                                                  , join1                                                                                                                                  
 2020-1     ,343,bwa_mem,0.7.17.1                                                                              
 2020-1     ,340, Grouping1                                                                                                                              , Grouping1                                                                                                                              
 2020-1     ,336, Filter1                                                                                                                                , Filter1                                                                                                                                
 2020-1     ,316,fastq_groomer,1.1.1                                                                 
 2020-1     ,290, Cut1                                                                                                                                   , Cut1                                                                                                                                   
 2020-1     ,274,fasterq_dump,2.10.4                                                                         
 2020-1     ,270,fastq_dump,2.10.4                                                                           
 2020-1     ,265,multiqc,1.7
 2020-1     ,257, ebi_sra_main                                                                                                                           , ebi_sra_main                                                                                                                           
 2020-1     ,255,trim_galore,0.6.3                                                                   
 2020-1     ,248,macs2_callpeak,2.1.1.20160309.6                                                                 
 2020-1     ,248,freebayes,1.1.0.46-0                                                                    
 2020-1     ,246, sort1                                                                                                                                  , sort1                                                                                                                                  
 2020-1     ,240,deeptools_bam_coverage,3.3.0.0.0                                         
 2020-1     ,235,htseq_count,0.9.1                                                                    
 2020-1     ,216,tp_cut_tool,1.1.0                                                               
 2020-1     ,201,unicycler,0.4.8.0                                                                           
 2020-1     ,196,rna_star,2.6.0b-1                                                                           
 2020-1     ,193,tophat2,2.1.1                                                                             
 2020-1     ,189, CONVERTER_bam_to_bigwig_0                                                                                                              , CONVERTER_bam_to_bigwig_0                                                                                                              
 2020-1     ,182,bwa,0.7.17.4                                                                                  
